# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_GLYPICAN_1PATHWAY (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 5.47558e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5320       1   20301924   20306932     11       4  1000       2.3237    0.0086926   -5.4004e-06       2.3237
_SET1_   2268       1   27938800   27961727     30       5  1000     -0.35136      0.60036   -5.4004e-06     -0.35136
_SET1_   3932       1   32716840   32751766     25       6  1000       2.1615     0.013137   -5.4004e-06       2.1615
_SET1_   462        1  173872938  173886516     23       4  1000      0.30263      0.35956   -5.4004e-06      0.30264
_SET1_   7042       1  218518676  218617961    168      27  1000      0.68647      0.23716   -5.4004e-06      0.68648
_SET1_   2817       2  241375115  241407495    118      24  1000     -0.24696      0.58676   -5.4004e-06     -0.24695
_SET1_   7048       3   30647994   30735634    246      37  1000      0.36813      0.34915   -5.4004e-06      0.36814
_SET1_   6997       3   46616045   46623953     38       4  1000     -0.69743      0.73662   -5.4004e-06     -0.69743
_SET1_   9353       4   20254566   20622184    762      79  1000       1.5579     0.058911   -5.4004e-06       1.5579
_SET1_   2247       4  123747568  123819390    185      26  1000        1.836      0.03065   -5.4004e-06        1.836
_SET1_   7422       6   43737946   43754224     39      10  1000       1.3323     0.085357   -5.4004e-06       1.3323
_SET1_   2534       6  111981535  112194655    443      30  1000     -0.41869      0.64847   -5.4004e-06     -0.41869
_SET1_   640        8   11351521   11422108    242      24  1000     -0.73309       0.7594   -5.4004e-06     -0.73309
_SET1_   3084       8   31496820   32622558   2807     108  1000       5.4614   1.7924e-26   -5.4004e-06       5.4614
_SET1_   2260       8   38268656   38326352     64      10  1000      0.18841      0.40944   -5.4004e-06      0.18842
_SET1_   4067       8   56792386   56925006    387      27  1000     -0.82987      0.78742   -5.4004e-06     -0.82987
_SET1_   7046       9  101867412  101916474     60       5  1000     -0.31762      0.60369   -5.4004e-06     -0.31761
_SET1_   2321      13   28874483   29069265    370      35  1000       1.2087      0.10823   -5.4004e-06       1.2087
_SET1_   7043      14   76424440   76449334     34       4  1000      0.54819      0.27251   -5.4004e-06       0.5482
