# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4 (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 6.22585e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7812       1  115259534  115300671     43       4  1000     0.086733      0.45011   -3.4029e-06     0.086737
_SET1_   64710      1  205681947  205719372     45       8  1000     -0.21972       0.5766   -3.4029e-06     -0.21971
_SET1_   84908      2   70523108   70529293     14       3  1000       1.9657     0.022686   -3.4029e-06       1.9657
_SET1_   55179      3  138327542  138352218     35       4  1000      0.50226       0.2951   -3.4029e-06      0.50226
_SET1_   4602       6  135502453  135540311     53       7  1000      0.94428      0.16482   -3.4029e-06      0.94429
_SET1_   55274      6  170104001  170124106     26       5  1000       0.9539      0.16238   -3.4029e-06       0.9539
_SET1_   6850       9   93564012   93660842    411      49  1000      0.94471      0.17388   -3.4029e-06      0.94472
_SET1_   195828     9   99148223   99180669     24       3  1000       1.2488     0.098941   -3.4029e-06       1.2488
_SET1_   10929     11   94800041   94804387      7       1  1000     -0.62633       0.7203   -3.4029e-06     -0.62632
_SET1_   93589     12    1901123    2027870    384      41  1000      -1.1631      0.87683   -3.4029e-06      -1.1631
_SET1_   3146      13   31032877   31191942    342      58  1000       1.6011     0.057151   -3.4029e-06       1.6011
_SET1_   26586     13   53029495   53050763     23       4  1000      0.54134      0.28288   -3.4029e-06      0.54134
_SET1_   2242      15   91427665   91439006     34       7  1000       2.1115     0.016258   -3.4029e-06       2.1115
_SET1_   7343      17   42282401   42298994     13       2  1000      0.72807      0.22166   -3.4029e-06      0.72808
_SET1_   7298      18     657590     673499     75       6  1000      0.24438      0.38925   -3.4029e-06      0.24439
