# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_DN (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 2.28037e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54361      1   22443798   22470474     54       8  1000      0.19614      0.41866   -1.3276e-06      0.19614
_SET1_   8444       1  206808881  206823229     17       4  1000      0.39193      0.33561   -1.3276e-06      0.39193
_SET1_   165215     2  187558789  187630686     99      12  1000     -0.29282       0.6095   -1.3276e-06     -0.29282
_SET1_   84289      2  242641456  242668896    110      13  1000      0.15119      0.43782   -1.3276e-06       0.1512
_SET1_   1371       3   98296677   98312470     50       9  1000     -0.81831      0.78661   -1.3276e-06     -0.81831
_SET1_   7468       4    1873123    1983934     62       8  1000      0.19122      0.45328   -1.3276e-06      0.19122
_SET1_   1462       5   82767493   82878122    226      39  1000     0.093068      0.47051   -1.3276e-06     0.093069
_SET1_   84466      5  126565206  126796914    306      19  1000     -0.28091      0.61044   -1.3276e-06     -0.28091
_SET1_   6196       6  166822854  167275948   1649     137  1000       2.7795    0.0032802   -1.3276e-06       2.7795
_SET1_   2115       7   13930854   14031050    301      36  1000     -0.30377      0.62427   -1.3276e-06     -0.30377
_SET1_   9844       7   36892511   37488895   1428     107  1000      0.83008      0.21998   -1.3276e-06      0.83008
_SET1_   79161      7   86825477   86849889     19       3  1000     -0.14902      0.55454   -1.3276e-06     -0.14902
_SET1_   11062      7  107204402  107218968     15       3  1000      0.86368      0.18002   -1.3276e-06      0.86368
_SET1_   231        7  134127107  134143888     30       7  1000       2.6228    0.0040111   -1.3276e-06       2.6228
_SET1_   9397      10   15147771   15210703    181      25  1000      0.90332      0.19652   -1.3276e-06      0.90332
_SET1_   120534    11   30344649   30359165     33       6  1000   -0.0026298      0.48794   -1.3276e-06   -0.0026285
_SET1_   8534      11   45669239   45687206     27       3  1000       1.0803      0.12663   -1.3276e-06       1.0803
_SET1_   79026     11   62201014   62314332    204      30  1000       2.0829     0.020604   -1.3276e-06       2.0829
_SET1_   1474      11   65779462   65780976      2       1  1000       2.8716    0.0020513   -1.3276e-06       2.8716
_SET1_   2842      12   12813995   12849121     75      14  1000       1.4338     0.076637   -1.3276e-06       1.4338
_SET1_   55297     12   28343360   28703099    729      12  1000      -1.4674      0.92304   -1.3276e-06      -1.4674
_SET1_   5106      14   24563347   24573339     12       4  1000      -1.0644      0.85937   -1.3276e-06      -1.0644
_SET1_   2643      14   55308723   55369603    145      13  1000      -0.5877      0.72453   -1.3276e-06      -0.5877
_SET1_   64506     15   83211948   83316762    153      12  1000       0.7909      0.20641   -1.3276e-06      0.79091
_SET1_   54877     18   60190658   60254942    125      15  1000      0.51897      0.29672   -1.3276e-06      0.51898
_SET1_   5271      18   61637263   61656608     38      11  1000       1.5134       0.0645   -1.3276e-06       1.5134
_SET1_   284403    19   36545783   36596012    103      12  1000     -0.97104      0.83091   -1.3276e-06     -0.97103
_SET1_   8220      22   19117792   19132190     30       5  1000       1.4681     0.070051   -1.3276e-06       1.4681
_SET1_   85359     22   20301761   20307628      5       1  1000     0.079041      0.43101   -1.3276e-06     0.079042
