# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MCBRYAN_TERMINAL_END_BUD_UP (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.10801e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6382       2   20400558   20425194     55       6  1000      0.93432      0.16582   -4.8184e-06      0.93433
_SET1_   284996     2  101887681  101925178     40       5  1000      -1.4802      0.92584   -4.8184e-06      -1.4801
_SET1_   3485       2  217498127  217529159     33      12  1000    -0.074609       0.5112   -4.8184e-06    -0.074605
_SET1_   7145       2  218664512  218808796    369      52  1000     -0.17689      0.56789   -4.8184e-06     -0.17689
_SET1_   2940       6   52761437   52774496     23       4  1000       1.1836      0.11033   -4.8184e-06       1.1837
_SET1_   6422       8   41119476   41166990    102      11  1000      0.86493      0.18276   -4.8184e-06      0.86493
_SET1_   8581       8  143866298  143868008      5       2  1000       1.9912     0.022993   -4.8184e-06       1.9913
_SET1_   983       10   62538089   62554610     49       5  1000       1.0579      0.13611   -4.8184e-06       1.0579
_SET1_   1959      10   64571756   64578927      9       2  1000     -0.71256      0.74803   -4.8184e-06     -0.71256
_SET1_   26298     11   34642588   34684835     95      22  1000       1.7169     0.039878   -4.8184e-06       1.7169
_SET1_   51330     16    3070313    3072384      3       1  1000      0.25732      0.40115   -4.8184e-06      0.25733
_SET1_   4629      16   15796992   15950887    474      53  1000       3.4287   0.00029766   -4.8184e-06       3.4287
_SET1_   1264      19   11649579   11661139     21       5  1000     -0.47215      0.65974   -4.8184e-06     -0.47215
