# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LY_AGING_MIDDLE_UP (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 4.09266e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1805     1  168664695  168698442    119      16  1000       1.2856     0.099823   -2.1707e-06       1.2856
_SET1_   2331     1  203309749  203320557     29       7  1000       1.3317     0.093297   -2.1707e-06       1.3317
_SET1_   3576     4   74606223   74609433      4       1  1000      0.77185       0.2015   -2.1707e-06      0.77185
_SET1_   7058     6  169615875  169654137    170      28  1000      0.33953      0.37523   -2.1707e-06      0.33953
_SET1_   4982     8  119935796  119964383     96      13  1000    0.0071785      0.49824   -2.1707e-06    0.0071806
_SET1_   1306     9  101705995  101833074    285      29  1000     -0.10729      0.55193   -2.1707e-06     -0.10729
_SET1_   5742     9  125132809  125157982     95      11  1000       1.1833      0.12691   -2.1707e-06       1.1834
_SET1_   5654    10  124221041  124274424    147      20  1000     -0.18092      0.57698   -2.1707e-06     -0.18092
_SET1_   1474    11   65779462   65780976      2       1  1000     0.041505      0.48112   -2.1707e-06     0.041507
_SET1_   4319    11  102641233  102651359     30       7  1000     -0.87134      0.81038   -2.1707e-06     -0.87134
_SET1_   4321    11  102733464  102745764     14       4  1000       1.0411      0.14943   -2.1707e-06       1.0411
_SET1_   5055    18   61554939   61571124     76       2  1000     0.022032      0.47873   -2.1707e-06     0.022034
_SET1_   1311    19   18893583   18902114      7       2  1000       1.6059     0.051664   -2.1707e-06       1.6059
_SET1_   1415    22   25615612   25627836     48      10  1000       1.3527      0.08765   -2.1707e-06       1.3527
