# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = FUJII_YBX1_TARGETS_UP (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 1.963e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84958      1   27668483   27680423     10       3  1000    0.0091533      0.47547   -2.4202e-06    0.0091557
_SET1_   6277       1  153507076  153508717      2       1  1000     -0.77696      0.76524   -2.4202e-06     -0.77696
_SET1_   4582       1  155158300  155162768      2       1  1000      -0.9029       0.8068   -2.4202e-06      -0.9029
_SET1_   2494       1  199996730  200146552    408      40  1000     -0.17902      0.56274   -2.4202e-06     -0.17901
_SET1_   8462       2   10170776   10194963     22       4  1000     -0.52489      0.67875   -2.4202e-06     -0.52489
_SET1_   28951      2   12856998   12882860     52       8  1000     -0.38593      0.62783   -2.4202e-06     -0.38593
_SET1_   822        2   85621871   85641197     54       9  1000      0.11094      0.43123   -2.4202e-06      0.11095
_SET1_   131034     3  131252413  131759152   1920      64  1000      0.89217      0.18369   -2.4202e-06      0.89218
_SET1_   53836      3  151011874  151034636     45       8  1000      0.12265      0.42743   -2.4202e-06      0.12265
_SET1_   6414       5   42799982   42812024     23       4  1000      0.15616       0.4132   -2.4202e-06      0.15617
_SET1_   10085      5   83236414   83680685    762      62  1000       1.0434       0.1509   -2.4202e-06       1.0434
_SET1_   5066       5  102201527  102366809    179       7  1000     -0.58333       0.6911   -2.4202e-06     -0.58333
_SET1_   56990      5  130599702  130730383    139       9  1000       1.7394     0.034687   -2.4202e-06       1.7394
_SET1_   629        6   31913721   31919861      7       3  1000       2.5293    0.0049307   -2.4202e-06       2.5293
_SET1_   1026       6   36644237   36655116     32       7  1000       1.2396     0.097017   -2.4202e-06       1.2396
_SET1_   2852       7    1126443    1133451     21       6  1000     0.030098      0.46606   -2.4202e-06     0.030101
_SET1_   5166       7   95212809   95225925     35       4  1000      0.37612      0.32921   -2.4202e-06      0.37612
_SET1_   26157      7  150382690  150390729     16       5  1000     -0.08292      0.51156   -2.4202e-06    -0.082917
_SET1_   23213      8   70378859   70573147    406      61  1000      0.40355      0.35109   -2.4202e-06      0.40355
_SET1_   59        10   90694831   90751147     98      22  1000      -1.2833      0.89379   -2.4202e-06      -1.2833
_SET1_   355       10   90750288   90775542     84       9  1000       0.1434       0.4185   -2.4202e-06       0.1434
_SET1_   10346     11    5710817    5732093    125      21  1000      -0.3837      0.63383   -2.4202e-06      -0.3837
_SET1_   5920      11   63304273   63313930      1       1  1000      0.95254       0.1615   -2.4202e-06      0.95254
_SET1_   144165    12   42852140   42983572    324      33  1000      0.14266      0.43047   -2.4202e-06      0.14266
_SET1_   429       12  103351452  103354294      3       2  1000      0.41682      0.32189   -2.4202e-06      0.41682
_SET1_   8408      12  132379279  132407707     58       9  1000      0.83248      0.18449   -2.4202e-06      0.83248
_SET1_   7453      14  100800125  100842680    104       5  1000     -0.96052      0.81017   -2.4202e-06     -0.96052
_SET1_   80031     15   47476403   48066420   1315      52  1000     -0.87009      0.80218   -2.4202e-06     -0.87009
_SET1_   9961      16   29831715   29859360     28       2  1000       1.3962     0.069916   -2.4202e-06       1.3962
_SET1_   84166     16   57023469   57117438    342      58  1000     -0.18135      0.57777   -2.4202e-06     -0.18135
_SET1_   3965      17   25958174   25976586     40       3  1000       2.3929    0.0068017   -2.4202e-06       2.3929
_SET1_   6352      17   34198495   34207377     12       2  1000      -1.1811      0.86655   -2.4202e-06      -1.1811
_SET1_   643008    17   73629514   73637486      5       2  1000     -0.16096      0.54386   -2.4202e-06     -0.16096
_SET1_   9123      17   80186282   80197375     36       9  1000       0.9375       0.1603   -2.4202e-06       0.9375
_SET1_   8932      18   51677971   51751158    106      11  1000       1.5993     0.048166   -2.4202e-06       1.5993
_SET1_   634       19   43011458   43032661     29       4  1000     -0.78467      0.76094   -2.4202e-06     -0.78467
_SET1_   4600      21   42733918   42780870    124      26  1000      0.87071       0.1819   -2.4202e-06      0.87071
_SET1_   253190    22   42949858   42970703     68      11  1000     0.032622      0.46193   -2.4202e-06     0.032624
