# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES (set)
# _SET1_  NGENES = 100
# _SET1_  P-VALUE = 7.06873e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6548       1   27425300   27481621     40       2  1000      0.45582      0.30042   -8.3869e-06      0.45583
_SET1_   6512       1   53552855   53608304    252      26  1000     -0.59977       0.7097   -8.3869e-06     -0.59976
_SET1_   115019     1  205882176  205912588    103      15  1000       0.1073      0.44056   -8.3869e-06      0.10731
_SET1_   6546       2   40339286   40739575   1163      66  1000      0.96538      0.15727   -8.3869e-06      0.96539
_SET1_   6519       2   44502597   44547963     94      11  1000     0.053848       0.4572   -8.3869e-06     0.053856
_SET1_   6509       2   65215579   65250999     65      14  1000     0.056828      0.46443   -8.3869e-06     0.056837
_SET1_   57835      2   74441997   74570534    180      24  1000      0.82709      0.19441   -8.3869e-06       0.8271
_SET1_   389015     2  103089173  103150433    236      15  1000       1.7797     0.031986   -8.3869e-06       1.7797
_SET1_   6549       2  103236166  103327809    210      30  1000       1.5405     0.057547   -8.3869e-06       1.5405
_SET1_   6574       2  113403434  113421402     22       3  1000      0.85444      0.18525   -8.3869e-06      0.85445
_SET1_   57282      2  162480699  162841786    607      14  1000     -0.17478      0.52678   -8.3869e-06     -0.17477
_SET1_   6508       2  220492292  220506702     12       3  1000      -1.1061      0.86151   -8.3869e-06      -1.1061
_SET1_   6533       3   14444076   14530857    192      33  1000    -0.079176      0.52034   -8.3869e-06    -0.079167
_SET1_   9497       3   27414212   27525911    299      14  1000      0.36337      0.32832   -8.3869e-06      0.36338
_SET1_   54716      3   45796941   45838039     73      22  1000      0.90307      0.17751   -8.3869e-06      0.90308
_SET1_   65010      3   48663156   48672926     13       2  1000      0.51455      0.29775   -8.3869e-06      0.51456
_SET1_   10991      3   50242692   50258406     19       5  1000       1.2903     0.093523   -8.3869e-06       1.2903
_SET1_   6565       3  121613171  121663034    165       3  1000      0.73935        0.199   -8.3869e-06      0.73936
_SET1_   285195     3  142984063  143567373   1416     117  1000       5.3915   4.4673e-08   -8.3869e-06       5.3915
_SET1_   10861      4     972861     987228     22       5  1000     -0.48965      0.67482   -8.3869e-06     -0.48964
_SET1_   10568      4   25656853   25680735     36      11  1000      0.37185      0.34791   -8.3869e-06      0.37186
_SET1_   8671       4   72053003   72437804    643      37  1000     -0.70867      0.74401   -8.3869e-06     -0.70866
_SET1_   23657      4  139085248  139163572    158      15  1000     -0.68487      0.73187   -8.3869e-06     -0.68486
_SET1_   6550       5     473298     524549    238      34  1000       1.1606      0.11648   -8.3869e-06       1.1606
_SET1_   10723      5    1050489    1112172    217      35  1000      0.92958      0.16986   -8.3869e-06      0.92959
_SET1_   340024     5    1201710    1225232     94      21  1000       3.5617   0.00016175   -8.3869e-06       3.5617
_SET1_   348932     5    1225470    1246304     83      19  1000     -0.67299      0.73874   -8.3869e-06     -0.67298
_SET1_   6507       5   36606457   36688436    175      37  1000       0.1281      0.44311   -8.3869e-06      0.12811
_SET1_   6558       5  127419483  127525380    115       5  1000       1.6402     0.043191   -8.3869e-06       1.6402
_SET1_   83697      5  139739787  139754722     11       3  1000       -0.389       0.6399   -8.3869e-06     -0.38899
_SET1_   1836       5  149340300  149366963     31       5  1000     0.074431      0.45357   -8.3869e-06     0.074439
_SET1_   153201     5  150694539  150727151    104      12  1000     -0.90415      0.80279   -8.3869e-06     -0.90414
_SET1_   206358     5  150816553  150871940    167      20  1000     -0.64137      0.72279   -8.3869e-06     -0.64136
_SET1_   6569       5  176811432  176825849     14       2  1000     0.048135       0.4655   -8.3869e-06     0.048143
_SET1_   6568       6   25783125   25832287    111       9  1000       2.8078    0.0020031   -8.3869e-06       2.8078
_SET1_   26503      6   74303102   74363737    350      10  1000      -0.7822      0.75465   -8.3869e-06     -0.78219
_SET1_   117247     6  111408728  111544608    199      17  1000     -0.14328       0.5329   -8.3869e-06     -0.14327
_SET1_   6717       7   87834430   87856308     29       5  1000       2.2275     0.011706   -8.3869e-06       2.2275
_SET1_   5172       7  107301080  107358254     58       9  1000      0.29881       0.3617   -8.3869e-06      0.29882
_SET1_   1811       7  107405912  107443678     78      16  1000      0.15576       0.4221   -8.3869e-06      0.15577
_SET1_   23382      7  128864855  129070052    267      14  1000       0.2732      0.36248   -8.3869e-06      0.27321
_SET1_   6522       7  150755299  150773614     42       9  1000      0.75432      0.21409   -8.3869e-06      0.75433
_SET1_   6542       8   17354597   17428077    302      45  1000      0.34388       0.3603   -8.3869e-06      0.34389
_SET1_   6575       8   42273980   42397356    150      20  1000      -1.4308      0.91694   -8.3869e-06      -1.4308
_SET1_   115111     8   92261508   92410378    213      21  1000     -0.37688      0.62734   -8.3869e-06     -0.37687
_SET1_   6505       9    4490427    4587469    262      34  1000       2.6295    0.0038266   -8.3869e-06       2.6295
_SET1_   25769      9   19507450   19789059    678      49  1000     -0.77634      0.76849   -8.3869e-06     -0.77633
_SET1_   142680     9  140125209  140131006     10       3  1000      -1.7374      0.95703   -8.3869e-06      -1.7373
_SET1_   79751     11     790475     798269      8       3  1000      0.60025      0.27052   -8.3869e-06      0.60025
_SET1_   57084     11   22359667   22401049    111      25  1000       1.4758     0.066893   -8.3869e-06       1.4758
_SET1_   159963    11   26688566   26743574    152      27  1000     -0.78145        0.774   -8.3869e-06     -0.78144
_SET1_   6506      11   35272752   35441610    462      31  1000       0.3946      0.32258   -8.3869e-06      0.39461
_SET1_   8501      11   57252004   57283192     41       5  1000      -0.1577      0.54373   -8.3869e-06     -0.15769
_SET1_   51296     11   60704555   60719257     25       5  1000       1.4851     0.063407   -8.3869e-06       1.4851
_SET1_   6520      11   62623484   62656355     22       5  1000     -0.55943      0.70165   -8.3869e-06     -0.55942
_SET1_   120103    11   92880850   92931095     71       7  1000      0.12281      0.42715   -8.3869e-06      0.12282
_SET1_   6539      12     299243     323740     87      16  1000     -0.38263      0.63293   -8.3869e-06     -0.38262
_SET1_   81539     12   46576838   46663208    147      25  1000        1.247       0.1003   -8.3869e-06        1.247
_SET1_   54407     12   46751971   46766645     23       4  1000       1.8769     0.027779   -8.3869e-06       1.8769
_SET1_   55089     12   47158544   47226205    171      23  1000      0.14449      0.42701   -8.3869e-06       0.1445
_SET1_   9498      12   51785101   51909547    213      14  1000     -0.49004      0.66019   -8.3869e-06     -0.49003
_SET1_   55117     12   85253267   85306608     55       7  1000       1.5644     0.053156   -8.3869e-06       1.5644
_SET1_   246213    12  100750857  100815837    101      15  1000      -0.3471      0.61544   -8.3869e-06     -0.34709
_SET1_   160728    12  101549994  101604016     95       8  1000       1.4073     0.070311   -8.3869e-06       1.4073
_SET1_   80024     12  113736571  113772934     80       6  1000      -0.4148      0.64249   -8.3869e-06     -0.41479
_SET1_   121260    12  129277739  129308541    113       9  1000      -2.0077      0.97368   -8.3869e-06      -2.0077
_SET1_   6541      13   30083551   30169825    188      22  1000     0.015432       0.4798   -8.3869e-06      0.01544
