# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DELASERNA_MYOD_TARGETS_DN (set)
# _SET1_  NGENES = 52
# _SET1_  P-VALUE = 3.19627e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   149473     1   44457280   44462200      4       2  1000      0.87456        0.183   -4.6513e-06      0.87456
_SET1_   23318      1   52888947   53018764    153      11  1000     -0.19988      0.57346   -4.6513e-06     -0.19987
_SET1_   5142       1   66258193   66840262   1265      67  1000    -0.097486      0.53987   -4.6513e-06    -0.097481
_SET1_   2634       1   89571815   89591842     47       4  1000      0.77809      0.20722   -4.6513e-06      0.77809
_SET1_   1301       1  103342023  103574052    682      27  1000     0.057983      0.46961   -4.6513e-06     0.057988
_SET1_   7175       1  186280784  186344883    113      10  1000      0.66798      0.24432   -4.6513e-06      0.66799
_SET1_   9877       1  203764665  203823256    162      12  1000       1.2191      0.10742   -4.6513e-06       1.2191
_SET1_   947        1  208059883  208084742     65      10  1000       1.0322        0.146   -4.6513e-06       1.0322
_SET1_   83439      2   85360583   85537511    385      47  1000       1.0567      0.14761   -4.6513e-06       1.0567
_SET1_   961        3  107761941  107809935     57       8  1000     -0.84487       0.7933   -4.6513e-06     -0.84486
_SET1_   9353       4   20254566   20622184    762      79  1000       1.1376       0.1347   -4.6513e-06       1.1376
_SET1_   10409      5   17216932   17276954     78      14  1000     -0.20301      0.57366   -4.6513e-06     -0.20301
_SET1_   202309     5   57787262   57792185      5       2  1000       1.6594     0.044857   -4.6513e-06       1.6594
_SET1_   55914      5   65222382   65376851    103       5  1000     -0.93338       0.8172   -4.6513e-06     -0.93337
_SET1_   134429     5  110831731  110848234     16       4  1000      0.58814      0.26903   -4.6513e-06      0.58814
_SET1_   7045       5  135364584  135399507     67       5  1000       1.5076     0.060982   -4.6513e-06       1.5076
_SET1_   11346      5  149980642  150038792     96      15  1000     -0.55811      0.70877   -4.6513e-06     -0.55811
_SET1_   53917      5  176728199  176730744      4       2  1000      -1.2019      0.88014   -4.6513e-06      -1.2019
_SET1_   5272       6    2887499    2903546     32      11  1000     -0.10819       0.5362   -4.6513e-06     -0.10819
_SET1_   134957     6  147525494  147711612    162      10  1000      0.39388      0.33526   -4.6513e-06      0.39389
_SET1_   80727      7    2671603    2704436     75      15  1000     -0.31727      0.61829   -4.6513e-06     -0.31726
_SET1_   8321       7   90893783   90898132      4       1  1000      0.51485      0.28769   -4.6513e-06      0.51486
_SET1_   51412      7  100240720  100254084      8       2  1000      0.46895      0.30795   -4.6513e-06      0.46896
_SET1_   27153      7  149128454  149158053     46       5  1000       1.4785     0.064728   -4.6513e-06       1.4785
_SET1_   1808       8   26371709   26515693    473      29  1000      0.82051      0.20264   -4.6513e-06      0.82051
_SET1_   11030      8   30242017   30429778    290      16  1000       -1.539      0.93491   -4.6513e-06       -1.539
_SET1_   25960      8   37654401   37701504     74      18  1000       1.2725      0.10057   -4.6513e-06       1.2725
_SET1_   6383       8   97505579   97624037    325      37  1000      0.19196      0.42536   -4.6513e-06      0.19196
_SET1_   1903       9   91606324   91620070     17       7  1000     -0.18726      0.56523   -4.6513e-06     -0.18725
_SET1_   1316      10    3818188    3827473     17       6  1000       0.7928      0.20806   -4.6513e-06      0.79281
_SET1_   143098    10   28339922   28591953    768      28  1000     -0.72019      0.75849   -4.6513e-06     -0.72018
_SET1_   6387      10   44865601   44880545     59      11  1000     -0.31831      0.62003   -4.6513e-06      -0.3183
_SET1_   5728      10   89623195   89728532     48       9  1000     0.077441      0.46167   -4.6513e-06     0.077446
_SET1_   120534    11   30344649   30359165     33       6  1000       1.6145     0.050076   -4.6513e-06       1.6145
_SET1_   23360     11   47738055   47789012     68       7  1000     -0.42316      0.65197   -4.6513e-06     -0.42316
_SET1_   51338     11   60048014   60076445     53       9  1000      0.10652      0.44905   -4.6513e-06      0.10653
_SET1_   4257      12   16500076   16530123     86      13  1000     -0.32627      0.62066   -4.6513e-06     -0.32627
_SET1_   3709      12   26488285   26986131   1288      76  1000     -0.14964      0.56387   -4.6513e-06     -0.14963
_SET1_   1649      12   57910371   57914300      3       1  1000      0.66747      0.24037   -4.6513e-06      0.66747
_SET1_   10631     13   38136719   38172981     74      10  1000       0.6626       0.2462   -4.6513e-06      0.66261
_SET1_   5427      14   50110270   50155098     79       3  1000     -0.36068      0.62532   -4.6513e-06     -0.36068
_SET1_   527       16    2563727    2570224      4       1  1000      0.40709      0.35796   -4.6513e-06       0.4071
_SET1_   114990    16    4421849    4433529     17       3  1000    -0.094571      0.52399   -4.6513e-06    -0.094567
_SET1_   4313      16   55513081   55540586     81       9  1000      0.99536      0.15286   -4.6513e-06      0.99537
_SET1_   55794     16   68055177   68057770      1       1  1000     -0.91197        0.811   -4.6513e-06     -0.91197
_SET1_   10458     17   79008944   79091232    286      34  1000     -0.16958      0.56772   -4.6513e-06     -0.16957
_SET1_   84034     18    2846786    2914090    225      48  1000      0.44358      0.33505   -4.6513e-06      0.44359
_SET1_   1528      18   71920527   71959251    162      15  1000     -0.37052      0.64033   -4.6513e-06     -0.37052
_SET1_   7056      20   23026270   23030301      4       2  1000      0.22584      0.39709   -4.6513e-06      0.22585
_SET1_   23613     20   45837994   45985485    198      28  1000     -0.94473      0.82749   -4.6513e-06     -0.94472
_SET1_   6526      21   35445503   35515334     67       4  1000      0.28515      0.37715   -4.6513e-06      0.28516
_SET1_   79019     22   42334531   42343155     26       4  1000     -0.49635      0.68091   -4.6513e-06     -0.49634
