# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SARTIPY_BLUNTED_BY_INSULIN_RESISTANCE_UP (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 7.30601e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   205        1   65613232   65697828    164      13  1000     -0.87728      0.80803   -1.6616e-06     -0.87728
_SET1_   4332       1  158801168  158819270     30       5  1000     -0.53935      0.70292   -1.6616e-06     -0.53935
_SET1_   23179      1  183605208  183897666    747      41  1000         1.49     0.064572   -1.6616e-06         1.49
_SET1_   9208       2  238536224  238690290    507      36  1000      0.50026      0.30636   -1.6616e-06      0.50026
_SET1_   6498       3  170075473  170114637     65       5  1000       -1.144      0.87148   -1.6616e-06       -1.144
_SET1_   2920       4   74962752   74964997      1       1  1000      -0.4578       0.6749   -1.6616e-06      -0.4578
_SET1_   5311       4   88928799   88998931    111      17  1000          1.6     0.055824   -1.6616e-06          1.6
_SET1_   5054       7  100770370  100782547     32       6  1000     -0.59497      0.72188   -1.6616e-06     -0.59497
_SET1_   4783       9   94171327   94186908     22       3  1000      0.70459      0.23665   -1.6616e-06      0.70459
_SET1_   23082     10  103892787  103910090     13       4  1000      0.60763      0.27558   -1.6616e-06      0.60764
_SET1_   79080     11   60609429   60618561     30       9  1000       2.8533    0.0022365   -1.6616e-06       2.8533
_SET1_   920       12    6898638    6929976     51       9  1000       1.6224     0.051978   -1.6616e-06       1.6224
_SET1_   4665      12   57482677   57489259      5       2  1000        1.259      0.10263   -1.6616e-06        1.259
_SET1_   122786    14   51955819   52197445    590      64  1000      0.51656      0.30901   -1.6616e-06      0.51656
_SET1_   4501      16   56716382   56718108      8       2  1000       2.0036     0.022064   -1.6616e-06       2.0036
_SET1_   9021      17   76352858   76356160      4       2  1000      0.24641      0.41055   -1.6616e-06      0.24641
_SET1_   3726      19   12902310   12904125      1       1  1000       2.4244     0.008283   -1.6616e-06       2.4244
