# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT (set)
# _SET1_  NGENES = 154
# _SET1_  P-VALUE = 5.91521e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6390       1   17345217   17380665     89       7  1000      0.46261      0.30349   -4.2521e-06      0.46262
_SET1_   4725       1   39491967   39500308     34       5  1000     -0.12945      0.53738   -4.2521e-06     -0.12944
_SET1_   7388       1   46769324   46782448     13       4  1000      0.85665      0.18884   -4.2521e-06      0.85666
_SET1_   515        1  111991467  112004540     20       3  1000     -0.46355      0.66428   -4.2521e-06     -0.46355
_SET1_   6566       1  113454469  113498975     42       6  1000     -0.95635      0.82037   -4.2521e-06     -0.95635
_SET1_   4720       1  161167209  161184185     17       4  1000      -0.8069      0.78095   -4.2521e-06      -0.8069
_SET1_   6391       1  161284166  161334541    217       7  1000     0.002757      0.47783   -4.2521e-06    0.0027613
_SET1_   25874      1  167885913  167906307     21       3  1000    -0.036353      0.50022   -4.2521e-06    -0.036349
_SET1_   148811     1  205797150  205819276     40      11  1000      0.30305      0.37271   -4.2521e-06      0.30305
_SET1_   2271       1  241660857  241683085     18       2  1000      -1.3302      0.90037   -4.2521e-06      -1.3302
_SET1_   116228     1  244998608  245008359     13       1  1000     -0.32976      0.61351   -4.2521e-06     -0.32975
_SET1_   55471      2   37458774   37476303     45       7  1000    -0.097197      0.52372   -4.2521e-06    -0.097193
_SET1_   9167       2   42577640   42596150     25       5  1000       1.3095       0.0894   -4.2521e-06       1.3095
_SET1_   10128      2   44113363   44223144    251      17  1000      0.17313        0.416   -4.2521e-06      0.17313
_SET1_   8802       2   84650647   84686586     62       6  1000      -0.5275      0.69292   -4.2521e-06      -0.5275
