# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = FOSTER_KDM1A_TARGETS_UP (set)
# _SET1_  NGENES = 238
# _SET1_  P-VALUE = 8.05713e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9563          1    9294822    9331396     81      12  1000     -0.94953      0.82082   -5.1326e-06     -0.94953
_SET1_   400736        1   13447414   13452656      4       2  1000     -0.55429      0.69601   -5.1326e-06     -0.55428
_SET1_   63036         1   15783223   15798586     54       7  1000     -0.63551      0.72669   -5.1326e-06      -0.6355
_SET1_   79814         1   15898194   15911605     49       4  1000      0.65333      0.24711   -5.1326e-06      0.65333
_SET1_   1188          1   16370231   16383821    118      13  1000      0.60581       0.2614   -5.1326e-06      0.60582
_SET1_   353238        1   17698741   17728195    137      11  1000     -0.23392      0.57992   -5.1326e-06     -0.23392
_SET1_   978           1   20915444   20945401    122      18  1000     -0.87475      0.80019   -5.1326e-06     -0.87474
_SET1_   127294        1   24382531   24438665    175      19  1000     -0.43168       0.6555   -5.1326e-06     -0.43167
_SET1_   400746        1   24882567   24935819    188      24  1000      0.15485      0.42592   -5.1326e-06      0.15486
_SET1_   127534        1   35225342   35229325     11       5  1000     -0.58923      0.70901   -5.1326e-06     -0.58922
_SET1_   4610          1   40361096   40367687      8       3  1000      -1.3019      0.89765   -5.1326e-06      -1.3019
_SET1_   128209        1   44513987   44600812    234      19  1000     -0.38463      0.63723   -5.1326e-06     -0.38462
_SET1_   55268         1   53361582   53392846     24       4  1000       2.1148     0.015937   -5.1326e-06       2.1148
_SET1_   732           1   57394883   57433213     95      15  1000      -0.8695      0.79919   -5.1326e-06     -0.86949
_SET1_   1573          1   60358980   60392445     50       8  1000     -0.68277      0.74093   -5.1326e-06     -0.68276
_SET1_   1179          1   86934526   86965977     94      18  1000     -0.90161      0.80839   -5.1326e-06     -0.90161
_SET1_   676           1   92414928   92479985    159      10  1000     -0.28363      0.59678   -5.1326e-06     -0.28362
_SET1_   199857        1   95448279   95538512    119      15  1000       1.3421     0.084482   -5.1326e-06       1.3421
_SET1_   2947          1  110276554  110283660     11       3  1000     -0.69865      0.74844   -5.1326e-06     -0.69864
_SET1_   26191         1  114356433  114414375     73       7  1000     0.057867      0.46456   -5.1326e-06     0.057872
_SET1_   10100         1  115590632  115632121    112      13  1000      0.37341      0.34298   -5.1326e-06      0.37342
_SET1_   284486        1  151818220  151826173     11       2  1000    -0.044862      0.50516   -5.1326e-06    -0.044856
_SET1_   9447          1  159028790  159046685     18       4  1000     -0.32998      0.61355   -5.1326e-06     -0.32997
_SET1_   89886         1  159921282  159924044      6       2  1000     -0.75674       0.7649   -5.1326e-06     -0.75673
_SET1_   4921          1  162602228  162756409    303      22  1000     -0.33897      0.61656   -5.1326e-06     -0.33896
_SET1_   92241         1  167599474  167677933    198      42  1000     -0.81691      0.78396   -5.1326e-06     -0.81691
_SET1_   1116          1  203148059  203155978     22       4  1000      0.45949       0.3119   -5.1326e-06      0.45949
_SET1_   3814          1  204159469  204165619     21       3  1000       1.3677     0.080637   -5.1326e-06       1.3677
_SET1_   7107          1  236305832  236415314    420      22  1000      -1.7876      0.95972   -5.1326e-06      -1.7876
_SET1_   88            1  236849754  236927931    245      34  1000     -0.32096      0.61266   -5.1326e-06     -0.32095
_SET1_   165082        2   26531041   26569685     59       9  1000     -0.24761      0.58581   -5.1326e-06      -0.2476
_SET1_   7781          2   27477440   27501093     28       4  1000      0.69041      0.23342   -5.1326e-06      0.69041
_SET1_   285126        2   27498289   27505214      4       1  1000       -1.015      0.83686   -5.1326e-06       -1.015
_SET1_   6716          2   31749656   31806040     78       7  1000     -0.55676      0.69953   -5.1326e-06     -0.55675
_SET1_   25780         2   33661416   33789798    382      57  1000    -0.018212      0.49335   -5.1326e-06    -0.018207
_SET1_   25797         2   37571742   37600465     76      14  1000      0.39739      0.33268   -5.1326e-06       0.3974
_SET1_   57835         2   74441997   74570534    180      24  1000     -0.17287      0.55412   -5.1326e-06     -0.17286
_SET1_   5967          2   79347584   79350545      8       2  1000     -0.65391      0.73348   -5.1326e-06      -0.6539
_SET1_   25801         2  163200583  163236525     14       5  1000     -0.11041      0.52935   -5.1326e-06      -0.1104
_SET1_   3234          2  176994422  176997423      3       1  1000      0.13187      0.43202   -5.1326e-06      0.13188
_SET1_   57520         2  197063971  197458416    880      51  1000    0.0097191      0.47718   -5.1326e-06    0.0097242
_SET1_   66037         2  198591603  198651036     57       4  1000      0.73898      0.22055   -5.1326e-06      0.73898
_SET1_   1421          2  208986331  208989313      9       3  1000    -0.018052      0.49512   -5.1326e-06    -0.018046
_SET1_   3417          2  209100951  209120478     13       4  1000     -0.31509      0.60885   -5.1326e-06     -0.31508
_SET1_   4133          2  210288733  210598842    547      21  1000      0.71022      0.22476   -5.1326e-06      0.71023
_SET1_   151835        3    9745510    9771592     33      12  1000     -0.97471      0.82738   -5.1326e-06      -0.9747
_SET1_   55287         3   12775392   12801038     59      12  1000      -1.1901      0.87591   -5.1326e-06      -1.1901
_SET1_   131375        3   42438575   42452125     22       5  1000        1.733     0.038877   -5.1326e-06        1.733
_SET1_   4345          3  112051194  112081659     86      11  1000     0.021427      0.47874   -5.1326e-06     0.021432
_SET1_   51365         3  119316695  119348658     98       8  1000     -0.42717       0.6533   -5.1326e-06     -0.42716
_SET1_   6565          3  121613171  121663034    165       3  1000     -0.14772      0.54552   -5.1326e-06     -0.14771
_SET1_   131669        3  126200008  126236616    120      24  1000     -0.42859      0.65458   -5.1326e-06     -0.42858
_SET1_   55            3  132036211  132087146    188      15  1000    -0.038238      0.50205   -5.1326e-06    -0.038233
_SET1_   8419          3  133118790  133194056    224      33  1000     -0.85144      0.79333   -5.1326e-06     -0.85144
_SET1_   26577         3  142536702  142608045    154      24  1000    -0.010361      0.49132   -5.1326e-06    -0.010356
_SET1_   131831        3  150377672  150421786     80      16  1000     -0.13135      0.53938   -5.1326e-06     -0.13135
_SET1_   10057         3  183637722  183735803    223      18  1000      0.10266      0.44557   -5.1326e-06      0.10267
_SET1_   200879        3  185225570  185270369    131      11  1000     -0.15915      0.54944   -5.1326e-06     -0.15914
_SET1_   1427          3  186256232  186263049      5       2  1000      0.53019      0.28602   -5.1326e-06      0.53019
_SET1_   26998         3  186353758  186370797     34       9  1000      0.57686      0.27095   -5.1326e-06      0.57686
_SET1_   5522          4    6322305    6565327    866      90  1000       1.3596      0.08071   -5.1326e-06       1.3596
_SET1_   54502         4   40425272   40632958    537      77  1000      0.18083      0.41424   -5.1326e-06      0.18083
_SET1_   6691          4   57676026   57688035     47      12  1000       1.0031      0.15014   -5.1326e-06       1.0031
_SET1_   85438         4   71200671   71202833      6       2  1000      -1.8234      0.96339   -5.1326e-06      -1.8234
_SET1_   51316         4   84011201   84035911     53       8  1000      0.13249      0.43532   -5.1326e-06      0.13249
_SET1_   6622          4   90645250   90759447    319      18  1000       0.2183      0.39913   -5.1326e-06      0.21831
_SET1_   127           4  100044832  100065449    123       2  1000       0.2541       0.3859   -5.1326e-06       0.2541
_SET1_   287           4  113739239  114304896   1199     114  1000      0.56156      0.27219   -5.1326e-06      0.56156
_SET1_   55212         4  122745484  122791652     69      10  1000     -0.95824      0.82277   -5.1326e-06     -0.95823
_SET1_   84709         4  140187317  140201492     23       4  1000      0.63425      0.25226   -5.1326e-06      0.63425
_SET1_   4258          4  140586922  140661899    189      29  1000        2.059     0.018271   -5.1326e-06        2.059
_SET1_   6414          5   42799982   42812024     23       4  1000      0.52812      0.28758   -5.1326e-06      0.52813
_SET1_   83734         5   81267844   81551958    256      17  1000       1.1978      0.10874   -5.1326e-06       1.1979
_SET1_   100127206     5  129083884  129100756     50       8  1000      -0.5144      0.68388   -5.1326e-06     -0.51439
_SET1_   8572          5  131593351  131609147     43       7  1000      0.75949      0.21444   -5.1326e-06       0.7595
_SET1_   9547          5  134906369  134914969     11       3  1000      0.13336      0.43258   -5.1326e-06      0.13336
_SET1_   153769        5  145316126  145458680    359      12  1000      0.53394      0.28337   -5.1326e-06      0.53394
_SET1_   202374        5  146614526  146767418    561      34  1000      0.37793      0.33853   -5.1326e-06      0.37793
_SET1_   1809          5  146770371  146889619    147      24  1000      -1.1466       0.8671   -5.1326e-06      -1.1466
_SET1_   5145          5  149237519  149324356    183      27  1000       1.0772      0.13309   -5.1326e-06       1.0772
_SET1_   972           5  149781200  149792543     14       5  1000      0.64077      0.24831   -5.1326e-06      0.64078
_SET1_   285641        5  150655926  150683334    115      11  1000     0.048508      0.46641   -5.1326e-06     0.048513
_SET1_   133491        5  173416162  173433143     32       3  1000       3.3262   0.00038207   -5.1326e-06       3.3262
_SET1_   221687        6   13924677   13980240    102      11  1000       1.4893     0.064312   -5.1326e-06       1.4893
_SET1_   2766          6   16238811   16295780    112      15  1000      0.98723        0.153   -5.1326e-06      0.98724
_SET1_   154141        6   20099915   20212695    304      48  1000     -0.91335       0.8109   -5.1326e-06     -0.91334
