# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_NODAL (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 6.27601e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10637      1  226073982  226076846     16       3  1000      0.43336      0.31461   -7.5381e-06      0.43337
_SET1_   7044       1  226124298  226129083      5       2  1000      0.44417      0.31772   -7.5381e-06      0.44418
_SET1_   55997      2  131349738  131357148      2       1  1000      0.30304      0.35329   -7.5381e-06      0.30305
_SET1_   92         2  148602086  148688396     76       7  1000      -1.2832      0.88981   -7.5381e-06      -1.2832
_SET1_   130399     2  158383279  158485399     92      13  1000     0.096629      0.44139   -7.5381e-06     0.096637
_SET1_   93         3   38495790   38534633     67       5  1000       1.5165     0.057482   -7.5381e-06       1.5165
_SET1_   6997       3   46616045   46623953     38       4  1000       1.3437      0.08028   -7.5381e-06       1.3437
_SET1_   2309       6  108881026  109005972    120      11  1000     -0.03028      0.48846   -7.5381e-06    -0.030272
_SET1_   8928       8  145699115  145701718      2       1  1000       0.4346      0.32569   -7.5381e-06      0.43461
_SET1_   9350       9   14719731   14722715     11       3  1000     -0.78918      0.77281   -7.5381e-06     -0.78917
_SET1_   4838      10   72191692   72201465     15       3  1000     -0.70829      0.74786   -7.5381e-06     -0.70828
_SET1_   91        12   52345451   52390863     34       4  1000      0.18254      0.40683   -7.5381e-06      0.18255
_SET1_   4088      15   67358036   67487533    317      43  1000       5.4133   1.5491e-10   -7.5381e-06       5.4133
_SET1_   5045      15   91411885   91426687     24       5  1000    -0.065831      0.50788   -7.5381e-06    -0.065823
_SET1_   5046      15  101844133  102030187    769      91  1000        4.758   1.2152e-06   -7.5381e-06        4.758
_SET1_   4087      18   45359466   45457564    132       6  1000      0.36294      0.33344   -7.5381e-06      0.36295
_SET1_   4089      18   48556583   48611412     36       3  1000     0.020593       0.4702   -7.5381e-06       0.0206
_SET1_   199699    19   13080432   13085567      7       3  1000     -0.66021      0.73602   -7.5381e-06      -0.6602
_SET1_   2657      19   18979361   19006953     44      10  1000      0.28854      0.36959   -7.5381e-06      0.28855

# _SET2_  VARIABLE = DORN_ADENOVIRUS_INFECTION_12HR_DN (set)
# _SET2_  NGENES = 32
# _SET2_  P-VALUE = 8.1303e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   4170      1  150547027  150552214      2       1  1000      0.60179      0.26822   -7.5381e-06      0.60179
_SET2_   1942      1  155100349  155107386      7       2  1000    -0.034818      0.50157   -7.5381e-06     -0.03481
_SET2_   1999      1  201979647  201986316     12       4  1000      0.30522      0.36611   -7.5381e-06      0.30523
_SET2_   2274      2  105977272  106055230    209      33  1000     -0.15398      0.55031   -7.5381e-06     -0.15398
_SET2_   8942      2  143506497  143799885    348      25  1000     -0.80416      0.77405   -7.5381e-06     -0.80415
_SET2_   4780      2  178095031  178129859     36       5  1000     -0.31972      0.60635   -7.5381e-06     -0.31971
_SET2_   9467      3   15295860   15382901    238      45  1000      0.41651      0.33436   -7.5381e-06      0.41651
_SET2_   1294      3   48601506   48632593     15       3  1000        1.754     0.035675   -7.5381e-06        1.754
_SET2_   3187      5  179041179  179050722     16       4  1000     -0.99018      0.82888   -7.5381e-06     -0.99017
_SET2_   9308      6   14117487   14137149     42       8  1000      0.95535      0.15837   -7.5381e-06      0.95536
_SET2_   8366      6   26027124   26027480      2       1  1000      0.53265       0.2921   -7.5381e-06      0.53265
_SET2_   8870      6   30710976   30712327      3       1  1000      0.54576       0.2822   -7.5381e-06      0.54577
_SET2_   10492     6   86317502   86353568     37       5  1000      -0.7464      0.75636   -7.5381e-06      -0.7464
_SET2_   6446      6  134490384  134639196    326      49  1000      0.60091      0.27048   -7.5381e-06      0.60092
_SET2_   3569      7   22766766   22771621     14       4  1000      0.90148      0.17338   -7.5381e-06      0.90149
_SET2_   6386      8   59465566   59495419     52       4  1000       2.0389     0.017977   -7.5381e-06       2.0389
_SET2_   4609      8  128748315  128753680     11       3  1000       1.9716     0.021715   -7.5381e-06       1.9716
_SET2_   8939      9  133454954  133513739    106      15  1000     -0.41166      0.64103   -7.5381e-06     -0.41165
_SET2_   595      11   69455873   69469242     19       4  1000     -0.80964      0.77843   -7.5381e-06     -0.80963
_SET2_   51474    12   50569563   50677353    117       6  1000     -0.84063      0.78076   -7.5381e-06     -0.84062
_SET2_   7296     12  104609537  104744085    369      23  1000      0.36415      0.33697   -7.5381e-06      0.36415
_SET2_   4792     14   35870716   35873960     12       4  1000     -0.52349      0.68686   -7.5381e-06     -0.52349
_SET2_   6430     14   70233812   70238722      3       1  1000       1.5427     0.058506   -7.5381e-06       1.5427
_SET2_   8812     14   99947695   99977852     16       2  1000     -0.13604      0.53693   -7.5381e-06     -0.13603
_SET2_   290      15   90328126   90358119    100      12  1000     -0.12015      0.52695   -7.5381e-06     -0.12014
_SET2_   51330    16    3070313    3072384      3       1  1000     -0.36773      0.63511   -7.5381e-06     -0.36772
_SET2_   5606     17   21187968   21218552     62      11  1000      0.88872      0.17525   -7.5381e-06      0.88873
_SET2_   9618     17   27071023   27077976      5       1  1000      0.26318      0.38438   -7.5381e-06      0.26319
_SET2_   7153     17   38544773   38574202     10       2  1000     -0.41656      0.64632   -7.5381e-06     -0.41655
_SET2_   25825    21   42539728   42654461    258      44  1000     -0.77995      0.77812   -7.5381e-06     -0.77994
_SET2_   2130     22   29663998   29696515     27       5  1000     -0.31031      0.60437   -7.5381e-06      -0.3103
_SET2_   3005     22   38201114   38203443      3       1  1000      0.15513      0.42846   -7.5381e-06      0.15513
