# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DAZARD_UV_RESPONSE_CLUSTER_G3 (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.67123e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6280      1  153330330  153333503      1       1  1000        1.173       0.1262   -1.6027e-06        1.173
_SET1_   905       2  135676363  135716915     79       8  1000     -0.29479      0.59964   -1.6027e-06     -0.29479
_SET1_   6690      5  147204143  147218794      7       2  1000     0.047426      0.47538   -1.6027e-06     0.047428
_SET1_   1212      5  175819456  175843570     39       9  1000      0.69512      0.23939   -1.6027e-06      0.69513
_SET1_   6046      6   32936437   32949282     34      10  1000     -0.18559      0.57028   -1.6027e-06     -0.18559
_SET1_   639       6  106534195  106557814     26       6  1000     -0.34395       0.6278   -1.6027e-06     -0.34395
_SET1_   3908      6  129204286  129837711   1365      58  1000    -0.029382      0.47936   -1.6027e-06     -0.02938
_SET1_   7128      6  138188325  138204451     22       4  1000      0.12213      0.43791   -1.6027e-06      0.12213
_SET1_   8900     13   37005257   37017019     18       3  1000       2.5588    0.0048364   -1.6027e-06       2.5588
_SET1_   9572     17   38249037   38256978     10       3  1000       2.7902    0.0025516   -1.6027e-06       2.7902
_SET1_   2520     17   39868578   39872221      9       2  1000     -0.20871      0.57046   -1.6027e-06     -0.20871
_SET1_   2067     19   45910591   45982241    197      26  1000      -1.2656      0.89581   -1.6027e-06      -1.2656
_SET1_   23645    19   49375649   49379319     21       3  1000      0.84624      0.18936   -1.6027e-06      0.84624
