# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SENESE_HDAC1_TARGETS_UP (set)
# _SET1_  NGENES = 421
# _SET1_  P-VALUE = 3.33332e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9903       1    6650784    6662958     16       3  1000      -0.6831      0.73748   -4.7945e-06      -0.6831
_SET1_   54206      1    8071779    8086393     24       5  1000     -0.85779      0.79173   -4.7945e-06     -0.85779
_SET1_   7799       1   14026714   14151574    178      20  1000       1.1834      0.11064   -4.7945e-06       1.1834
_SET1_   26099      1   16693525   16724643     23       5  1000      0.36946      0.33902   -4.7945e-06      0.36947
_SET1_   249        1   21835475   21904905    250      28  1000      0.77816      0.20823   -4.7945e-06      0.77817
_SET1_   55629      1   24286301   24289952      3       1  1000      0.95144      0.16105   -4.7945e-06      0.95145
_SET1_   2827       1   27719148   27722318      2       1  1000      -0.5838      0.70814   -4.7945e-06     -0.58379
_SET1_   80149      1   37940119   37949978      9       3  1000      -0.6914      0.74124   -4.7945e-06     -0.69139
_SET1_   79693      1   38268614   38273865     11       3  1000     -0.15194      0.54318   -4.7945e-06     -0.15193
_SET1_   55624      1   46654353   46685977     31       5  1000      0.91395      0.16832   -4.7945e-06      0.91396
_SET1_   55970      1   68167149   68299436    245      26  1000      0.48163       0.3023   -4.7945e-06      0.48164
_SET1_   23576      1   85784168   86044046    675      65  1000     -0.86578       0.8058   -4.7945e-06     -0.86578
_SET1_   84146      1   91380855   91487812    121       6  1000       1.0802      0.12929   -4.7945e-06       1.0802
_SET1_   6566       1  113454469  113498975     42       6  1000       1.3809     0.076541   -4.7945e-06       1.3809
_SET1_   9659       1  144851424  145076186    346      86  1000      0.25604      0.40211   -4.7945e-06      0.25605
_SET1_   25832      1  148003031  148025865     48      12  1000       0.2456      0.38743   -4.7945e-06       0.2456
_SET1_   51107      1  150237799  150241609      1       1  1000     -0.14904       0.5468   -4.7945e-06     -0.14903
_SET1_   4170       1  150547027  150552214      2       1  1000      0.48993       0.2985   -4.7945e-06      0.48994
_SET1_   8394       1  151171021  151222007     51       4  1000     -0.21867       0.5668   -4.7945e-06     -0.21867
_SET1_   574414     1  153190060  153191793      4       1  1000      -1.1375      0.86361   -4.7945e-06      -1.1375
_SET1_   3570       1  154377669  154441926    135      12  1000      0.16772      0.41466   -4.7945e-06      0.16772
_SET1_   55243      1  157963063  158065846    271      43  1000      0.52775       0.2911   -4.7945e-06      0.52776
_SET1_   3428       1  158979682  159024945    155       8  1000      -1.1115      0.85635   -4.7945e-06      -1.1115
_SET1_   1314       1  160258377  160313354     47       5  1000       2.0733     0.016841   -4.7945e-06       2.0733
_SET1_   57823      1  160708865  160724611     25       4  1000        -0.73      0.75246   -4.7945e-06        -0.73
_SET1_   127933     1  162466964  162499419     67       3  1000     -0.71713      0.74607   -4.7945e-06     -0.71713
_SET1_   5999       1  163038396  163046592     12       4  1000       2.0746     0.017023   -4.7945e-06       2.0746
_SET1_   26092      1  179851177  179889212     66       6  1000     -0.24602      0.57776   -4.7945e-06     -0.24601
_SET1_   1660       1  182808439  182857117     48       5  1000     -0.87115      0.79584   -4.7945e-06     -0.87114
_SET1_   3918       1  183147952  183214262    191      14  1000       2.0708     0.017157   -4.7945e-06       2.0708
_SET1_   9887       1  183441506  183523328     69       9  1000      -1.1624      0.86767   -4.7945e-06      -1.1624
_SET1_   7175       1  186280784  186344883    113      10  1000    -0.019181      0.48886   -4.7945e-06    -0.019176
