# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SANSOM_WNT_PATHWAY_REQUIRE_MYC (set)
# _SET1_  NGENES = 60
# _SET1_  P-VALUE = 6.12972e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2048       1   23037263   23241823    507      53  1000     -0.21036      0.56869   -7.1191e-06     -0.21036
_SET1_   3399       1   23884421   23886285      8       3  1000       1.2473      0.10037   -7.1191e-06       1.2473
_SET1_   5743       1  186640944  186649559      7       3  1000      0.82203      0.19588   -7.1191e-06      0.82203
_SET1_   142        1  226548392  226595801    101       7  1000       1.7287     0.037613   -7.1191e-06       1.7288
_SET1_   3398       2    8822113    8824583      2       1  1000       1.1621      0.11476   -7.1191e-06       1.1622
_SET1_   389058     2  171571857  171574498      5       2  1000      0.35323      0.35001   -7.1191e-06      0.35324
_SET1_   2487       2  183698002  183731498     79      11  1000     -0.29066      0.60127   -7.1191e-06     -0.29066
_SET1_   8324       2  202899310  202903160      3       1  1000      0.20873      0.40065   -7.1191e-06      0.20874
_SET1_   3485       2  217498127  217529159     33      12  1000       1.6929     0.043122   -7.1191e-06       1.6929
_SET1_   8607       3  127799800  127872752    140       8  1000     -0.32387      0.60554   -7.1191e-06     -0.32386
_SET1_   10051      3  160117078  160152755     36       5  1000       2.5016    0.0055528   -7.1191e-06       2.5016
_SET1_   86         3  179280708  179306193     39       4  1000     -0.57169      0.69981   -7.1191e-06     -0.57169
_SET1_   1857       3  183873099  183891314     24       5  1000       1.2183      0.10534   -7.1191e-06       1.2183
_SET1_   2049       3  184279587  184300196     46       8  1000     0.044476      0.46937   -7.1191e-06     0.044483
_SET1_   347        3  195295573  195311076     54      11  1000    -0.080713      0.52038   -7.1191e-06    -0.080706
_SET1_   4487       4    4861392    4865663     16       4  1000      -1.0423      0.84283   -7.1191e-06      -1.0423
_SET1_   51176      4  108968701  109090112    170      14  1000      0.25169      0.38314   -7.1191e-06       0.2517
_SET1_   6507       5   36606457   36688436    175      37  1000      0.12038      0.44796   -7.1191e-06      0.12038
_SET1_   6932       5  133450402  133483920     68       8  1000       1.0595      0.13558   -7.1191e-06       1.0596
_SET1_   6500       5  133492082  133512724     51       6  1000       1.1293      0.12122   -7.1191e-06       1.1293
_SET1_   3950       5  135282600  135290723     28       6  1000     -0.70782       0.7506   -7.1191e-06     -0.70781
_SET1_   1906       6   12290529   12297427     20       6  1000     -0.39765      0.64342   -7.1191e-06     -0.39764
_SET1_   6659       6   21593972   21598850      3       2  1000     -0.85595      0.79587   -7.1191e-06     -0.85594
_SET1_   10512      7   80371854   80551695    298      40  1000        0.915      0.17296   -7.1191e-06      0.91501
_SET1_   8454       7  148395631  148498202    182      14  1000     -0.83087      0.78394   -7.1191e-06     -0.83086
_SET1_   5327       8   42032236   42065242     41       8  1000       1.3483       0.0836   -7.1191e-06       1.3483
_SET1_   64321      8   55370495   55373456      5       2  1000      0.69347      0.23231   -7.1191e-06      0.69348
_SET1_   9134       8   95892452   95909672     21       4  1000      0.87782      0.17933   -7.1191e-06      0.87782
_SET1_   8323       8  104310661  104345094     66       7  1000     0.088193      0.44918   -7.1191e-06       0.0882
_SET1_   4609       8  128748315  128753680     11       3  1000       0.5695      0.27308   -7.1191e-06      0.56951
_SET1_   8840       8  134203282  134243933    105      21  1000    0.0053336      0.49034   -7.1191e-06    0.0053407
_SET1_   4507       9   21802635   21941040    261      24  1000     -0.72528      0.75256   -7.1191e-06     -0.72527
_SET1_   2395       9   71650479   71715094    226      14  1000      0.65398      0.24078   -7.1191e-06      0.65399
_SET1_   4920       9   94484878   94712444    693      42  1000     -0.44897      0.64602   -7.1191e-06     -0.44896
_SET1_   5727       9   98205264   98279247    118      10  1000     -0.32338      0.60911   -7.1191e-06     -0.32337
_SET1_   5092      10   72642037   72648541     13       5  1000    -0.078615      0.51964   -7.1191e-06    -0.078608
_SET1_   8861      10  103866315  103880210     10       3  1000       1.5019     0.061892   -7.1191e-06       1.5019
_SET1_   430       11    2289728    2292182      5       1  1000       1.7326     0.037335   -7.1191e-06       1.7326
_SET1_   960       11   35160417   35253949    216      39  1000      0.51436      0.29819   -7.1191e-06      0.51436
_SET1_   11197     12   65444404   65515346    100      11  1000      0.40996      0.32641   -7.1191e-06      0.40997
_SET1_   8549      12   71832931   71980090    409      26  1000    0.0028699      0.47452   -7.1191e-06     0.002877
_SET1_   55504     13   24144509   24250244    279      24  1000      0.27087      0.37666   -7.1191e-06      0.27088
_SET1_   4323      14   23305742   23316809     25       7  1000      0.69185      0.23528   -7.1191e-06      0.69186
_SET1_   3169      14   38058757   38064325      6       2  1000      -1.0478      0.84421   -7.1191e-06      -1.0478
_SET1_   8487      14   39583488   39606177     61      11  1000     -0.90059      0.80759   -7.1191e-06     -0.90058
_SET1_   51330     16    3070313    3072384      3       1  1000       1.2194      0.10398   -7.1191e-06       1.2194
_SET1_   85407     16   50582241   50674771     84       9  1000       1.8061     0.032207   -7.1191e-06       1.8061
_SET1_   1856      17    7128661    7137867     11       3  1000      0.78108      0.20718   -7.1191e-06      0.78109
_SET1_   7157      17    7571720    7590868     39       8  1000       1.3249     0.087013   -7.1191e-06       1.3249
_SET1_   51701     17   26369009   26523407     27       9  1000      0.23642      0.39672   -7.1191e-06      0.23643
_SET1_   8313      17   63524681   63557740     72      16  1000       2.3251    0.0094006   -7.1191e-06       2.3251
_SET1_   6662      17   70117161   70122561      8       2  1000      0.21147      0.40122   -7.1191e-06      0.21148
_SET1_   6093      18   18529701   18691812     78       4  1000     -0.56397      0.69328   -7.1191e-06     -0.56396
_SET1_   6510      19   47263587   47292280    104      15  1000      -1.4463       0.9214   -7.1191e-06      -1.4463
_SET1_   581       19   49458117   49465055     17       4  1000    0.0071602      0.48313   -7.1191e-06    0.0071673
_SET1_   1457      20     463338     524482     78      12  1000      0.87758      0.18114   -7.1191e-06      0.87758
_SET1_   1869      20   32263292   32274210      5       2  1000     0.056024      0.46355   -7.1191e-06     0.056031
_SET1_   655       20   55743809   55841707    262      18  1000     -0.74669      0.75736   -7.1191e-06     -0.74668
_SET1_   7074      21   32490736   32931290   1137      94  1000       -0.374      0.62003   -7.1191e-06       -0.374
_SET1_   6493      21   38071991   38122510     97      22  1000       0.4533      0.31892   -7.1191e-06      0.45331
