# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_HEMOSTASIS (set)
# _SET1_  NGENES = 582
# _SET1_  P-VALUE = 1.64573e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782       1    1716725    1822552    112      10  1000      0.25046      0.38887   -5.4298e-06      0.25047
_SET1_   5590       1    1981909    2116834    431      31  1000     -0.39569      0.64822   -5.4298e-06     -0.39569
_SET1_   23095      1   10270606   10441664    264       6  1000       1.0243      0.14224   -5.4298e-06       1.0243
_SET1_   9927       1   12040238   12073572     80       7  1000     -0.60759      0.71749   -5.4298e-06     -0.60759
_SET1_   10630      1   13910252   13944452     86      20  1000       2.0343     0.020425   -5.4298e-06       2.0343
_SET1_   832        1   19665267   19812066    435      20  1000     0.059258      0.46466   -5.4298e-06     0.059263
_SET1_   998        1   22379120   22419439     38       7  1000       1.3527     0.082334   -5.4298e-06       1.3527
_SET1_   23028      1   23345937   23410184     63       6  1000      0.27232      0.37971   -5.4298e-06      0.27233
_SET1_   5051       1   26286258   26326366     73       4  1000       1.6185     0.048963   -5.4298e-06       1.6185
_SET1_   2268       1   27938800   27961727     30       5  1000      0.99243      0.14336   -5.4298e-06      0.99243
_SET1_   9672       1   31342313   31381480     72      18  1000      0.78061      0.21419   -5.4298e-06      0.78062
_SET1_   3932       1   32716840   32751766     25       6  1000      0.97219       0.1541   -5.4298e-06       0.9722
_SET1_   3065       1   32757708   32799227     22       2  1000       1.2108      0.11029   -5.4298e-06       1.2108
_SET1_   10487      1   40505912   40538321    100       6  1000     -0.30261      0.59835   -5.4298e-06     -0.30261
_SET1_   4352       1   43803475   43820135      9       2  1000      0.92816      0.17233   -5.4298e-06      0.92816
_SET1_   11004      1   45205396   45233439     43       5  1000    -0.045184      0.50282   -5.4298e-06    -0.045178
_SET1_   8503       1   46505812   46642167    195      13  1000     0.065346      0.46313   -5.4298e-06     0.065352
_SET1_   7804       1   53708036   53793821    159      21  1000     -0.29304       0.6109   -5.4298e-06     -0.29303
_SET1_   85440      1   62920397   63154039    227       3  1000     -0.34627      0.61483   -5.4298e-06     -0.34626
_SET1_   55970      1   68167149   68299436    245      26  1000     -0.60191      0.72146   -5.4298e-06      -0.6019
_SET1_   5567       1   84543745   84704181    180      13  1000     -0.96651      0.82664   -5.4298e-06     -0.96651
_SET1_   2787       1   84964006   84972262     15       4  1000       1.5935     0.051227   -5.4298e-06       1.5935
_SET1_   2152       1   94994732   95007413     18       4  1000       0.6262      0.26074   -5.4298e-06      0.62621
_SET1_   10451      1  108113782  108507545   1048      63  1000     -0.39311      0.65958   -5.4298e-06      -0.3931
_SET1_   6814       1  109289285  109352148    154       5  1000       0.7551      0.21216   -5.4298e-06       0.7551
_SET1_   2773       1  110091186  110138465     47       6  1000      0.71708      0.22529   -5.4298e-06      0.71708
_SET1_   5906       1  112162405  112256807    282      19  1000       0.8941      0.17629   -5.4298e-06      0.89411
_SET1_   829        1  113162075  113214241     58       6  1000      0.53378      0.28719   -5.4298e-06      0.53379
_SET1_   6566       1  113454469  113498975     42       6  1000      0.76408      0.21421   -5.4298e-06      0.76408
_SET1_   4893       1  115247085  115259515      6       2  1000      0.29454      0.37612   -5.4298e-06      0.29454
_SET1_   965        1  117057156  117113715     47       7  1000      0.57613      0.26561   -5.4298e-06      0.57613
_SET1_   914        1  117297057  117311851     29       6  1000     -0.78341      0.77289   -5.4298e-06      -0.7834
_SET1_   8515       1  145524709  145543868     19       5  1000       0.6172      0.25933   -5.4298e-06       0.6172
_SET1_   11311      1  150039350  150117505     66       4  1000      0.18999      0.40274   -5.4298e-06         0.19
_SET1_   1893       1  150480487  150486265      9       3  1000      0.42478      0.33039   -5.4298e-06      0.42478
_SET1_   6281       1  151955386  151966714     12       3  1000       1.0119       0.1505   -5.4298e-06       1.0119
_SET1_   6464       1  154934774  154946959      7       1  1000      0.97439      0.15169   -5.4298e-06       0.9744
_SET1_   8407       1  159887897  159895332     10       3  1000      -1.4766      0.92821   -5.4298e-06      -1.4766
_SET1_   8832       1  160510884  160549306    114      10  1000      -1.0806      0.84835   -5.4298e-06      -1.0806
_SET1_   962        1  160648536  160681641    121      15  1000       1.2017      0.11096   -5.4298e-06       1.2017
_SET1_   51744      1  160799950  160832692     94       8  1000     -0.48111      0.67302   -5.4298e-06     -0.48111
_SET1_   50848      1  160965001  160991133     53       3  1000     -0.24213      0.58244   -5.4298e-06     -0.24212
_SET1_   2207       1  161185087  161189038      5       3  1000     -0.97112      0.82957   -5.4298e-06     -0.97112
_SET1_   481        1  169075947  169101960    108      18  1000     -0.44826      0.66835   -5.4298e-06     -0.44825
_SET1_   2153       1  169481192  169555769    285      22  1000        1.322      0.08946   -5.4298e-06        1.322
_SET1_   6403       1  169558087  169599377    107      20  1000     -0.36812      0.63986   -5.4298e-06     -0.36812
_SET1_   6402       1  169659806  169680843     84      13  1000     -0.49778      0.67811   -5.4298e-06     -0.49777
_SET1_   6401       1  169691781  169703220     49       6  1000       0.1565      0.42123   -5.4298e-06      0.15651
_SET1_   22920      1  169890461  170043882    178      19  1000     -0.67633      0.74232   -5.4298e-06     -0.67632
_SET1_   462        1  173872938  173886516     23       4  1000     -0.98225      0.82702   -5.4298e-06     -0.98224
_SET1_   5768       1  180123968  180169430    192      18  1000      0.35402      0.34683   -5.4298e-06      0.35403
_SET1_   5321       1  186798032  186958113    361      33  1000      -0.9237      0.81995   -5.4298e-06      -0.9237
_SET1_   2165       1  197007877  197036568     46       5  1000     -0.20938      0.57204   -5.4298e-06     -0.20938
_SET1_   23046      1  200938514  200992828    150      17  1000      -0.3345      0.61939   -5.4298e-06      -0.3345
_SET1_   51706      1  202931001  202936404     10       3  1000     -0.40456       0.6473   -5.4298e-06     -0.40455
_SET1_   493        1  203595915  203713209    288      35  1000     -0.66762      0.74373   -5.4298e-06     -0.66761
_SET1_   83953      1  207131312  207143970     37       4  1000      0.43874       0.3171   -5.4298e-06      0.43875
_SET1_   5525       1  212458879  212535205    163      19  1000       1.9191     0.025865   -5.4298e-06       1.9191
_SET1_   7042       1  218518676  218617961    168      27  1000       1.4498     0.071942   -5.4298e-06       1.4498
_SET1_   7044       1  226124298  226129083      5       2  1000     -0.72508      0.75775   -5.4298e-06     -0.72508
_SET1_   3020       1  226250408  226259703      5       1  1000     -0.66021      0.73889   -5.4298e-06     -0.66021
_SET1_   2786       1  235710985  235814054    316      28  1000      0.26921      0.39181   -5.4298e-06      0.26921
_SET1_   88         1  236849754  236927931    245      34  1000     -0.46061      0.67536   -5.4298e-06     -0.46061
_SET1_   55083      1  245318287  245866428   1739     169  1000     -0.25786      0.63844   -5.4298e-06     -0.25785
_SET1_   51097      1  246887378  246931439     98      11  1000      0.24526      0.39103   -5.4298e-06      0.24526
_SET1_   6382       2   20400558   20425194     55       6  1000      0.56491      0.27765   -5.4298e-06      0.56491
_SET1_   388        2   20646835   20649201      2       1  1000      0.25435      0.39716   -5.4298e-06      0.25436
_SET1_   338        2   21224301   21266945     43       9  1000      0.92119       0.1731   -5.4298e-06       0.9212
_SET1_   3797       2   26149455   26205443    114      15  1000      -0.8579      0.79517   -5.4298e-06     -0.85789
_SET1_   30845      2   31456880   31491260     96      10  1000     -0.35914      0.62978   -5.4298e-06     -0.35914
_SET1_   6654       2   39208690   39347686    248      10  1000      0.48828      0.28723   -5.4298e-06      0.48828
_SET1_   6546       2   40339286   40739575   1163      66  1000      -1.2546      0.89922   -5.4298e-06      -1.2546
_SET1_   5581       2   45878454   46415129   1547     152  1000       1.4087     0.095277   -5.4298e-06       1.4087
_SET1_   4072       2   47596287   47614167     36       6  1000     -0.24465      0.58322   -5.4298e-06     -0.24465
_SET1_   5341       2   68592322   68624585    135       9  1000     -0.32677      0.61679   -5.4298e-06     -0.32676
_SET1_   151        2   96778623   96782281      4       2  1000      -0.9912      0.83358   -5.4298e-06     -0.99119
_SET1_   10461      2  112656056  112797293    332      10  1000    -0.071015      0.51287   -5.4298e-06     -0.07101
_SET1_   2995       2  127413426  127454251    140      21  1000      -1.3408      0.90875   -5.4298e-06      -1.3408
_SET1_   5624       2  128175996  128186822     26       5  1000     -0.53222       0.6956   -5.4298e-06     -0.53222
_SET1_   112714     2  130949318  130956034     12       2  1000       1.2481      0.10262   -5.4298e-06       1.2481
_SET1_   113457     2  132233580  132240507     22       2  1000     -0.69333      0.73682   -5.4298e-06     -0.69332
_SET1_   2888       2  165349323  165478360    180      23  1000      -1.5062      0.93166   -5.4298e-06      -1.5062
_SET1_   3655       2  173291954  173371181    280      21  1000     0.069023      0.45751   -5.4298e-06     0.069029
_SET1_   11069      2  173600525  173917621    599      47  1000        1.414     0.079463   -5.4298e-06        1.414
_SET1_   29789      2  174937175  175113365    445      17  1000       1.2854     0.093097   -5.4298e-06       1.2854
_SET1_   50940      2  178487977  178973066   1467      41  1000      0.86643      0.18585   -5.4298e-06      0.86644
_SET1_   7273       2  179390716  179672150    285      21  1000     0.021259       0.4736   -5.4298e-06     0.021265
_SET1_   3676       2  182321619  182402474    174      17  1000      -0.7661       0.7722   -5.4298e-06     -0.76609
_SET1_   5136       2  183004762  183387572    920      41  1000      0.37085      0.35248   -5.4298e-06      0.37085
_SET1_   3685       2  187454058  187545629    111      13  1000      0.49728      0.30149   -5.4298e-06      0.49729
_SET1_   7035       2  188328957  188419219    122      16  1000     -0.44859      0.66483   -5.4298e-06     -0.44859
_SET1_   2335       2  216225177  216300890    207      19  1000     -0.31205      0.61586   -5.4298e-06     -0.31205
_SET1_   14         2  219128852  219134893      2       1  1000       -0.404      0.65765   -5.4298e-06     -0.40399
_SET1_   7277       2  220114433  220119330      5       1  1000     -0.50426      0.67589   -5.4298e-06     -0.50426
_SET1_   5270       2  224839765  224904036    246      29  1000       1.9458     0.024856   -5.4298e-06       1.9458
_SET1_   55619      2  225629807  225907330    631      47  1000      -0.6259        0.736   -5.4298e-06     -0.62589
_SET1_   8527       2  234263149  234380744    204      21  1000      0.42729      0.32576   -5.4298e-06      0.42729
_SET1_   6694       2  234959346  234985776    107      11  1000      0.28733      0.37421   -5.4298e-06      0.28734
_SET1_   2817       2  241375115  241407495    118      24  1000       2.9119     0.001755   -5.4298e-06       2.9119
_SET1_   547        2  241653181  241759725    224      30  1000      -1.2438      0.89262   -5.4298e-06      -1.2438
_SET1_   3708       3    4535032    4889524    974     129  1000      0.50211      0.34695   -5.4298e-06      0.50211
_SET1_   491        3   10365707   10733131   1063     102  1000       1.4648     0.083253   -5.4298e-06       1.4648
_SET1_   5894       3   12625100   12705700    170      11  1000      -1.3562      0.90708   -5.4298e-06      -1.3562
_SET1_   64145      3   15111580   15140662     59       4  1000     -0.98597      0.82112   -5.4298e-06     -0.98596
_SET1_   5868       3   19988572   20026667    120      14  1000     -0.71171      0.75313   -5.4298e-06      -0.7117
_SET1_   56992      3   44803209   44894748     70       6  1000      -1.0507      0.84686   -5.4298e-06      -1.0507
_SET1_   7123       3   45067759   45077563     29       2  1000     -0.97765      0.82925   -5.4298e-06     -0.97764
_SET1_   64147      3   47269516   47324337     45       4  1000     -0.28797      0.60082   -5.4298e-06     -0.28796
_SET1_   5576       3   48784017   48885270     42       4  1000     -0.19377       0.5628   -5.4298e-06     -0.19377
_SET1_   387        3   49396569   49449526     72       6  1000     -0.15148       0.5489   -5.4298e-06     -0.15147
_SET1_   2771       3   50264120   50296786     30       6  1000    -0.052522      0.49717   -5.4298e-06    -0.052516
_SET1_   1795       3   50712672   51421629   1083      10  1000      0.23472      0.37157   -5.4298e-06      0.23472
_SET1_   7873       3   51422692   51426828      5       1  1000      0.39604      0.32007   -5.4298e-06      0.39605
_SET1_   51368      3   51705191   51738339     14       4  1000      0.83511      0.18878   -5.4298e-06      0.83512
_SET1_   3699       3   52828784   52843025     29       5  1000     -0.36716      0.62667   -5.4298e-06     -0.36716
_SET1_   3700       3   52847006   52864717     75       7  1000     -0.61567      0.71388   -5.4298e-06     -0.61567
_SET1_   5580       3   53195223   53226733     62       9  1000     -0.89274      0.80459   -5.4298e-06     -0.89273
_SET1_   57406      3   58223233   58280463    192      16  1000     0.030896      0.47741   -5.4298e-06     0.030902
_SET1_   5627       3   93591881   93692934     55      10  1000     -0.69632      0.74872   -5.4298e-06     -0.69631
_SET1_   961        3  107761941  107809935     57       8  1000       1.3777     0.080149   -5.4298e-06       1.3777
_SET1_   11343      3  127407905  127542093    364      45  1000     -0.62792      0.73665   -5.4298e-06     -0.62791
_SET1_   2624       3  128198265  128212030     25       6  1000      0.99746      0.15458   -5.4298e-06      0.99747
_SET1_   2815       3  128775459  128781254      2       1  1000      0.62216      0.26972   -5.4298e-06      0.62216
_SET1_   7018       3  133464977  133497850     97      11  1000       1.2014      0.10993   -5.4298e-06       1.2014
_SET1_   5291       3  138371540  138553780    177       4  1000     -0.38464      0.63653   -5.4298e-06     -0.38464
_SET1_   483        3  141595424  141645382    149      13  1000      0.23052      0.39536   -5.4298e-06      0.23052
_SET1_   64805      3  151054631  151102600    139      20  1000      -1.2362      0.88886   -5.4298e-06      -1.2362
_SET1_   5028       3  152552736  152555845      5       2  1000      0.67088        0.237   -5.4298e-06      0.67088
_SET1_   10242      3  178254086  178562217    825      37  1000      0.21677      0.40996   -5.4298e-06      0.21678
_SET1_   5290       3  178866311  178952500    126       9  1000     -0.21147      0.56641   -5.4298e-06     -0.21146
_SET1_   27094      3  178957537  178984838    120      15  1000     -0.25658       0.5936   -5.4298e-06     -0.25657
_SET1_   55669      3  179065480  179111014     81      11  1000     -0.35304      0.62501   -5.4298e-06     -0.35304
_SET1_   59345      3  179113876  179169371     96      14  1000     -0.47591      0.67561   -5.4298e-06      -0.4759
_SET1_   7066       3  184089773  184097368     17       5  1000       0.5314       0.2892   -5.4298e-06       0.5314
_SET1_   1608       3  185852896  186080023    477      76  1000     0.087866      0.48878   -5.4298e-06     0.087871
_SET1_   197        3  186330850  186339107     15       3  1000      0.13864      0.43826   -5.4298e-06      0.13865
_SET1_   3273       3  186383747  186396023     26       5  1000     0.045326      0.47276   -5.4298e-06     0.045331
_SET1_   3827       3  186435098  186462199    135      12  1000       2.2608     0.011243   -5.4298e-06       2.2608
_SET1_   2814       3  194115550  194119995     16       2  1000     -0.23409      0.56395   -5.4298e-06     -0.23409
