# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN (set)
# _SET1_  NGENES = 133
# _SET1_  P-VALUE = 1.13659e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11079      1    2323214    2336883     30       8  1000       1.0946      0.12678   -6.6413e-06       1.0946
_SET1_   57535      1  109656585  109749403    281      26  1000     -0.14702      0.54542   -6.6413e-06     -0.14701
_SET1_   284613     1  110036658  110043063     10       3  1000     -0.35768      0.61766   -6.6413e-06     -0.35768
_SET1_   440603     1  114419436  114430230     19       5  1000       1.0246      0.14002   -6.6413e-06       1.0247
_SET1_   83998      1  120336641  120354203     52       8  1000      -1.2076       0.8747   -6.6413e-06      -1.2076
_SET1_   2330       1  146655884  146697390     92      11  1000     -0.46176      0.65839   -6.6413e-06     -0.46175
_SET1_   51043      1  154975106  154991001     13       4  1000     0.029954      0.46522   -6.6413e-06     0.029961
_SET1_   4582       1  155158300  155162768      2       1  1000     0.017681      0.46735   -6.6413e-06     0.017687
_SET1_   10223      1  167022082  167059868     85      13  1000      -1.2328      0.88193   -6.6413e-06      -1.2328
_SET1_   10753      1  230883089  230937749    232      28  1000     -0.69536      0.74976   -6.6413e-06     -0.69536
_SET1_   92291      2   30945637   31030383    317      46  1000    -0.067021      0.53474   -6.6413e-06    -0.067014
_SET1_   64240      2   44039611   44066039     86      13  1000     -0.14965       0.5413   -6.6413e-06     -0.14964
_SET1_   494143     2   53994929   54002320     12       4  1000     -0.54695      0.68996   -6.6413e-06     -0.54694
_SET1_   84279      2   73455134   73460356     11       3  1000      -1.5615      0.93352   -6.6413e-06      -1.5615
_SET1_   5967       2   79347584   79350545      8       2  1000     -0.25584      0.57471   -6.6413e-06     -0.25583
_SET1_   5068       2   79384132   79386880      3       2  1000    -0.033829      0.49556   -6.6413e-06    -0.033822
_SET1_   6819       2  108905095  108926371     35       7  1000      0.25953      0.37705   -6.6413e-06      0.25953
_SET1_   84269      2  113342023  113346617      9       2  1000       1.0442      0.13281   -6.6413e-06       1.0442
_SET1_   55240      2  119981384  120023228     94      12  1000     -0.20386      0.55999   -6.6413e-06     -0.20385
_SET1_   1373       2  211342406  211543831    380      25  1000      0.50796      0.28895   -6.6413e-06      0.50797
_SET1_   79853      2  228226872  228244022     71      13  1000       1.4798     0.064321   -6.6413e-06       1.4799
_SET1_   79083      2  238395053  238463961    334      17  1000      0.61123      0.24938   -6.6413e-06      0.61123
_SET1_   686        3   15642864   15689147     80      10  1000       0.1866      0.40453   -6.6413e-06      0.18661
