# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 6.76998e-09
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   137886     8   59323823   59364060     79      11  1000       -1.751       0.9557    1.6653e-06       -1.751
_SET1_   1581       8   59402737   59412720     17       3  1000     -0.69426      0.73552    1.6653e-06     -0.69427
_SET1_   6386       8   59465566   59495419     52       4  1000     -0.34416      0.60665    1.6653e-06     -0.34416
_SET1_   8439       8   59496063   59572404    166      15  1000      0.57398      0.26414    1.6653e-06      0.57397
_SET1_   5862       8   61429469   61536203    275      13  1000      0.26419       0.3688    1.6653e-06      0.26419
_SET1_   55636      8   61591321   61780587    268       9  1000       1.4164     0.066567    1.6653e-06       1.4164
_SET1_   157807     8   62200514   62414204    353      32  1000        1.563     0.054309    1.6653e-06        1.563
_SET1_   444        8   62413115   62627199    414      28  1000    -0.059818      0.50261    1.6653e-06     -0.05982
_SET1_   286183     8   63161501   63912211   1948      56  1000      0.62265      0.22627    1.6653e-06      0.62264
_SET1_   8836       8   63927638   63951610     83       9  1000       1.6521     0.044567    1.6653e-06       1.6521
_SET1_   7274       8   63972047   63998612     46       8  1000      0.99758      0.14863    1.6653e-06      0.99758
_SET1_   253943     8   64081112   64125346     44       7  1000      0.90707      0.17175    1.6653e-06      0.90707
_SET1_   23213      8   70378859   70573147    406      61  1000       1.0553      0.14572    1.6653e-06       1.0553
_SET1_   81796      8   70584110   70747299    323      29  1000       2.2914    0.0096457    1.6653e-06       2.2914
_SET1_   63978      8   70963886   70983562     49      10  1000     -0.12133      0.53089    1.6653e-06     -0.12134
_SET1_   10499      8   71021997   71316062    342      11  1000      0.31173      0.35051    1.6653e-06      0.31173
_SET1_   23471      8   71485453   71520694     44       5  1000       1.1007       0.1246    1.6653e-06       1.1007
_SET1_   51110      8   71549501   71581447     68       7  1000       1.1903      0.10451    1.6653e-06       1.1903
_SET1_   389668     8   71581600   71648177    149       6  1000      0.16736      0.39769    1.6653e-06      0.16736
_SET1_   2138       8   72109668   72459888    621      72  1000      0.94223      0.17342    1.6653e-06      0.94223
_SET1_   9242       8   72753777   72756731      7       3  1000      0.34645      0.34809    1.6653e-06      0.34645
_SET1_   8989       8   72933486   72987819    202      17  1000       1.3206     0.083434    1.6653e-06       1.3206
_SET1_   9312       8   73449626   73850584    874      51  1000       1.9793     0.020822    1.6653e-06       1.9793
_SET1_   7013       8   73921097   73959987     50       4  1000      -1.1709      0.86282    1.6653e-06      -1.1709
_SET1_   157869     8   73976778   74005507     59      16  1000      0.46273      0.30978    1.6653e-06      0.46273
_SET1_   6129       8   74202874   74205869      5       2  1000     -0.92341      0.80823    1.6653e-06     -0.92341
_SET1_   157506     8   74206837   74237520     55       7  1000     0.079878      0.44482    1.6653e-06     0.079876
_SET1_   27067      8   74332604   74659943    808      32  1000       2.1498     0.012772    1.6653e-06       2.1498
_SET1_   55284      8   74692332   74791145     69       6  1000      0.49964      0.29027    1.6653e-06      0.49963
_SET1_   6921       8   74857373   74884522     55       5  1000      0.30718      0.35379    1.6653e-06      0.30718
_SET1_   54968      8   74888377   74895018     25       3  1000      0.53813      0.27324    1.6653e-06      0.53813
_SET1_   23643      8   74903564   74941314     87      11  1000      0.83627      0.18798    1.6653e-06      0.83627
_SET1_   56704      8   75146935   75233721    181      25  1000      0.34909      0.35352    1.6653e-06      0.34909
_SET1_   54332      8   75262618   75279345     53       6  1000      0.19664       0.3963    1.6653e-06      0.19664
_SET1_   51050      8   75736772   75767264     45       5  1000      0.22282      0.38657    1.6653e-06      0.22281
_SET1_   83690      8   75896708   75946793     93       9  1000       1.7049     0.039455    1.6653e-06       1.7049
_SET1_   3174       8   76452203   76479069     71       7  1000       1.5206     0.056064    1.6653e-06       1.5206
_SET1_   79776      8   77593515   77779521    249      24  1000      -1.7699      0.95903    1.6653e-06      -1.7699
_SET1_   5828       8   77892494   77913280     17       4  1000      0.54238      0.27459    1.6653e-06      0.54238
_SET1_   5569       8   79428336   79517502    101       6  1000     -0.83105      0.77948    1.6653e-06     -0.83105
_SET1_   51101      8   79578282   79632000     64       3  1000      0.76396      0.19942    1.6653e-06      0.76396
_SET1_   3574       8   79645007   79717758     72       8  1000       1.4985     0.061623    1.6653e-06       1.4985
_SET1_   11075      8   80523049   80578410    138      18  1000    0.0037905      0.48115    1.6653e-06    0.0037888
_SET1_   23462      8   80676245   80680098      4       2  1000       -0.836      0.78416    1.6653e-06       -0.836
_SET1_   28957      8   80830952   80942516     95       7  1000      0.34372       0.3414    1.6653e-06      0.34372
_SET1_   7163       8   80947103   81083836    375      16  1000      0.20533      0.38485    1.6653e-06      0.20533
_SET1_   65986      8   81397854   81438500     53       5  1000     -0.11653      0.52173    1.6653e-06     -0.11653
_SET1_   619279     8   81540686   81787016    247      19  1000       2.2757     0.010655    1.6653e-06       2.2757
_SET1_   55824      8   81880045   82024303    282      32  1000       3.1173   0.00081641    1.6653e-06       3.1173
_SET1_   2171       8   82192718   82197012      1       1  1000       2.1871      0.01362    1.6653e-06       2.1871
_SET1_   5375       8   82352561   82359719     10       2  1000   -0.0017935      0.48209    1.6653e-06   -0.0017952
_SET1_   646480     8   82370618   82373758      6       3  1000     -0.20189      0.57667    1.6653e-06     -0.20189
_SET1_   2167       8   82390732   82395473     12       2  1000      0.19529      0.40191    1.6653e-06      0.19529
_SET1_   3612       8   82569151   82599029     41       8  1000     -0.30433      0.60344    1.6653e-06     -0.30433
_SET1_   347051     8   82605891   82607207      3       1  1000     -0.75407      0.76085    1.6653e-06     -0.75407
_SET1_   79752      8   82613566   82633539     53       8  1000     -0.90754      0.80506    1.6653e-06     -0.90755
_SET1_   92421      8   82644688   82671750     46       9  1000      0.15112      0.42434    1.6653e-06      0.15112
_SET1_   64089      8   82711816   82754539    126       8  1000     0.099183       0.4317    1.6653e-06     0.099181
_SET1_   138046     8   85095453   85834079   1064      33  1000       1.3408      0.07327    1.6653e-06       1.3408
_SET1_   168975     8   87878676   88394955   1084      37  1000      0.17058      0.39035    1.6653e-06      0.17058
_SET1_   138009     8   88882971   88886296      3       2  1000     -0.96309      0.82344    1.6653e-06     -0.96309
_SET1_   4325       8   89049460   89339717    499      44  1000       1.2081      0.10733    1.6653e-06       1.2081
_SET1_   8767       8   90769335   90803292    107      12  1000       1.0811      0.12962    1.6653e-06       1.0811
_SET1_   734        8   90914096   90940096     43       8  1000      0.51059      0.29198    1.6653e-06      0.51059
_SET1_   4683       8   90945564   90996952    117       9  1000        1.059      0.13102    1.6653e-06        1.059
_SET1_   1666       8   91013580   91064232    111      10  1000       1.4861     0.063398    1.6653e-06        1.486
_SET1_   793        8   91070836   91095107     32       5  1000      0.35495      0.34731    1.6653e-06      0.35495
_SET1_   169200     8   91634223   91658133     66       9  1000       1.2693     0.094534    1.6653e-06       1.2692
_SET1_   64168      8   91803921   91971630    292       9  1000      0.32088      0.34025    1.6653e-06      0.32088
_SET1_   55529      8   92006499   92053203     62       6  1000       1.0876      0.12446    1.6653e-06       1.0876
_SET1_   51633      8   92082424   92099323     16       2  1000       1.6994     0.038294    1.6653e-06       1.6994
_SET1_   115111     8   92261508   92410378    213      21  1000       1.9269     0.024358    1.6653e-06       1.9269
_SET1_   862        8   92967195   93115454    136       3  1000      0.31674      0.34074    1.6653e-06      0.31674
_SET1_   137392     8   94712480   94741481     21       3  1000      0.85554      0.17867    1.6653e-06      0.85554
_SET1_   389677     8   94742798   94753268     11       2  1000       1.0917      0.12324    1.6653e-06       1.0917
