# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NOUSHMEHR_GBM_GERMLINE_MUTATED (set)
# _SET1_  NGENES = 7
# _SET1_  P-VALUE = 8.11822e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9580       1  204042237  204096871    117      28  1000      0.71013      0.22909    2.6769e-06      0.71012
_SET1_   169522     9    2717526    2730037     21       5  1000      0.88841      0.17349    2.6769e-06      0.88841
_SET1_   5305      10   22823766   23003503    413      21  1000       2.0717     0.017208    2.6769e-06       2.0717
_SET1_   1103      10   50817141   50873150    145      27  1000      0.90204      0.17449    2.6769e-06      0.90204
_SET1_   430       11    2289728    2292182      5       1  1000      0.46819      0.30051    2.6769e-06      0.46819
_SET1_   8525      11   46354455   46402104     44       8  1000       2.9671     0.001241    2.6769e-06       2.9671
_SET1_   28513     18   64168320   64271375    194      20  1000      0.22031      0.39699    2.6769e-06      0.22031

# _SET2_  VARIABLE = REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM (set)
# _SET2_  NGENES = 4
# _SET2_  P-VALUE = 5.7632e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   192668     2   10196926   10220538     81      14  1000      0.58074      0.26504    2.6769e-06      0.58074
_SET2_   27031      3  132399453  132441303     61      11  1000       1.5075      0.05927    2.6769e-06       1.5074
_SET2_   403       10  104433484  104474190     54       8  1000      0.19232      0.40316    2.6769e-06      0.19232
_SET2_   84747     12  121148238  121161443     33       5  1000       2.0997     0.015633    2.6769e-06       2.0997
