# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MCBRYAN_TERMINAL_END_BUD_DN (set)
# _SET1_  NGENES = 6
# _SET1_  P-VALUE = 2.89642e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3932      1   32716840   32751766     25       6  1000      0.48119      0.31386   -2.0086e-06       0.4812
_SET1_   26227     1  120254419  120286849     60      14  1000       1.2765     0.099559   -2.0086e-06       1.2765
_SET1_   2934      9  124030380  124095122    138      13  1000     -0.14237      0.54749   -2.0086e-06     -0.14237
_SET1_   2113     11  128328656  128457453    222      36  1000       1.7948     0.038097   -2.0086e-06       1.7948
_SET1_   11151    16   30194731   30200397      3       1  1000        1.354     0.081478   -2.0086e-06        1.354
_SET1_   8204     21   16333556   16438224    218      29  1000       5.3952   1.6764e-16   -2.0086e-06       5.3952

# _SET2_  VARIABLE = CERIBELLI_GENES_INACTIVE_AND_BOUND_BY_NFY (set)
# _SET2_  NGENES = 33
# _SET2_  P-VALUE = 7.3313e-06
_SET2_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   10859     19  55128384  55149007     87      10  1000     -0.32243      0.61788   -2.0086e-06     -0.32243
_SET2_   8480      20  55926145  55953519     25       4  1000      0.95642      0.16188   -2.0086e-06      0.95642
_SET2_   55544     20  55966454  55984389     45       8  1000     -0.62828      0.73017   -2.0086e-06     -0.62828
_SET2_   128602    20  56725983  56736186      9       2  1000       1.1023      0.12455   -2.0086e-06       1.1023
_SET2_   1908      20  57875499  57901047     34       7  1000      0.53895      0.29192   -2.0086e-06      0.53895
_SET2_   60437     20  58533471  58588772     65      12  1000      0.74635      0.22889   -2.0086e-06      0.74635
_SET2_   26164     20  60758081  60778624     83      13  1000      0.95672       0.1656   -2.0086e-06      0.95672
_SET2_   317754    21  14982498  15013937     13       4  1000       2.6763    0.0035094   -2.0086e-06       2.6763
_SET2_   8204      21  16333556  16438224    218      29  1000       5.3952   1.6764e-16   -2.0086e-06       5.3952
_SET2_   1525      21  18885224  18965897    215      20  1000       1.1862       0.1159   -2.0086e-06       1.1862
_SET2_   56246     21  33664124  33687095     32       6  1000      0.61748      0.26196   -2.0086e-06      0.61748
_SET2_   8867      21  33997269  34100351     87       9  1000      0.69662      0.23341   -2.0086e-06      0.69662
_SET2_   874       21  37506614  37518860     43       5  1000       0.9743      0.15471   -2.0086e-06       0.9743
_SET2_   150082    21  40777770  40817676     90       6  1000      0.50318      0.29249   -2.0086e-06      0.50318
_SET2_   4599      21  42792520  42831141    190      14  1000       1.3678     0.080529   -2.0086e-06       1.3678
_SET2_   53347     21  43823971  43867790    127      17  1000       1.8742     0.029691   -2.0086e-06       1.8742
_SET2_   7327      21  46188495  46221751     87      12  1000       1.7553      0.03807   -2.0086e-06       1.7553
_SET2_   6285      21  48018531  48025035     31       8  1000     -0.50036      0.68752   -2.0086e-06     -0.50036
_SET2_   3275      21  48055507  48085155     52       8  1000     0.063013      0.46773   -2.0086e-06     0.063015
_SET2_   128954    22  17442826  17489112     80      10  1000      0.74091       0.2226   -2.0086e-06      0.74092
_SET2_   85376     22  20455991  20461786      2       1  1000      0.42232      0.32706   -2.0086e-06      0.42232
_SET2_   729461    22  20639647  20661407     34      14  1000     -0.30941      0.62194   -2.0086e-06     -0.30941
_SET2_   9127      22  21369442  21382302     47      15  1000     -0.21456      0.58573   -2.0086e-06     -0.21456
_SET2_   3543      22  23915312  23922619     32       8  1000     -0.90461      0.81613   -2.0086e-06     -0.90461
_SET2_   51233     22  23950639  23974508     48       8  1000     -0.46621      0.67288   -2.0086e-06     -0.46621
_SET2_   135       22  24819565  24838328     19       6  1000      -1.3105      0.90274   -2.0086e-06      -1.3105
_SET2_   1415      22  25615612  25627836     48      10  1000      0.47202      0.31312   -2.0086e-06      0.47203
_SET2_   10634     22  29702985  29708778      4       2  1000       1.7031     0.041209   -2.0086e-06       1.7031
_SET2_   4744      22  29876181  29887279     27       6  1000       1.2859     0.096458   -2.0086e-06       1.2859
_SET2_   50487     22  31530793  31536469     16       8  1000     0.025375       0.4891   -2.0086e-06     0.025377
_SET2_   10738     22  32750872  32757148     48       4  1000       2.0192     0.020791   -2.0086e-06       2.0192
_SET2_   80833     22  36536371  36562225     86      14  1000       1.5362     0.060876   -2.0086e-06       1.5362
_SET2_   79734     22  37447779  37459430      4       1  1000     0.026667      0.48016   -2.0086e-06     0.026669
