# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 7.27102e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11189      1  151672534  151689290     26       5  1000     -0.24285      0.58503    2.8608e-06     -0.24285
_SET1_   65005      1  151732119  151736040     13       3  1000     -0.93962      0.81849    2.8608e-06     -0.93962
_SET1_   51686      1  151735445  151743806     25       4  1000     0.061051      0.45991    2.8608e-06     0.061048
_SET1_   11022      1  151742741  151763052     59       5  1000     -0.24644      0.58138    2.8608e-06     -0.24644
_SET1_   339398     1  151772765  151777882      8       2  1000      0.82123      0.19459    2.8608e-06      0.82123
_SET1_   6097       1  151778547  151804348     48       9  1000       1.7819     0.035568    2.8608e-06       1.7819
_SET1_   284486     1  151818220  151826173     11       2  1000      0.11217       0.4388    2.8608e-06      0.11216
_SET1_   117145     1  151843342  151882361     60       4  1000     -0.23745      0.58299    2.8608e-06     -0.23745
_SET1_   10654      1  154897208  154909484     17       3  1000       1.4502     0.072446    2.8608e-06       1.4502
_SET1_   57326      1  154916553  154928624      5       2  1000       1.4167      0.07277    2.8608e-06       1.4167
_SET1_   6464       1  154934774  154946959      7       1  1000      0.23309      0.40054    2.8608e-06      0.23309
_SET1_   1163       1  154947118  154951725      2       1  1000       1.3491      0.08312    2.8608e-06       1.3491
_SET1_   80308      1  154955770  154965587      9       1  1000      0.63432      0.27438    2.8608e-06      0.63431
_SET1_   51043      1  154975106  154991001     13       4  1000     -0.20576      0.56761    2.8608e-06     -0.20576
_SET1_   127579     1  154991003  155006257     16       3  1000     -0.11352      0.52801    2.8608e-06     -0.11353
_SET1_   149095     1  155006256  155023406     14       2  1000       1.3632      0.07884    2.8608e-06       1.3631
_SET1_   8751       1  155023748  155035252     16       5  1000      0.65988      0.24584    2.8608e-06      0.65988
_SET1_   1945       1  155036213  155042029      3       1  1000     -0.24522      0.57639    2.8608e-06     -0.24523
_SET1_   1944       1  155051348  155060014     10       3  1000     0.044283      0.46823    2.8608e-06      0.04428
_SET1_   1942       1  155100349  155107386      7       2  1000     -0.11141      0.52535    2.8608e-06     -0.11142
_SET1_   55974      1  155107817  155111334      1       1  1000      0.20316       0.3988    2.8608e-06      0.20316
_SET1_   200185     1  155141884  155151331     10       2  1000    -0.043145      0.49721    2.8608e-06    -0.043148
_SET1_   80128      1  155145702  155157447      7       2  1000      0.18102      0.40924    2.8608e-06      0.18102
_SET1_   4582       1  155158300  155162768      2       1  1000      0.75514      0.20782    2.8608e-06      0.75514
_SET1_   7059       1  155165379  155177772     10       2  1000      0.52444      0.28313    2.8608e-06      0.52444
_SET1_   4580       1  155178490  155183625      3       1  1000       1.2613     0.093126    2.8608e-06       1.2613
_SET1_   2629       1  155204239  155214653     13       2  1000      0.71774      0.22248    2.8608e-06      0.71774
_SET1_   10712      1  155216996  155225274     19       1  1000       1.4214     0.069732    2.8608e-06       1.4214
_SET1_   10067      1  155225770  155232176      7       1  1000       2.0016     0.019997    2.8608e-06       2.0016
_SET1_   1196       1  155232659  155243305      7       1  1000       1.9421     0.023008    2.8608e-06       1.9421
_SET1_   57657      1  155247218  155259639     19       2  1000       1.7377     0.037398    2.8608e-06       1.7377
_SET1_   5313       1  155259084  155278531     12       1  1000       2.0191     0.019123    2.8608e-06       2.0191
_SET1_   2224       1  155278539  155290457     10       2  1000        2.484    0.0058508    2.8608e-06        2.484
_SET1_   23623      1  155290640  155300909      1       1  1000       2.0669      0.01973    2.8608e-06       2.0669
