# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP (set)
# _SET1_  NGENES = 25
# _SET1_  P-VALUE = 1.87518e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9588       1  173446486  173457946      8       2  1000       1.4245     0.070135   -4.1444e-06       1.4245
_SET1_   10440      1  201924619  201939789     40       8  1000       1.5724     0.052629   -4.1444e-06       1.5724
_SET1_   6382       2   20400558   20425194     55       6  1000       1.4937     0.060407   -4.1444e-06       1.4937
_SET1_   22837      2  165536695  165698678    395      22  1000        2.017     0.019275   -4.1444e-06        2.017
_SET1_   3033       4  108910870  108956331     84       3  1000     -0.78034      0.75791   -4.1444e-06     -0.78034
_SET1_   9693       4  160025224  160281314    370      24  1000     -0.74143      0.75694   -4.1444e-06     -0.74142
_SET1_   2180       4  185676749  185747215    179      19  1000      0.41699      0.32289   -4.1444e-06      0.41699
_SET1_   6414       5   42799982   42812024     23       4  1000       1.3572     0.079158   -4.1444e-06       1.3572
_SET1_   23291      5  171288553  171433877    118       7  1000      -1.0477      0.83586   -4.1444e-06      -1.0477
_SET1_   2822       6   24426060   24495433    397      25  1000     -0.79628      0.77353   -4.1444e-06     -0.79628
_SET1_   11014      7    6500712    6523849     59       8  1000        1.021       0.1413   -4.1444e-06        1.021
_SET1_   5919       7  150031033  150038773     27       5  1000      0.30781        0.359   -4.1444e-06      0.30781
_SET1_   570        9  104122699  104147287     38       4  1000    -0.075593      0.50551   -4.1444e-06    -0.075589
_SET1_   664       10  133781204  133795435     20       3  1000      0.65559      0.23812   -4.1444e-06      0.65559
_SET1_   6392      11  111957548  111966525     17       4  1000     0.082696      0.44665   -4.1444e-06       0.0827
_SET1_   5053      12  103232104  103311381    232      19  1000       1.8204     0.030901   -4.1444e-06       1.8204
_SET1_   10959     12  124069076  124082688     32       5  1000      0.18429      0.40542   -4.1444e-06      0.18429
_SET1_   1361      13   46627201   46695318    163       9  1000     -0.34699      0.61068   -4.1444e-06     -0.34699
_SET1_   10979     14   53323989   53417856    162      16  1000       1.0459      0.13683   -4.1444e-06       1.0459
_SET1_   5494      14   60712470   60765805     76       4  1000      0.68423      0.22478   -4.1444e-06      0.68424
_SET1_   1112      14   89622516   90085506   1121     123  1000        1.565     0.072232   -4.1444e-06        1.565
_SET1_   5046      15  101844133  102030187    769      91  1000       5.4829   8.8996e-11   -4.1444e-06       5.4829
_SET1_   348158    16   20548080   20587695    156      15  1000      -1.4531      0.91949   -4.1444e-06      -1.4531
_SET1_   6352      17   34198495   34207377     12       2  1000      0.64583      0.24091   -4.1444e-06      0.64583
_SET1_   341       19   45417577   45422606      7       3  1000      0.44178      0.31498   -4.1444e-06      0.44179
