# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 1.04318e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   146183    16  21689835  21772050     94      14  1000       1.3619     0.082333   -2.3602e-06       1.3619
_SET1_   6340      16  23194040  23228201     99       9  1000      0.24452      0.39162   -2.3602e-06      0.24453
_SET1_   6338      16  23313591  23392620    188      33  1000       3.9836   3.0912e-05   -2.3602e-06       3.9836
_SET1_   91949     16  23399814  23464583     71       4  1000      -0.6636      0.73512   -2.3602e-06      -0.6636
_SET1_   5579      16  23847300  24231932    897      75  1000       1.8283     0.032852   -2.3602e-06       1.8283
_SET1_   115584    16  24857184  24922949    188      24  1000     -0.52291      0.69055   -2.3602e-06      -0.5229
_SET1_   79831     16  27214807  27233089     25       5  1000     0.068212      0.46364   -2.3602e-06     0.068214
_SET1_   3566      16  27325161  27376099    121      15  1000       2.8997    0.0017067   -2.3602e-06       2.8997
_SET1_   50615     16  27413483  27463363    115      20  1000      -1.5471      0.93615   -2.3602e-06      -1.5471
_SET1_   1201      16  28488600  28505897     18       3  1000       2.3119    0.0097822   -2.3602e-06       2.3119
_SET1_   487       16  28889192  28915830     35       6  1000       2.2027     0.012913   -2.3602e-06       2.2027
_SET1_   226       16  30064411  30081741     11       4  1000      0.42136      0.32958   -2.3602e-06      0.42136
_SET1_   6911      16  30097114  30103258      5       2  1000       1.3026     0.094092   -2.3602e-06       1.3026
