# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_NOTCH_SIGNALING_PATHWAY (set)
# _SET1_  NGENES = 46
# _SET1_  P-VALUE = 3.68614e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1855       1    1270658    1284509     32       6  1000       0.4441      0.30548    1.5132e-06       0.4441
_SET1_   3065       1   32757708   32799227     22       2  1000     -0.75903      0.68186    1.5132e-06     -0.75903
_SET1_   4853       1  120454176  120639880    131      10  1000      0.97175      0.15113    1.5132e-06      0.97175
_SET1_   51107      1  150237799  150241609      1       1  1000     -0.31024       0.6143    1.5132e-06     -0.31024
_SET1_   23385      1  160313063  160328742     28       8  1000    0.0046111      0.48339    1.5132e-06    0.0046095
_SET1_   5664       1  227057885  227083804     84      10  1000     -0.38387      0.63128    1.5132e-06     -0.38388
_SET1_   6868       2    9629392    9695917    165      14  1000      0.36598      0.33864    1.5132e-06      0.36598
_SET1_   9541       2  175212878  175260443     83      11  1000      0.38391      0.33439    1.5132e-06      0.38391
_SET1_   8850       3   20081524   20195896    442      33  1000       0.2161      0.39848    1.5132e-06       0.2161
_SET1_   151636     3  122283085  122294050     20       9  1000       2.4195    0.0071684    1.5132e-06       2.4195
_SET1_   1857       3  183873099  183891314     24       5  1000      0.92051       0.1688    1.5132e-06      0.92051
_SET1_   3280       3  193853931  193856401      2       1  1000       1.1251       0.1252    1.5132e-06       1.1251
_SET1_   1487       4    1205228    1242908    108      12  1000     -0.28007      0.59181    1.5132e-06     -0.28007
_SET1_   3516       4   26165077   26436753    410      42  1000      0.53525      0.28747    1.5132e-06      0.53525
_SET1_   55534      4  140637545  141075233    925      95  1000       1.2505      0.10933    1.5132e-06       1.2505
_SET1_   9794       5  179159833  179208035     67       7  1000     -0.77463      0.76635    1.5132e-06     -0.77463
_SET1_   4855       6   32162620   32191844     93      15  1000       1.2257      0.10289    1.5132e-06       1.2257
_SET1_   171558     6   42883545   42893583     25       4  1000      0.27373      0.37596    1.5132e-06      0.27373
_SET1_   3066       6  114257320  114292359     53       9  1000      0.50418      0.29218    1.5132e-06      0.50418
_SET1_   28514      6  170591288  170599815     17       5  1000     -0.89487      0.80323    1.5132e-06     -0.89487
_SET1_   3955       7    2552163    2568811     25       8  1000     -0.13972       0.5419    1.5132e-06     -0.13972
_SET1_   113878     7   76090972   76135312     88       8  1000       1.7436     0.036584    1.5132e-06       1.7436
_SET1_   4851       9  139388896  139440238    127      21  1000      -1.0254      0.83927    1.5132e-06      -1.0254
_SET1_   1488      10  126676418  126849624    526      59  1000     -0.38169      0.64429    1.5132e-06     -0.38169
_SET1_   23220     11   58939812   58976060     50       8  1000     -0.22148      0.56971    1.5132e-06     -0.22148
_SET1_   84441     11   95711440   96076344    871     107  1000      0.44232      0.34248    1.5132e-06      0.44232
_SET1_   196403    12   57998110   58003585      4       2  1000       1.5236     0.060338    1.5132e-06       1.5236
_SET1_   1840      12  113494514  113535833    119      20  1000     -0.90348        0.807    1.5132e-06     -0.90348
_SET1_   9612      12  124808957  125052079    622      95  1000       2.0865     0.019833    1.5132e-06       2.0865
_SET1_   5663      14   73603143   73690399    115      19  1000       2.3353    0.0086989    1.5132e-06       2.3353
_SET1_   8650      14   73741858   73925288    450      26  1000     -0.28706      0.59178    1.5132e-06     -0.28706
_SET1_   22938     14   78183942   78227542    129      12  1000      0.10242      0.43956    1.5132e-06      0.10242
_SET1_   3714      14  105607318  105635161     48       5  1000      0.63917      0.24628    1.5132e-06      0.63917
_SET1_   54567     15   41221531   41231258      5       2  1000     -0.16779      0.55656    1.5132e-06     -0.16779
_SET1_   1387      16    3775055    3930121    142      16  1000      0.81689      0.19026    1.5132e-06      0.81688
_SET1_   1856      17    7128661    7137867     11       3  1000      -1.1308      0.86357    1.5132e-06      -1.1308
_SET1_   2648      17   40265129   40273382     13       2  1000     -0.68166      0.73873    1.5132e-06     -0.68166
_SET1_   5986      17   80005778   80009650     15       2  1000       0.2291      0.39377    1.5132e-06       0.2291
_SET1_   4854      19   15270444   15311792    134      10  1000     0.058648      0.45305    1.5132e-06     0.058646
_SET1_   55851     19   36236478   36238056      3       2  1000      0.81757      0.20009    1.5132e-06      0.81757
_SET1_   10683     19   39989557   39999121     25       3  1000     -0.60219      0.71172    1.5132e-06      -0.6022
_SET1_   9253      19   41171810   41196556     49       9  1000       1.0925      0.12863    1.5132e-06       1.0925
_SET1_   182       20   10618332   10654694     82      18  1000     -0.90356      0.80775    1.5132e-06     -0.90356
_SET1_   11317     20   43935483   43946464     18       3  1000       1.4039     0.074605    1.5132e-06       1.4039
_SET1_   4242      22   37865101   37882499     13       3  1000    -0.095156      0.51777    1.5132e-06    -0.095158
_SET1_   2033      22   41488614   41576081    128      10  1000      -1.5147      0.92811    1.5132e-06      -1.5147
