# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_DILATED_CARDIOMYOPATHY (set)
# _SET1_  NGENES = 85
# _SET1_  P-VALUE = 6.01395e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5567       1   84543745   84704181    180      13  1000      0.21156      0.39229   -1.2226e-06      0.21156
_SET1_   8515       1  145524709  145543868     19       5  1000      0.84813       0.1835   -1.2226e-06      0.84813
_SET1_   7170       1  154127780  154164611     47       7  1000     -0.08337      0.51075   -1.2226e-06    -0.083369
_SET1_   4000       1  156052369  156109880    117       7  1000      0.14824      0.40377   -1.2226e-06      0.14824
_SET1_   779        1  201008635  201081694    211      39  1000     -0.25487      0.59851   -1.2226e-06     -0.25487
_SET1_   7139       1  201328136  201346836     70       9  1000     0.019964      0.46355   -1.2226e-06     0.019965
_SET1_   7042       1  218518676  218617961    168      27  1000        1.225      0.10424   -1.2226e-06        1.225
_SET1_   6262       1  237205510  237997288   2366     176  1000       1.6724     0.045924   -1.2226e-06       1.6724
_SET1_   109        2   25042038   25142602    311      18  1000       2.0195     0.018375   -1.2226e-06       2.0195
_SET1_   6546       2   40339286   40739575   1163      66  1000      0.43656      0.31028   -1.2226e-06      0.43656
_SET1_   785        2  152689285  152955593    518      25  1000     -0.14679      0.52402   -1.2226e-06     -0.14679
_SET1_   3694       2  160956182  161110349    327      21  1000     0.098928      0.43467   -1.2226e-06      0.09893
_SET1_   3655       2  173291954  173371181    280      21  1000      -1.0803      0.84303   -1.2226e-06      -1.0803
_SET1_   7273       2  179390716  179672150    285      21  1000     -0.17555      0.53826   -1.2226e-06     -0.17555
_SET1_   3676       2  182321619  182402474    174      17  1000      0.31727      0.35628   -1.2226e-06      0.31727
_SET1_   3685       2  187454058  187545629    111      13  1000      0.66077      0.23816   -1.2226e-06      0.66077
_SET1_   1674       2  220283099  220291461     11       2  1000    -0.032613       0.4921   -1.2226e-06    -0.032611
_SET1_   3680       3   37493813   37861281    770      57  1000       0.8835      0.17975   -1.2226e-06       0.8835
_SET1_   4634       3   46899357   46904973     11       2  1000      0.91858      0.15884   -1.2226e-06      0.91858
_SET1_   1605       3   49506136   49573051     79       6  1000       1.6246     0.045747   -1.2226e-06       1.6246
_SET1_   9254       3   50400230   50540892    205      12  1000       0.7682      0.19298   -1.2226e-06      0.76821
_SET1_   776        3   53529076   53847179    636      66  1000       1.8396     0.032773   -1.2226e-06       1.8396
_SET1_   55799      3   54156620   55108584   2332     162  1000    -0.027532      0.50426   -1.2226e-06    -0.027531
_SET1_   111        3  123001143  123167924    356      24  1000      0.18577      0.40248   -1.2226e-06      0.18577
_SET1_   3693       3  124480795  124606500    313      21  1000       1.3879     0.072049   -1.2226e-06       1.3879
_SET1_   6443       4   52885752   52904485     21       3  1000      0.56139      0.26928   -1.2226e-06      0.56139
_SET1_   108        5    7396343    7830194    902      67  1000     -0.66392      0.73872   -1.2226e-06     -0.66392
_SET1_   3672       5   52084136   52249485    496      56  1000      0.61312       0.2687   -1.2226e-06      0.61312
_SET1_   3673       5   52285156   52390609    310      19  1000      0.80882      0.18936   -1.2226e-06      0.80882
_SET1_   6444       5  155462147  156194799   1623      63  1000     0.045124      0.43825   -1.2226e-06     0.045125
_SET1_   7124       6   31543344   31546113      4       2  1000      -1.0522       0.8379   -1.2226e-06      -1.0522
_SET1_   5350       6  118869442  118881587     15       3  1000      -1.0319      0.83756   -1.2226e-06      -1.0319
_SET1_   3908       6  129204286  129837711   1365      58  1000    -0.093116      0.49883   -1.2226e-06    -0.093115
_SET1_   60         7    5566779    5570232      9       2  1000     -0.39761      0.63409   -1.2226e-06     -0.39761
_SET1_   3696       7   20370345   20455382    241      16  1000     0.089999      0.43879   -1.2226e-06         0.09
_SET1_   107        7   45614125   45762715    245      30  1000     -0.18591      0.56207   -1.2226e-06     -0.18591
_SET1_   781        7   81575760   82073031   1273      85  1000      0.46403      0.31194   -1.2226e-06      0.46404
_SET1_   114        8  131792546  132053012    711      58  1000     -0.50341      0.68358   -1.2226e-06     -0.50341
_SET1_   7169       9   35681990   35690583     20       4  1000      0.28277      0.37034   -1.2226e-06      0.28277
_SET1_   5568       9   71627426   71635600      3       2  1000      0.41741      0.32241   -1.2226e-06      0.41741
_SET1_   8516      10   15557711   15762328    609      38  1000      0.34428      0.33951   -1.2226e-06      0.34429
_SET1_   783       10   18429373   18830688   1296      89  1000      0.83567      0.19587   -1.2226e-06      0.83568
_SET1_   3688      10   33189246   33247293    127      14  1000       1.8378      0.02902   -1.2226e-06       1.8378
_SET1_   153       10  115803806  115806667      2       1  1000       0.8945       0.1735   -1.2226e-06       0.8945
_SET1_   4607      11   47352957   47374253     31       7  1000     0.048004      0.46019   -1.2226e-06     0.048006
_SET1_   93589     12    1901123    2027870    384      41  1000      0.73269      0.22104   -1.2226e-06       0.7327
_SET1_   775       12    2079952    2807115   1533     152  1000       1.8803     0.030958   -1.2226e-06       1.8803
_SET1_   112       12   49159975   49182820     31       3  1000     -0.71858      0.73822   -1.2226e-06     -0.71858
_SET1_   784       12   49208215   49222726     12       4  1000     -0.34331      0.61749   -1.2226e-06     -0.34331
_SET1_   3695      12   53585102   53601065     18       6  1000       3.8105   5.2761e-05   -1.2226e-06       3.8105
_SET1_   3678      12   54789045   54813050     17       3  1000      0.65921      0.23024   -1.2226e-06      0.65921
_SET1_   3679      12   56078352   56109821     54       5  1000     -0.62731      0.71537   -1.2226e-06     -0.62731
