# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = AMIT_EGF_RESPONSE_40_HELA (set)
# _SET1_  NGENES = 40
# _SET1_  P-VALUE = 3.77258e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10277     1   10093041   10241297    139      20  1000       1.0509       0.1453   -4.6227e-06       1.0509
_SET1_   3725      1   59246463   59249785      2       1  1000       1.4755     0.066189   -4.6227e-06       1.4755
_SET1_   54873     1  100111431  100160097    118      14  1000      -2.1921      0.98503   -4.6227e-06      -2.1921
_SET1_   8394      1  151171021  151222007     51       4  1000     -0.38309      0.63111   -4.6227e-06     -0.38309
_SET1_   5743      1  186640944  186649559      7       3  1000      -0.4177      0.65198   -4.6227e-06     -0.41769
_SET1_   7832      1  203274664  203278730     10       4  1000     -0.36388      0.63288   -4.6227e-06     -0.36387
_SET1_   467       1  212738676  212794119    158      25  1000       -1.286      0.89998   -4.6227e-06       -1.286
_SET1_   64225     2   38522027   38604432    249      16  1000       1.8813     0.028477   -4.6227e-06       1.8813
_SET1_   79823     2   44589043   44999731    844      25  1000     -0.54083      0.69282   -4.6227e-06     -0.54083
_SET1_   1844      2   96808908   96811206      1       1  1000      0.43852       0.3146   -4.6227e-06      0.43852
_SET1_   4154      3  151962120  152183569    211      20  1000      0.32886      0.36187   -4.6227e-06      0.32887
_SET1_   57018     3  156864291  156878482     25       4  1000       1.9798     0.021885   -4.6227e-06       1.9798
_SET1_   3280      3  193853931  193856401      2       1  1000   -0.0049722      0.48813   -4.6227e-06   -0.0049676
_SET1_   55602     4  184365788  184369348      5       2  1000     0.045769      0.47474   -4.6227e-06     0.045773
_SET1_   1958      5  137801181  137805004      2       1  1000      -1.8121      0.96182   -4.6227e-06      -1.8121
_SET1_   1843      5  172195093  172198203      3       2  1000      -1.3185      0.90345   -4.6227e-06      -1.3185
_SET1_   8870      6   30710976   30712327      3       1  1000      0.31427      0.36677   -4.6227e-06      0.31428
_SET1_   6446      6  134490384  134639196    326      49  1000       1.6755     0.049364   -4.6227e-06       1.6755
_SET1_   3569      7   22766766   22771621     14       4  1000       1.8079     0.032846   -4.6227e-06       1.8079
_SET1_   1960      8   22545172   22550815      5       2  1000       1.9356     0.024128   -4.6227e-06       1.9356
_SET1_   51366     8  103264501  103424947    169      21  1000      0.65268      0.25239   -4.6227e-06      0.65269
_SET1_   4781      9   14081842   14398982    717     114  1000     -0.12132      0.59121   -4.6227e-06     -0.12132
_SET1_   1316     10    3818188    3827473     17       6  1000        1.681     0.044083   -4.6227e-06        1.681
_SET1_   1847     10  112257625  112271302     15       2  1000       1.3492     0.081043   -4.6227e-06       1.3492
_SET1_   50862    11   10533225   10562774     76       7  1000      -0.3611      0.62434   -4.6227e-06      -0.3611
_SET1_   3164     12   52416616   52453291     70      16  1000      0.83407      0.19813   -4.6227e-06      0.83408
_SET1_   8900     13   37005257   37017019     18       3  1000       1.3873     0.076228   -4.6227e-06       1.3873
_SET1_   10150    13   97874549   98046374    279      22  1000      0.77513      0.21328   -4.6227e-06      0.77514
_SET1_   10484    14   39501123   39572447    145      16  1000      0.32488      0.36385   -4.6227e-06      0.32488
_SET1_   8554     15   68346572   68483797     99       7  1000      0.18684      0.40667   -4.6227e-06      0.18685
_SET1_   3768     17   21279699   21323184    142      61  1000       2.5697    0.0057258   -4.6227e-06       2.5697
_SET1_   8535     17   77806955   77813222     10       4  1000      0.75487      0.21578   -4.6227e-06      0.75487
_SET1_   3949     19   11200037   11244506    142      17  1000       1.2029      0.10979   -4.6227e-06       1.2029
_SET1_   3726     19   12902310   12904125      1       1  1000       1.5287      0.06151   -4.6227e-06       1.5287
_SET1_   9592     19   13261282   13265722      6       3  1000      0.58743      0.26857   -4.6227e-06      0.58743
_SET1_   10365    19   16435651   16438345      7       4  1000      0.46501      0.31145   -4.6227e-06      0.46501
_SET1_   602      19   45246070   45263301     18       6  1000     -0.24305      0.58834   -4.6227e-06     -0.24305
_SET1_   23645    19   49375649   49379319     21       3  1000     -0.41962      0.64632   -4.6227e-06     -0.41961
_SET1_   3397     20   30193086   30194318      3       1  1000     -0.34723      0.62271   -4.6227e-06     -0.34722
_SET1_   1051     20   48807120   48809227      1       1  1000     -0.60138       0.7113   -4.6227e-06     -0.60137
