# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HOLLERN_PAPILLARY_BREAST_TUMOR (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 7.59174e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1446       4   70796799   70812288     28       5  1000        1.119      0.12387   -4.3974e-06        1.119
_SET1_   7368       4  115519611  115598202     89      10  1000      0.63185      0.26304   -4.3974e-06      0.63185
_SET1_   3248       4  175411328  175444049     98      19  1000      0.45612      0.32488   -4.3974e-06      0.45612
_SET1_   23493      6  126066211  126082415     19       2  1000      0.86498      0.17524   -4.3974e-06      0.86498
_SET1_   84302      9  104235442  104249475     37      11  1000       2.6702    0.0036037   -4.3974e-06       2.6702
_SET1_   1056       9  135936741  135947250      3       1  1000      0.96906      0.14585   -4.3974e-06      0.96906
_SET1_   441478     9  140194083  140196703      2       1  1000       -2.363      0.98941   -4.3974e-06       -2.363
_SET1_   51196     10   95753746   96088149    508      37  1000     -0.30405      0.62653   -4.3974e-06     -0.30405
_SET1_   143662    11   26580579   26593815     33       8  1000       1.6995     0.042619   -4.3974e-06       1.6995
_SET1_   8424      11   27062252   27149354    238      23  1000     -0.34819      0.63984   -4.3974e-06     -0.34818
_SET1_   29015     11   57174427   57195053     25       7  1000     -0.19463      0.56643   -4.3974e-06     -0.19462
_SET1_   81029     12    1683823    1756379    195      45  1000      0.12041      0.46423   -4.3974e-06      0.12041
_SET1_   11061     13   53277399   53313947     33       7  1000      0.90636       0.1743   -4.3974e-06      0.90636
_SET1_   171177    15   41164412   41166487      3       1  1000     -0.21191      0.56264   -4.3974e-06     -0.21191
_SET1_   220       15  101419897  101456831     70       9  1000       2.1292     0.015852   -4.3974e-06       2.1292
_SET1_   3240      16   72088470   72094955     11       3  1000      0.60915      0.25145   -4.3974e-06      0.60915
_SET1_   3880      17   39679869   39684641      6       1  1000      0.82425      0.18207   -4.3974e-06      0.82426
