# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_THE_NLRP3_INFLAMMASOME (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 6.81342e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10628      1  145438438  145442635      4       1  1000      0.81498      0.19534    5.4554e-07      0.81498
_SET1_   114548     1  247579247  247612410    114      24  1000      0.82949      0.20112    5.4554e-07      0.82949
_SET1_   4790       4  103422486  103538459    171       8  1000      0.66589       0.2298    5.4554e-07      0.66589
_SET1_   3326       6   44213903   44221625     14       4  1000      0.76428      0.20748    5.4554e-07      0.76428
_SET1_   7295       9  113006092  113018920     41      14  1000     -0.16995      0.55955    5.4554e-07     -0.16995
_SET1_   4791      10  104153867  104162286      8       4  1000       1.1373      0.11949    5.4554e-07       1.1373
_SET1_   5970      11   65421067   65430443     10       3  1000     -0.47663      0.66282    5.4554e-07     -0.47664
_SET1_   24145     11   93862094   93918762    138      13  1000     0.054905      0.45967    5.4554e-07     0.054904
_SET1_   834       11  104896235  104905884     35       3  1000      0.63066       0.2416    5.4554e-07      0.63066
_SET1_   5027      12  121570622  121624439    193      18  1000      0.59786      0.26274    5.4554e-07      0.59786
_SET1_   10910     13   53226830   53262433     33       4  1000       1.2018      0.10188    5.4554e-07       1.2018
_SET1_   9051      15   77287021   77329673     75      12  1000     -0.38389      0.63469    5.4554e-07     -0.38389
_SET1_   4210      16    3292028    3306648     45       5  1000      0.46765      0.29533    5.4554e-07      0.46765
_SET1_   351       21   27252861   27543446    696      54  1000      0.94331      0.17737    5.4554e-07      0.94331

# _SET2_  VARIABLE = CHEOK_RESPONSE_TO_HD_MTX_UP (set)
# _SET2_  NGENES = 20
# _SET2_  P-VALUE = 4.0288e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   6280      1  153330330  153333503      1       1  1000     0.062182       0.4522    5.4554e-07     0.062181
_SET2_   6279      1  153362508  153395054     17       3  1000     0.083152      0.44764    5.4554e-07     0.083152
_SET2_   6275      1  153516095  153518282      3       1  1000      -1.1863      0.87467    5.4554e-07      -1.1863
_SET2_   6509      2   65215579   65250999     65      14  1000      -0.1169      0.53661    5.4554e-07      -0.1169
_SET2_   10123     2  235401685  235405721      3       1  1000      0.69127      0.22254    5.4554e-07      0.69127
_SET2_   4638      3  123331143  123603149    525      47  1000       3.1066    0.0010237    5.4554e-07       3.1066
_SET2_   1669      8    6793345    6795786      7       2  1000     -0.20552      0.55505    5.4554e-07     -0.20552
_SET2_   1667      8    6835171    6837614      3       1  1000     0.060488      0.44829    5.4554e-07     0.060487
_SET2_   4791     10  104153867  104162286      8       4  1000       1.1373      0.11949    5.4554e-07       1.1373
_SET2_   3983     10  116190869  116444762    579      49  1000     -0.37713      0.65025    5.4554e-07     -0.37713
_SET2_   472      11  108093559  108239829    153       5  1000     0.027622      0.45415    5.4554e-07     0.027622
_SET2_   4069     12   69742134   69748013     15       5  1000     -0.55315      0.69458    5.4554e-07     -0.55315
_SET2_   10562    13   53602876   53626196     58      12  1000       1.4342     0.070673    5.4554e-07       1.4342
_SET2_   1511     14   25042724   25045466      7       3  1000       1.4355     0.067997    5.4554e-07       1.4355
_SET2_   302      15   60639350   60690185    110      16  1000     -0.46503      0.66754    5.4554e-07     -0.46503
_SET2_   9235     16    3115313    3119668     20      11  1000       2.4267    0.0070879    5.4554e-07       2.4267
_SET2_   4353     17   56347217   56358296      7       3  1000      0.44863      0.31052    5.4554e-07      0.44863
_SET2_   566      19     827831     832017     16       4  1000      0.62507        0.247    5.4554e-07      0.62506
_SET2_   7305     19   36395303   36399211     11       3  1000     -0.55519      0.69816    5.4554e-07     -0.55519
_SET2_   581      19   49458117   49465055     17       4  1000       2.1876     0.012406    5.4554e-07       2.1876
