# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = QI_PLASMACYTOMA_DN (set)
# _SET1_  NGENES = 95
# _SET1_  P-VALUE = 4.8658e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11315      1    8021714    8045342     55       9  1000      0.15476      0.43622   -4.0289e-06      0.15476
_SET1_   4237       1   17300997   17308081     14       3  1000     -0.61902      0.72714   -4.0289e-06     -0.61901
_SET1_   1650       1   20978260   20988037     24       4  1000       1.2604       0.1014   -4.0289e-06       1.2604
_SET1_   249        1   21835475   21904905    250      28  1000      0.51832      0.30685   -4.0289e-06      0.51832
_SET1_   10026      1   77554666   77685132    283      14  1000     -0.88416       0.8104   -4.0289e-06     -0.88416
_SET1_   2135       1  101337928  101361548     22       6  1000      0.13135      0.44465   -4.0289e-06      0.13136
_SET1_   7391       1  161009041  161015769     18       4  1000     -0.53695       0.7003   -4.0289e-06     -0.53695
_SET1_   81607      1  161040781  161059385     23       5  1000      0.84558       0.1963   -4.0289e-06      0.84558
_SET1_   353299     1  182419256  182529732    313      13  1000      -0.6815       0.7499   -4.0289e-06     -0.68149
_SET1_   3918       1  183147952  183214262    191      14  1000     -0.46575      0.67797   -4.0289e-06     -0.46574
_SET1_   51377      1  192981496  193029237     20       2  1000       2.4293    0.0071692   -4.0289e-06       2.4293
_SET1_   29089      1  202300785  202311094     10       2  1000    -0.043768      0.51051   -4.0289e-06    -0.043764
_SET1_   5525       1  212458879  212535205    163      19  1000      0.24231        0.406   -4.0289e-06      0.24231
_SET1_   6726       1  225965515  225978168     27       5  1000      -0.7714      0.77645   -4.0289e-06      -0.7714
_SET1_   2034       2   46524541   46613842    193      22  1000      0.32556      0.37469   -4.0289e-06      0.32557
_SET1_   4072       2   47596287   47614167     36       6  1000       2.3431    0.0093281   -4.0289e-06       2.3431
_SET1_   344018     2   71004442   71017775     45       4  1000     -0.74061      0.76537   -4.0289e-06      -0.7406
_SET1_   3625       2  121103719  121109383      4       2  1000      0.98491      0.15948   -4.0289e-06      0.98492
_SET1_   9595       2  158271131  158300604     40       9  1000      0.30543       0.3782   -4.0289e-06      0.30544
_SET1_   1290       2  189896641  190044668    320      10  1000     -0.32494      0.62291   -4.0289e-06     -0.32494
_SET1_   64320      2  219528587  219536781     18       2  1000     -0.51942      0.69205   -4.0289e-06     -0.51942
_SET1_   9855       2  242295664  242434256    358      24  1000     -0.43247       0.6699   -4.0289e-06     -0.43247
_SET1_   11167      3  120113061  120169918    143      17  1000      0.21288      0.41634   -4.0289e-06      0.21288
_SET1_   3693       3  124480795  124606500    313      21  1000      0.61349      0.27111   -4.0289e-06      0.61349
_SET1_   29927      3  127770402  127790526     43       3  1000      0.40448      0.33603   -4.0289e-06      0.40448
_SET1_   6498       3  170075473  170114637     65       5  1000       1.2687     0.099753   -4.0289e-06       1.2687
_SET1_   59343      3  185300284  185348889    102       6  1000     -0.93829      0.82215   -4.0289e-06     -0.93829
_SET1_   51726      3  186288467  186303589     39       2  1000       1.0112      0.15084   -4.0289e-06       1.0112
_SET1_   5156       4   55095264   55164412    111       6  1000     -0.54685      0.70284   -4.0289e-06     -0.54685
_SET1_   8404       4   88394483   88450798    181      14  1000       1.4835     0.068505   -4.0289e-06       1.4835
_SET1_   2028       4  111397229  111484493    147      18  1000      0.20972      0.41811   -4.0289e-06      0.20972
_SET1_   10409      5   17216932   17276954     78      14  1000       1.4436     0.074471   -4.0289e-06       1.4436
_SET1_   8974       5  131528299  131563556     52       7  1000       1.1898      0.11513   -4.0289e-06       1.1898
_SET1_   56940      6     292101     351355     65      21  1000       2.3426    0.0098669   -4.0289e-06       2.3426
_SET1_   7422       6   43737946   43754224     39      10  1000      0.55164      0.28957   -4.0289e-06      0.55164
_SET1_   22858      6   52866097   52926676     32       5  1000      -1.3796      0.91444   -4.0289e-06      -1.3796
_SET1_   11231      6  108188960  108279482    109       6  1000       1.6106     0.052111   -4.0289e-06       1.6106
_SET1_   10551      7   16831437   16844738     55      11  1000     -0.19113      0.57499   -4.0289e-06     -0.19113
_SET1_   165        7   44143960   44154164     17       4  1000     -0.47254      0.67728   -4.0289e-06     -0.47253
_SET1_   9238       7   45139699   45151346     24       5  1000     0.045777      0.47768   -4.0289e-06     0.045781
_SET1_   3486       7   45951844   45960871     13       4  1000       1.1715      0.11872   -4.0289e-06       1.1715
_SET1_   7205       7  100464950  100471076      9       3  1000     0.036773      0.48076   -4.0289e-06     0.036777
_SET1_   3912       7  107564244  107643804    153      25  1000       1.3451     0.091182   -4.0289e-06       1.3451
_SET1_   8976       7  123321981  123389125    103       6  1000      0.50264      0.30209   -4.0289e-06      0.50264
_SET1_   27044      7  127292043  127732659    524      19  1000     -0.34654      0.63496   -4.0289e-06     -0.34653
_SET1_   813        7  128379346  128413477     75       6  1000      0.49895      0.30405   -4.0289e-06      0.49896
_SET1_   649        8   22022653   22069839    100      23  1000      0.60018      0.27826   -4.0289e-06      0.60019
_SET1_   10221      8  126442563  126450647     17       7  1000      -1.1421      0.87234   -4.0289e-06       -1.142
_SET1_   4609       8  128748315  128753680     11       3  1000     -0.88065      0.80723   -4.0289e-06     -0.88064
_SET1_   10020      9   36214438   36277053    127       9  1000      0.89281      0.18338   -4.0289e-06      0.89282
_SET1_   55035      9   95059640   95087876     28       5  1000      0.41165      0.33652   -4.0289e-06      0.41165
_SET1_   6840      10   29746274   30025864   1028      69  1000     -0.38277      0.66775   -4.0289e-06     -0.38276
_SET1_   29760     10   97951455   98031333    215      39  1000       0.4505      0.33607   -4.0289e-06       0.4505
_SET1_   84171     10  100007443  100028007     46       6  1000      -0.1572      0.55791   -4.0289e-06     -0.15719
_SET1_   23647     11    6495913    6502709      4       2  1000     -0.63218      0.73213   -4.0289e-06     -0.63218
_SET1_   10894     11   10578712   10590365     17       4  1000      0.85644       0.1928   -4.0289e-06      0.85644
_SET1_   10418     11   13984184   14289679    675      31  1000     -0.41472      0.66489   -4.0289e-06     -0.41472
_SET1_   8534      11   45669239   45687206     27       3  1000       1.5215     0.061906   -4.0289e-06       1.5215
_SET1_   23193     11   62392298   62414198     16       3  1000     -0.27814      0.60405   -4.0289e-06     -0.27813
_SET1_   1521      11   65647284   65651212      6       2  1000       -0.195       0.5724   -4.0289e-06     -0.19499
_SET1_   3703      11  125462690  125492654    108       7  1000      -1.3657      0.91203   -4.0289e-06      -1.3657
_SET1_   6768      11  130029682  130080257    112      20  1000      0.91556      0.18198   -4.0289e-06      0.91556
_SET1_   6773      12   56735381   56754058     11       4  1000       1.8065     0.034756   -4.0289e-06       1.8065
_SET1_   6249      12  122755981  122907179    279      18  1000      0.56573      0.28601   -4.0289e-06      0.56574
_SET1_   1284      13  110959631  111165374    881      94  1000       1.1745      0.13628   -4.0289e-06       1.1745
_SET1_   84962     14   23440386   23451851     12       2  1000     -0.47652       0.6768   -4.0289e-06     -0.47652
_SET1_   79711     14   24649425   24658124     15       5  1000      -0.2819      0.60801   -4.0289e-06      -0.2819
_SET1_   5875      14   24734744   24740833     19       4  1000    -0.079858      0.52726   -4.0289e-06    -0.079854
_SET1_   4313      16   55513081   55540586     81       9  1000      0.18976      0.42153   -4.0289e-06      0.18976
_SET1_   8996      16   67204400   67209640      2       1  1000    -0.044848       0.5122   -4.0289e-06    -0.044844
_SET1_   54496     16   68344877   68391169     87       6  1000     -0.21256      0.57833   -4.0289e-06     -0.21256
_SET1_   10514     17    4442191    4458921     30       9  1000       1.5258     0.063245   -4.0289e-06       1.5258
_SET1_   708       17    5336099    5342471     14       2  1000      -1.0567      0.85069   -4.0289e-06      -1.0567
