# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BRUNEAU_SEPTATION_VENTRICULAR (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 6.6954e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6654      2   39208690   39347686    248      10  1000    -0.021575      0.49013   -4.8795e-07    -0.021574
_SET1_   78987     3    9975478    9987097     19       2  1000      0.53936      0.27714   -4.8795e-07      0.53936
_SET1_   5894      3   12625100   12705700    170      11  1000       2.4383    0.0062607   -4.8795e-07       2.4383
_SET1_   1482      5  172659107  172662315      5       2  1000      0.75066      0.21094   -4.8795e-07      0.75066
_SET1_   57057     7   35242042   35293711    106       4  1000       1.0573      0.12994   -4.8795e-07       1.0573
_SET1_   2626      8   11534433   11617510    235      38  1000     0.052048      0.46702   -4.8795e-07     0.052048
_SET1_   3845     12   25358180   25403870    116       9  1000       3.6529   0.00010177   -4.8795e-07       3.6529
_SET1_   5781     12  112856536  112947717     39       7  1000       2.2205     0.011764   -4.8795e-07       2.2205
_SET1_   6910     12  114791735  114846247    139      23  1000      0.55504      0.27482   -4.8795e-07      0.55505
_SET1_   6899     22   19744226   19771116     55       9  1000       1.4168      0.07071   -4.8795e-07       1.4168
