# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = VERRECCHIA_EARLY_RESPONSE_TO_TGFB1 (set)
# _SET1_  NGENES = 52
# _SET1_  P-VALUE = 2.01449e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1855      1    1270658    1284509     32       6  1000      0.73483      0.19958     2.455e-07      0.73483
_SET1_   3339      1   22148737   22263750    219      26  1000      0.80553      0.19695     2.455e-07      0.80553
_SET1_   389       1  113243749  113250025     13       3  1000    -0.060057      0.50579     2.455e-07    -0.060057
_SET1_   4853      1  120454176  120639880    131      10  1000      0.69396      0.21603     2.455e-07      0.69396
_SET1_   4811      1  236139130  236228481    239      28  1000       1.1266      0.12388     2.455e-07       1.1266
_SET1_   388       2   20646835   20649201      2       1  1000      0.27911      0.38067     2.455e-07      0.27911
_SET1_   23433     2   46769867   46811827     60       9  1000       2.3904    0.0071153     2.455e-07       2.3904
_SET1_   390       2  151324707  151344209     19       4  1000     -0.68761       0.7382     2.455e-07     -0.68761
_SET1_   1281      2  189839099  189877472     76      12  1000     -0.24355       0.5704     2.455e-07     -0.24355
_SET1_   2335      2  216225177  216300890    207      19  1000       1.8851      0.02672     2.455e-07       1.8851
_SET1_   3485      2  217498127  217529159     33      12  1000      0.83613      0.18502     2.455e-07      0.83613
_SET1_   3488      2  217536828  217560272     42       6  1000      0.70633      0.21323     2.455e-07      0.70633
_SET1_   1293      2  238232655  238322850    177      29  1000     -0.62226      0.72386     2.455e-07     -0.62226
_SET1_   3921      3   39448204   39454033     32       4  1000      0.63902      0.24436     2.455e-07      0.63902
_SET1_   387       3   49396569   49449526     72       6  1000        1.888     0.025713     2.455e-07        1.888
_SET1_   3693      3  124480795  124606500    313      21  1000      0.57084      0.26154     2.455e-07      0.57084
_SET1_   2049      3  184279587  184300196     46       8  1000     -0.78766      0.76973     2.455e-07     -0.78766
_SET1_   1004      5   31193762   31329253    232      29  1000    -0.058813      0.51065     2.455e-07    -0.058814
_SET1_   1462      5   82767493   82878122    226      39  1000     -0.29225      0.61239     2.455e-07     -0.29225
_SET1_   324       5  112043202  112181936    206      12  1000       2.2377     0.010672     2.455e-07       2.2377
_SET1_   5098      5  140855569  140892546     50       8  1000      -1.4421      0.91744     2.455e-07      -1.4421
_SET1_   6678      5  151040657  151066615     57      10  1000      0.16036      0.41508     2.455e-07      0.16036
_SET1_   3910      6  112429134  112575924    373      34  1000     -0.88701      0.80329     2.455e-07     -0.88701
_SET1_   3482      6  160390131  160527583    265      29  1000      0.73506      0.21871     2.455e-07      0.73506
_SET1_   3486      7   45951844   45960871     13       4  1000      -0.1187      0.52871     2.455e-07      -0.1187
_SET1_   1278      7   94023873   94060544     92      16  1000      0.48038       0.2988     2.455e-07      0.48038
_SET1_   5054      7  100770370  100782547     32       6  1000       1.6876     0.041435     2.455e-07       1.6876
_SET1_   10234     7  102553344  102585558     37       6  1000     -0.54216      0.67686     2.455e-07     -0.54216
_SET1_   7791      7  143078338  143088204     19       5  1000      -1.6715      0.94825     2.455e-07      -1.6715
_SET1_   8754      8   38854505   38962780    168      13  1000       0.5134      0.28319     2.455e-07       0.5134
_SET1_   5327      8   42032236   42065242     41       8  1000     -0.38639      0.62881     2.455e-07     -0.38639
_SET1_   6934     10  114709978  114927437    349      51  1000     0.038352      0.49034     2.455e-07     0.038352
_SET1_   391      11    3848208    3862213     47       8  1000     -0.20203       0.5607     2.455e-07     -0.20203
_SET1_   966      11   33724556   33758025     70      11  1000     -0.77569      0.76579     2.455e-07     -0.77569
_SET1_   960      11   35160417   35253949    216      39  1000      -0.1959       0.5733     2.455e-07      -0.1959
_SET1_   5058     11   77033060   77185108    257      12  1000       1.6671     0.040397     2.455e-07       1.6671
_SET1_   4314     11  102706528  102714342     20       4  1000     -0.65367      0.72787     2.455e-07     -0.65367
_SET1_   4327     12   56229214   56236767      4       2  1000      0.60738      0.25359     2.455e-07      0.60738
_SET1_   4035     12   57522282   57607142     88      11  1000      0.70139      0.22463     2.455e-07      0.70139
_SET1_   5829     12  120648242  120703574     54       5  1000      0.45605      0.29297     2.455e-07      0.45605
_SET1_   4323     14   23305742   23316809     25       7  1000       1.1153      0.12165     2.455e-07       1.1153
_SET1_   3728     17   39910859   39942964     67      10  1000     -0.24985      0.57799     2.455e-07     -0.24985
_SET1_   3675     17   48133340   48167849     68       9  1000       1.1626      0.10581     2.455e-07       1.1626
_SET1_   4830     17   49230920   49239450     21       3  1000       0.2465      0.38003     2.455e-07       0.2465
_SET1_   4831     17   49242796   49249105     10       3  1000      0.63588      0.24501     2.455e-07      0.63588
_SET1_   396      17   79825595   79829282      5       1  1000       1.3397      0.07972     2.455e-07       1.3397
_SET1_   682      19     571277     583493     77       9  1000     0.049289       0.4518     2.455e-07     0.049288
_SET1_   3383     19   10380707   10397291     27       7  1000       2.0354     0.018876     2.455e-07       2.0354
_SET1_   9266     19   48972465   48985571     26       3  1000       1.7155     0.033244     2.455e-07       1.7155
_SET1_   3689     21   46305864   46348753    178      39  1000      0.81718      0.20686     2.455e-07      0.81718
_SET1_   1291     21   47401663   47424963     84      15  1000      0.66603      0.23867     2.455e-07      0.66603
_SET1_   7078     22   33196802   33259028     95      17  1000      0.97466      0.15368     2.455e-07      0.97466
