# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 1.18685e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23038      1   27561007   27635124     38       5  1000     -0.86473      0.79446    4.6069e-07     -0.86473
_SET1_   6277       1  153507076  153508717      2       1  1000      0.59184      0.25991    4.6069e-07      0.59183
_SET1_   6275       1  153516095  153518282      3       1  1000    -0.013131      0.48295    4.6069e-07    -0.013132
_SET1_   912        1  158147828  158156217      7       2  1000      0.85312      0.18268    4.6069e-07      0.85312
_SET1_   64342      2   20817564   20850867    131      17  1000     -0.31274      0.61817    4.6069e-07     -0.31274
_SET1_   57599      3   39093477   39138155    107      13  1000     -0.50887      0.68832    4.6069e-07     -0.50887
_SET1_   5274       3  167453432  167543357    269      17  1000     0.048278      0.46624    4.6069e-07     0.048278
_SET1_   133308     4  103946647  103998480     22       3  1000       2.0412     0.017846    4.6069e-07       2.0412
_SET1_   401152     4  120217574  120225600     11       3  1000      0.75094      0.21224    4.6069e-07      0.75094
_SET1_   324        5  112043202  112181936    206      12  1000       1.0122      0.14433    4.6069e-07       1.0122
_SET1_   9232       5  159848865  159855747     19       5  1000       2.0298     0.019711    4.6069e-07       2.0298
_SET1_   140767     6   24126414   24147757     32      10  1000       0.1886      0.42088    4.6069e-07       0.1886
_SET1_   4172       6   52128812   52149679     54       8  1000       1.5522      0.05656    4.6069e-07       1.5522
_SET1_   58528      6   90074335   90121995    108      14  1000     -0.55636      0.70571    4.6069e-07     -0.55636
_SET1_   9046       8   21766384   21771290      5       2  1000      -1.6116      0.94069    4.6069e-07      -1.6116
_SET1_   23471      8   71485453   71520694     44       5  1000   -0.0015035      0.48288    4.6069e-07   -0.0015039
_SET1_   3301       9   33025209   33039905     27       4  1000       2.2097     0.011935    4.6069e-07       2.2097
_SET1_   5599      10   49514682   49647403    206      16  1000       1.0635       0.1374    4.6069e-07       1.0635
_SET1_   5897      11   36613493   36619829     11       2  1000     -0.65267      0.72482    4.6069e-07     -0.65267
_SET1_   10235     11   64494383   64512928     22       3  1000       1.0635       0.1334    4.6069e-07       1.0635
_SET1_   7846      12   49578578   49583107      4       1  1000      0.87529      0.17191    4.6069e-07      0.87529
_SET1_   8835      12   93963598   93970521      9       2  1000       1.5387      0.05546    4.6069e-07       1.5387
_SET1_   10284     13   21714653   21723224      9       2  1000     -0.24772      0.57411    4.6069e-07     -0.24772
_SET1_   10081     15   65409717   65426174      1       1  1000       2.0202       0.0196    4.6069e-07       2.0202
_SET1_   6296      16   20775312   20808479     47       5  1000       1.5837     0.051477    4.6069e-07       1.5837
_SET1_   23406     16   84599202   84651669    256      38  1000       2.3283     0.010759    4.6069e-07       2.3283
_SET1_   489       17    3827163    3867758    132      14  1000       2.0321     0.019912    4.6069e-07       2.0321
_SET1_   11232     17   62473902   62493184     31       2  1000      0.24018      0.37862    4.6069e-07      0.24018
_SET1_   9267      17   76670130   76778376    176      11  1000     -0.84367      0.78779    4.6069e-07     -0.84367
_SET1_   4884      17   78440633   78450404     27       7  1000      0.34775      0.35386    4.6069e-07      0.34775
_SET1_   56270     17   80572438   80606411     83      12  1000     -0.50458       0.6859    4.6069e-07     -0.50458
_SET1_   4616      19    2476123    2478257      5       3  1000        1.274     0.095291    4.6069e-07        1.274
_SET1_   84902     19   33369904   33462930    399      24  1000       -1.328      0.90231    4.6069e-07       -1.328
