# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ONGUSAHA_BRCA1_TARGETS_UP (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 5.26261e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1647      1   68150860   68154021      7       2  1000       1.9478     0.022029   -2.1612e-06       1.9478
_SET1_   1893      1  150480487  150486265      9       3  1000        1.178      0.10847   -2.1612e-06        1.178
_SET1_   7045      5  135364584  135399507     67       5  1000     0.079935       0.4454   -2.1612e-06     0.079937
_SET1_   5168      8  120569317  120685644    207      24  1000     -0.97285       0.8261   -2.1612e-06     -0.97285
_SET1_   54541    10   74033677   74035797      3       1  1000       0.9251      0.15972   -2.1612e-06       0.9251
_SET1_   5950     10   95351593   95361101     42       5  1000     -0.76932      0.75865   -2.1612e-06     -0.76932
_SET1_   4322     11  102813721  102826463     25       6  1000      -0.3417      0.60869   -2.1612e-06     -0.34169
_SET1_   3860     17   39657233   39661865     11       3  1000        1.385     0.071635   -2.1612e-06        1.385
_SET1_   348      19   45409039   45412650      5       2  1000      0.91444      0.16357   -2.1612e-06      0.91444
_SET1_   80781    21   46825058   46933634    420      33  1000      0.74926       0.2156   -2.1612e-06      0.74926
_SET1_   3162     22   35777060   35790207     39       5  1000      0.28072       0.3663   -2.1612e-06      0.28072

# _SET2_  VARIABLE = REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX (set)
# _SET2_  NGENES = 64
# _SET2_  P-VALUE = 2.776e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   864        1   25226002   25291648    109      20  1000      0.16408      0.42299   -2.1612e-06      0.16408
_SET2_   3065       1   32757708   32799227     22       2  1000       0.1326      0.41911   -2.1612e-06       0.1326
_SET2_   607        1  147013222  147098022    137      28  1000    -0.025521       0.4976   -2.1612e-06    -0.025519
_SET2_   79577      1  193091088  193223945    101       4  1000     -0.63009      0.71341   -2.1612e-06     -0.63009
_SET2_   5929       1  205055270  205091150     88      10  1000      0.36091      0.34001   -2.1612e-06      0.36091
_SET2_   3020       1  226250408  226259703      5       1  1000      0.26127      0.36853   -2.1612e-06      0.26127
_SET2_   8290       1  228612546  228613026      1       1  1000       1.7738      0.03175   -2.1612e-06       1.7738
_SET2_   83439      2   85360583   85537511    385      47  1000      0.45966      0.31882   -2.1612e-06      0.45967
_SET2_   1499       3   41236401   41281939     34       2  1000      -1.0629      0.84061   -2.1612e-06      -1.0629
_SET2_   8607       3  127799800  127872752    140       8  1000      -1.3726      0.90352   -2.1612e-06      -1.3726
_SET2_   3015       4  100869242  100871512      4       1  1000      0.72469      0.21134   -2.1612e-06      0.72469
_SET2_   51176      4  108968701  109090112    170      14  1000       1.4319     0.068914   -2.1612e-06       1.4319
_SET2_   7015       5    1253282    1295178     83      23  1000      0.47074      0.31061   -2.1612e-06      0.47074
_SET2_   6932       5  133450402  133483920     68       8  1000       1.3432     0.078044   -2.1612e-06       1.3432
_SET2_   255626     6   25727137   25727573      4       1  1000    -0.038664      0.48626   -2.1612e-06    -0.038662
_SET2_   8359       6   26021907   26022278      1       1  1000      0.92633       0.1558   -2.1612e-06      0.92633
_SET2_   8366       6   26027124   26027480      2       1  1000      -0.6866      0.73434   -2.1612e-06     -0.68659
_SET2_   8358       6   26031817   26032288      1       1  1000     -0.95966       0.8156   -2.1612e-06     -0.95966
_SET2_   8335       6   26033320   26033796      2       1  1000    -0.038152      0.48664   -2.1612e-06     -0.03815
_SET2_   8352       6   26045639   26046097      3       2  1000     -0.17868      0.54376   -2.1612e-06     -0.17868
_SET2_   8364       6   26104176   26104565      2       1  1000      -1.1201      0.85376   -2.1612e-06      -1.1201
_SET2_   8347       6   26113389   26124266     23       4  1000     -0.26776      0.58415   -2.1612e-06     -0.26776
_SET2_   8334       6   26124370   26139337     42       7  1000     -0.91619      0.80618   -2.1612e-06     -0.91619
_SET2_   3017       6   26157419   26171577     13       3  1000     0.044637      0.45428   -2.1612e-06     0.044639
_SET2_   8344       6   26184024   26184458      2       1  1000       1.2622     0.090613   -2.1612e-06       1.2622
_SET2_   8351       6   26196982   26199521     11       3  1000      0.47274      0.29444   -2.1612e-06      0.47274
_SET2_   3013       6   26199012   26199521      3       1  1000     0.040384      0.44557   -2.1612e-06     0.040386
_SET2_   8343       6   26199787   26200216      2       1  1000      0.21217      0.39097   -2.1612e-06      0.21217
_SET2_   8367       6   26204873   26205249      1       1  1000      0.54668       0.2604   -2.1612e-06      0.54668
_SET2_   8339       6   26216428   26216872      2       1  1000      0.77744      0.19222   -2.1612e-06      0.77745
_SET2_   8361       6   26240654   26241021      1       1  1000      0.60888       0.2398   -2.1612e-06      0.60889
_SET2_   8365       6   26281278   26285844     10       3  1000     -0.11596      0.52351   -2.1612e-06     -0.11596
_SET2_   8970       6   27093912   27100743      3       1  1000      0.87345      0.17106   -2.1612e-06      0.87345
_SET2_   85236      6   27106072   27114637      3       1  1000       1.7777     0.031225   -2.1612e-06       1.7777
_SET2_   8294       6   27106924   27108258      1       1  1000       1.8876       0.0234   -2.1612e-06       1.8876
_SET2_   8340       6   27775257   27775709      2       1  1000       0.5244      0.26933   -2.1612e-06      0.52441
_SET2_   8341       6   27805544   27821533     19       3  1000      0.73607      0.20837   -2.1612e-06      0.73608
_SET2_   8354       6   27839623   27840099      1       1  1000      0.69007       0.2216   -2.1612e-06      0.69007
_SET2_   8356       6   27858093   27858570      1       1  1000      0.23757       0.3764   -2.1612e-06      0.23757
_SET2_   8348       6   27861203   27926100      4       1  1000      0.29378      0.34334   -2.1612e-06      0.29378
_SET2_   94239      7   44866488   44887725     39       5  1000     -0.66658      0.72851   -2.1612e-06     -0.66658
_SET2_   8295       7   98476113   98610866    172      10  1000      -0.9804      0.81749   -2.1612e-06      -0.9804
_SET2_   9070       8   37962483   37997598     34       3  1000      0.19574      0.38541   -2.1612e-06      0.19574
_SET2_   4609       8  128748315  128753680     11       3  1000     -0.37156      0.61149   -2.1612e-06     -0.37156
_SET2_   7091       9   82186878   82341658    162      13  1000     -0.87786      0.79544   -2.1612e-06     -0.87786
_SET2_   7088       9   84198598   84303596    276      53  1000        -1.34      0.91021   -2.1612e-06        -1.34
_SET2_   6934      10  114709978  114927437    349      51  1000       1.6205     0.052288   -2.1612e-06       1.6205
_SET2_   4221      11   64570986   64578766     11       3  1000       2.3515    0.0076188   -2.1612e-06       2.3515
_SET2_   10524     11   65479473   65487077     19       4  1000       0.7027      0.22301   -2.1612e-06       0.7027
