# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE (set)
# _SET1_  NGENES = 35
# _SET1_  P-VALUE = 1.20582e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80267     1  184659625  184724041     72       7  1000       1.2585     0.093242   -4.7272e-06       1.2585
_SET1_   6233      2   55459039   55462989      7       3  1000      0.80629      0.20063   -4.7272e-06      0.80629
_SET1_   7841      2   74688184   74692537      2       1  1000      0.32435      0.36612   -4.7272e-06      0.32435
_SET1_   7844      2   86830516   86851000     38       7  1000        1.281      0.09122   -4.7272e-06        1.281
_SET1_   56886     2  128848754  128953251    219      13  1000       1.2312     0.097378   -4.7272e-06       1.2312
_SET1_   9695      3    5229359    5261650     46       9  1000      0.20883      0.39754   -4.7272e-06      0.20884
_SET1_   55768     3   25760435   25831530     82       3  1000      0.61803      0.24386   -4.7272e-06      0.61804
_SET1_   10299     5   10353751   10440500     66       3  1000      0.75539      0.20389   -4.7272e-06      0.75539
_SET1_   821       5  179125019  179158642     53       6  1000     -0.43574      0.64652   -4.7272e-06     -0.43574
_SET1_   6048      6   32146162   32148570     10       3  1000      0.51069      0.29105   -4.7272e-06       0.5107
_SET1_   79139     8  124025404  124054663     46       7  1000       0.1106      0.43408   -4.7272e-06      0.11061
_SET1_   11236     8  125487008  125500859     22       6  1000      0.37642      0.33655   -4.7272e-06      0.37642
_SET1_   7415      9   35056065   35072739     24       5  1000      -1.1115      0.85592   -4.7272e-06      -1.1115
_SET1_   5887      9  110045517  110094475    116      11  1000      0.78946      0.19755   -4.7272e-06      0.78946
_SET1_   11253     9  139981379  140003639     57       9  1000     -0.21625       0.5644   -4.7272e-06     -0.21625
_SET1_   23193    11   62392298   62414198     16       3  1000       1.5086     0.059854   -4.7272e-06       1.5086
_SET1_   51035    11   62443972   62446554      1       1  1000        1.745      0.04009   -4.7272e-06        1.745
_SET1_   84447    11   64894751   64902285      7       2  1000      -1.2401      0.88578   -4.7272e-06      -1.2401
_SET1_   10956    12   58087738   58115340     31       4  1000   -0.0055492      0.47995   -4.7272e-06   -0.0055445
_SET1_   9761     12  121124949  121139667     30       7  1000     -0.39228      0.63458   -4.7272e-06     -0.39228
_SET1_   7316     12  125396192  125399587     13       3  1000      -1.0644      0.84619   -4.7272e-06      -1.0644
_SET1_   10206    13   50571143   50592603     35       5  1000     -0.92105      0.80646   -4.7272e-06     -0.92105
_SET1_   55757    13   96453834   96705736    338      13  1000    -0.068056      0.49934   -4.7272e-06    -0.068052
_SET1_   6400     14   81937891   82000205     62      11  1000      0.57006      0.26724   -4.7272e-06      0.57006
_SET1_   5700     14   90722894   90738969     66       2  1000      -1.0699      0.84027   -4.7272e-06      -1.0699
