# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 4.13901e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2066       2  212240442  213403879   3349     164  1000      0.97804      0.14609   -7.5253e-06      0.97805
_SET1_   5290       3  178866311  178952500    126       9  1000      0.34104      0.34354   -7.5253e-06      0.34105
_SET1_   2069       4   75230860   75254477     64       5  1000       1.6193     0.046068   -7.5253e-06       1.6193
_SET1_   685        4   75671448   75719882    168      11  1000      0.16734      0.40866   -7.5253e-06      0.16735
_SET1_   5295       5   67511584   67597649    151      25  1000       2.2219     0.011439   -7.5253e-06       2.2219
_SET1_   9542       5  139226364  139422884    282      24  1000      0.72747      0.21397   -7.5253e-06      0.72747
_SET1_   1839       5  139712428  139726188     26       6  1000       1.6596     0.043862   -7.5253e-06       1.6596
_SET1_   3084       8   31496820   32622558   2807     108  1000      0.48202      0.28851   -7.5253e-06      0.48203
_SET1_   10718     10   83635070   84746935   2508     140  1000       3.6038   0.00011705   -7.5253e-06       3.6038
_SET1_   145957    15   76234314   76304785     64       8  1000     -0.58684       0.7022   -7.5253e-06     -0.58684

# _SET2_  VARIABLE = REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (set)
# _SET2_  NGENES = 16
# _SET2_  P-VALUE = 6.976e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   2066       2  212240442  213403879   3349     164  1000      0.97804      0.14609   -7.5253e-06      0.97805
_SET2_   5290       3  178866311  178952500    126       9  1000      0.34104      0.34354   -7.5253e-06      0.34105
_SET2_   2069       4   75230860   75254477     64       5  1000       1.6193     0.046068   -7.5253e-06       1.6193
_SET2_   685        4   75671448   75719882    168      11  1000      0.16734      0.40866   -7.5253e-06      0.16735
_SET2_   1950       4  110834040  110934118    195      14  1000      0.17099       0.4077   -7.5253e-06        0.171
_SET2_   2549       4  144257680  144395718    157      16  1000       1.4946     0.060362   -7.5253e-06       1.4946
_SET2_   5295       5   67511584   67597649    151      25  1000       2.2219     0.011439   -7.5253e-06       2.2219
_SET2_   9542       5  139226364  139422884    282      24  1000      0.72747      0.21397   -7.5253e-06      0.72747
_SET2_   1839       5  139712428  139726188     26       6  1000       1.6596     0.043862   -7.5253e-06       1.6596
_SET2_   1956       7   55086678   55279262    410      58  1000      -0.5692      0.69652   -7.5253e-06     -0.56919
_SET2_   3084       8   31496820   32622558   2807     108  1000      0.48202      0.28851   -7.5253e-06      0.48203
_SET2_   10718     10   83635070   84746935   2508     140  1000       3.6038   0.00011705   -7.5253e-06       3.6038
_SET2_   2065      12   56473809   56497291     26       6  1000      0.57838      0.26559   -7.5253e-06      0.57838
_SET2_   145957    15   76234314   76304785     64       8  1000     -0.58684       0.7022   -7.5253e-06     -0.58684
_SET2_   2064      17   37844167   37884915     31       4  1000       2.1122     0.015309   -7.5253e-06       2.1122
_SET2_   2885      17   73314157   73401790    168       7  1000       1.8961     0.024979   -7.5253e-06       1.8961
