# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRANSLATION (set)
# _SET1_  NGENES = 274
# _SET1_  P-VALUE = 4.6066e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54998      1    1309110    1310818      3       2  1000       1.2908      0.09487   -2.5309e-06       1.2908
_SET1_   55052      1    1337276    1342693     10       4  1000       2.2933     0.010088   -2.5309e-06       2.2933
_SET1_   6146       1    6245080    6259679     30       5  1000       0.3379      0.35051   -2.5309e-06      0.33791
_SET1_   1650       1   20978260   20988037     24       4  1000     -0.23641      0.57206   -2.5309e-06     -0.23641
_SET1_   6135       1   24018269   24022915      3       1  1000     -0.44153      0.65644   -2.5309e-06     -0.44153
_SET1_   8668       1   32687971   32697205      9       1  1000      0.93892      0.16105   -2.5309e-06      0.93892
_SET1_   8565       1   33240840   33283633     58       5  1000    -0.082119      0.50746   -2.5309e-06    -0.082116
_SET1_   64960      1   36921362   36930040     39       6  1000      0.21959      0.39447   -2.5309e-06      0.21959
_SET1_   6202       1   45241213   45244427      1       1  1000     -0.71946       0.7588   -2.5309e-06     -0.71946
_SET1_   8891       1   45316194   45452394    325      10  1000     -0.15615      0.53044   -2.5309e-06     -0.15615
_SET1_   51253      1   54665840   54691407     60       9  1000     -0.58863      0.70592   -2.5309e-06     -0.58863
_SET1_   25973      1   55222571   55230226     20       4  1000       1.8971     0.025679   -2.5309e-06       1.8971
_SET1_   6125       1   93297594   93307481      7       2  1000      0.16688      0.41644   -2.5309e-06      0.16689
_SET1_   6301       1  109756515  109780804     29       6  1000     -0.46842      0.66331   -2.5309e-06     -0.46841
_SET1_   10352      1  119573839  119683404    214      16  1000      0.19547       0.4014   -2.5309e-06      0.19547
_SET1_   54460      1  150266262  150281414     45       6  1000       0.4557      0.30388   -2.5309e-06       0.4557
_SET1_   80222      1  150459840  150480085     57       6  1000       1.3925     0.072717   -2.5309e-06       1.3925
_SET1_   65005      1  151732119  151736040     13       3  1000     -0.47815      0.66725   -2.5309e-06     -0.47815
_SET1_   7818       1  155657693  155708801     41       5  1000       1.8653     0.027476   -2.5309e-06       1.8653
_SET1_   6746       1  155978839  155990758     10       2  1000      0.88866      0.17328   -2.5309e-06      0.88866
_SET1_   79590      1  156707094  156710923      4       2  1000     -0.44949      0.66047   -2.5309e-06     -0.44949
_SET1_   55157      1  173793719  173827682     51       7  1000      -0.1226      0.52993   -2.5309e-06      -0.1226
_SET1_   63931      1  174982094  174992591     19       6  1000     -0.53609      0.69077   -2.5309e-06     -0.53609
_SET1_   2058       1  220141940  220220000    265      10  1000      0.35813      0.33148   -2.5309e-06      0.35813
_SET1_   55699      1  220267455  220321383     84      10  1000     -0.55682      0.69508   -2.5309e-06     -0.55682
_SET1_   6726       1  225965515  225978168     27       5  1000      -0.1433      0.53635   -2.5309e-06      -0.1433
_SET1_   128308     1  228294380  228297037      3       1  1000     -0.11135      0.53181   -2.5309e-06     -0.11135
_SET1_   6201       2    3622853    3628509     20       4  1000     0.082873      0.44957   -2.5309e-06     0.082876
_SET1_   8890       2   27587219   27593324      4       2  1000      -1.0856      0.85341   -2.5309e-06      -1.0856
_SET1_   9553       2   27994584   28002608      5       1  1000     -0.75998      0.76174   -2.5309e-06     -0.75998
_SET1_   6233       2   55459039   55462989      7       3  1000      0.28141      0.37636   -2.5309e-06      0.28141
_SET1_   4528       2   55463756   55496384     75      10  1000     -0.59518      0.70876   -2.5309e-06     -0.59518
_SET1_   116540     2   74699085   74699942      1       1  1000      0.16972        0.427   -2.5309e-06      0.16972
_SET1_   9801       2   75873909   75889334     41       6  1000     -0.19334       0.5545   -2.5309e-06     -0.19333
_SET1_   55037      2   86333305   86369280     73       7  1000       1.9752     0.021082   -2.5309e-06       1.9752
_SET1_   51318      2   86426478   86440913     27       3  1000      0.51552      0.28019   -2.5309e-06      0.51552
_SET1_   64969      2   95752952   95787754      6       2  1000    -0.066578      0.51067   -2.5309e-06    -0.066576
_SET1_   51263      2   99797542   99816020     29       3  1000     -0.70537      0.73966   -2.5309e-06     -0.70536
_SET1_   9669       2   99953821  100016728     94       7  1000     -0.63489      0.71425   -2.5309e-06     -0.63488
