# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ROVERSI_GLIOMA_LOH_REGIONS (set)
# _SET1_  NGENES = 44
# _SET1_  P-VALUE = 1.10086e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10630      1  13910252  13944452     86      20  1000       1.7338     0.037901   -4.3371e-06       1.7338
_SET1_   7799       1  14026714  14151574    178      20  1000     -0.38527       0.6288   -4.3371e-06     -0.38527
_SET1_   152330     3   2140550   3099645   3544     271  1000      -0.8452      0.82104   -4.3371e-06      -0.8452
_SET1_   3568       3   3108008   3152058    124      35  1000      -1.0506      0.85025   -4.3371e-06      -1.0506
_SET1_   51095      3   3168600   3190919     82      10  1000      0.85532      0.17991   -4.3371e-06      0.85533
_SET1_   57633      3   3841121   3889708    127      16  1000       1.1343      0.11648   -4.3371e-06       1.1343
_SET1_   116984     4  36067620  36245979    274      20  1000      -1.0544      0.83753   -4.3371e-06      -1.0544
_SET1_   23216      4  37889606  38140796    621      58  1000        1.751     0.039827   -4.3371e-06        1.751
_SET1_   10744      4  37962056  37962631      2       1  1000      0.93978      0.16496   -4.3371e-06      0.93979
_SET1_   23284      4  62066949  62938168   1702     104  1000     -0.94362       0.8421   -4.3371e-06     -0.94362
_SET1_   2044       4  66185281  66536529   1080      56  1000       0.2489        0.391   -4.3371e-06      0.24891
_SET1_   1060       4  68337989  68411256    189      10  1000      0.66306      0.22511   -4.3371e-06      0.66306
_SET1_   2638       4  72607410  72671237    144      20  1000       1.9829     0.021192   -4.3371e-06       1.9829
_SET1_   10886      4  72897521  73013918    375      12  1000      0.40797      0.30977   -4.3371e-06      0.40797
_SET1_   9508       4  73146686  73434516    426      21  1000      -0.3081      0.58957   -4.3371e-06      -0.3081
_SET1_   29116      6  16129277  16148479     30       7  1000       1.2828      0.09032   -4.3371e-06       1.2828
_SET1_   2766       6  16238811  16295780    112      15  1000     -0.47241      0.66164   -4.3371e-06      -0.4724
_SET1_   6310       6  16299343  16761721   1104     134  1000      0.94003      0.20355   -4.3371e-06      0.94003
_SET1_   10553     11  20385231  20405329     53      10  1000      0.56546      0.26764   -4.3371e-06      0.56547
_SET1_   9152      11  20620946  20676610    241      32  1000     -0.29282      0.60179   -4.3371e-06     -0.29281
_SET1_   4745      11  20691117  21597232   2630     206  1000    -0.097797      0.57065   -4.3371e-06    -0.097792
_SET1_   203859    11  22214199  22304913    183       9  1000    -0.070249      0.49469   -4.3371e-06    -0.070245
_SET1_   57084     11  22359667  22401049    111      25  1000     -0.61498      0.71997   -4.3371e-06     -0.61497
_SET1_   2188      11  22644079  22647387      2       1  1000      0.49226      0.30136   -4.3371e-06      0.49227
_SET1_   2620      11  22688160  22834547    367      24  1000      0.60384      0.25072   -4.3371e-06      0.60385
_SET1_   143662    11  26580579  26593815     33       8  1000      0.16237      0.41446   -4.3371e-06      0.16237
_SET1_   9052      12  13043956  13066600     67      11  1000       2.1433     0.013585   -4.3371e-06       2.1433
_SET1_   55507     12  13093407  13106828     31       7  1000       3.3744   0.00029758   -4.3371e-06       3.3744
_SET1_   50865     12  13127798  13153243     58       8  1000       2.7898     0.002133   -4.3371e-06       2.7898
_SET1_   83445     12  13236471  13256659     20       8  1000       2.0458     0.018497   -4.3371e-06       2.0458
_SET1_   2012      12  13349602  13369708     40      11  1000       1.5043     0.060066   -4.3371e-06       1.5043
_SET1_   2904      12  13713684  14133022    986      73  1000       1.5869     0.058027   -4.3371e-06       1.5869
_SET1_   55729     12  14518566  14655864    164       8  1000       1.1694      0.10256   -4.3371e-06       1.1694
_SET1_   2984      12  14765566  14849519     97      13  1000       2.9579    0.0013114   -4.3371e-06        2.958
_SET1_   3945      12  21788275  21810789     78       2  1000       2.1696     0.012732   -4.3371e-06       2.1696
_SET1_   3764      12  21917889  21928436      1       1  1000       1.2941        0.095   -4.3371e-06       1.2941
_SET1_   10060     12  21950323  22094797    209      20  1000       1.8406      0.02822   -4.3371e-06       1.8406
_SET1_   8496      12  27677045  27848497    541      41  1000      0.74824      0.21541   -4.3371e-06      0.74824
_SET1_   5706      14  53173894  53194716     19       3  1000       1.9579     0.021448   -4.3371e-06       1.9579
_SET1_   6815      14  53196883  53241707     56       4  1000       1.8685     0.025172   -4.3371e-06       1.8685
_SET1_   64841     14  53241911  53258386     12       2  1000       1.5014     0.058556   -4.3371e-06       1.5014
_SET1_   10979     14  53323989  53417856    162      16  1000       1.5823      0.04982   -4.3371e-06       1.5823
_SET1_   80821     14  53503458  53620046    139       7  1000     -0.16883      0.53277   -4.3371e-06     -0.16883
_SET1_   5817      19  45147098  45169429     32       5  1000       1.6434     0.044475   -4.3371e-06       1.6434
