# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LI_AMPLIFIED_IN_LUNG_CANCER (set)
# _SET1_  NGENES = 167
# _SET1_  P-VALUE = 2.65854e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023       1    8921059    8939151     26       5  1000      0.80554      0.19676   -2.3269e-06      0.80554
_SET1_   5226       1   10458884   10480565     32       3  1000     -0.87073      0.78567   -2.3269e-06     -0.87073
_SET1_   1650       1   20978260   20988037     24       4  1000       1.8486     0.028164   -2.3269e-06       1.8486
_SET1_   5792       1   43991708   44089343    213      15  1000      0.96162      0.15205   -2.3269e-06      0.96162
_SET1_   5052       1   45976707   45988562     40       5  1000      0.99779      0.14495   -2.3269e-06      0.99779
_SET1_   10327      1   46016455   46035723     27       3  1000      0.32529      0.34314   -2.3269e-06       0.3253
_SET1_   7388       1   46769324   46782448     13       4  1000       1.3024     0.089405   -2.3269e-06       1.3024
_SET1_   1301       1  103342023  103574052    682      27  1000     -0.35875      0.61469   -2.3269e-06     -0.35875
_SET1_   4170       1  150547027  150552214      2       1  1000      0.68361      0.23375   -2.3269e-06      0.68362
_SET1_   5692       1  151372041  151374412      3       1  1000      0.47867      0.30601   -2.3269e-06      0.47867
_SET1_   10899      1  153946745  153951096      2       1  1000      0.68757      0.23658   -2.3269e-06      0.68757
_SET1_   10456      1  154245039  154248351      3       2  1000       2.0551     0.018665   -2.3269e-06       2.0551
_SET1_   4582       1  155158300  155162768      2       1  1000       1.9928     0.020393   -2.3269e-06       1.9928
_SET1_   7203       1  156278752  156308206     64       4  1000       1.4478     0.063235   -2.3269e-06       1.4478
_SET1_   1382       1  156669398  156675608      9       3  1000       1.5044      0.06364   -2.3269e-06       1.5044
_SET1_   3068       1  156711899  156722240     10       3  1000      -2.1117      0.98042   -2.3269e-06      -2.1117
_SET1_   481        1  169075947  169101960    108      18  1000      0.51072      0.29276   -2.3269e-06      0.51072
_SET1_   1118       1  203185207  203198860     32       5  1000     -0.93309      0.80886   -2.3269e-06     -0.93309
_SET1_   6635       1  203830740  203840280     25       3  1000      -1.3645      0.90311   -2.3269e-06      -1.3645
