# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_16P13_AMPLICON (set)
# _SET1_  NGENES = 113
# _SET1_  P-VALUE = 3.28714e-28
_SET1_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51728     16    96979   103632     22       4  1000      0.19372      0.40351   -5.8318e-06      0.19372
_SET1_   79622     16   103829   107669      9       2  1000       1.2065      0.10563   -5.8318e-06       1.2065
_SET1_   64285     16   108058   126354     54      10  1000       3.1879    0.0005845   -5.8318e-06       3.1879
_SET1_   4350      16   127018   135850     38       9  1000       4.5003    2.454e-06   -5.8318e-06       4.5003
_SET1_   8131      16   135800   188697    104      13  1000       2.5086    0.0054244   -5.8318e-06       2.5086
_SET1_   3050      16   192921   204504      3       1  1000       1.2743     0.095247   -5.8318e-06       1.2743
_SET1_   3049      16   230333   231178      1       1  1000       2.8765     0.001567   -5.8318e-06       2.8765
_SET1_   55692     16   238970   279449     42       6  1000       1.4585     0.068474   -5.8318e-06       1.4585
_SET1_   83986     16   284758   318960     80      10  1000       2.5955    0.0040952   -5.8318e-06       2.5955
_SET1_   8786      16   318300   325941     27       6  1000       3.2652   0.00041536   -5.8318e-06       3.2652
_SET1_   398       16   330606   333003      6       3  1000       4.6397   1.3784e-06   -5.8318e-06       4.6397
_SET1_   64714     16   333118   337215     11       4  1000       1.5567     0.054378   -5.8318e-06       1.5567
_SET1_   8312      16   337440   405244    219      21  1000       2.4867    0.0061222   -5.8318e-06       2.4867
_SET1_   10573     16   417384   420584     19       6  1000       3.0979   0.00080002   -5.8318e-06       3.0979
_SET1_   58986     16   420776   431950     55       6  1000       2.8436    0.0020608   -5.8318e-06       2.8436
_SET1_   4833      16   446752   450754     21       3  1000       1.5534     0.054802   -5.8318e-06       1.5534
_SET1_   26063     16   451858   462487     22       3  1000       1.0181      0.14703   -5.8318e-06       1.0181
_SET1_   9727      16   475649   572485    229      20  1000       1.5877     0.054524   -5.8318e-06       1.5877
_SET1_   6650      16   577816   604636     68      18  1000       4.3979   4.5568e-06   -5.8318e-06       4.3979
_SET1_   146325    16   609836   615529     10       3  1000      0.81656      0.19909   -5.8318e-06      0.81657
_SET1_   9091      16   619968   634136     61       3  1000      0.96333      0.15729   -5.8318e-06      0.96334
_SET1_   57799     16   639357   679273    110       7  1000       1.4822     0.063305   -5.8318e-06       1.4822
_SET1_   117166    16   681012   684116     10       2  1000       1.6744     0.044092   -5.8318e-06       1.6744
_SET1_   84326     16   684429   686371      2       1  1000       1.7953     0.029448   -5.8318e-06       1.7953
_SET1_   84331     16   691849   698474      8       4  1000        2.312    0.0088729   -5.8318e-06        2.312
_SET1_   197335    16   699363   717833     65       4  1000       2.2296     0.011404   -5.8318e-06       2.2296
_SET1_   89941     16   718083   724174     17       3  1000        2.017     0.019624   -5.8318e-06        2.017
_SET1_   9028      16   725666   728268      1       1  1000      -1.5881       0.9368   -5.8318e-06      -1.5881
_SET1_   10273     16   730115   732768      3       1  1000      0.36969      0.33277   -5.8318e-06       0.3697
_SET1_   339123    16   731667   734440      1       1  1000     -0.62243       0.7115   -5.8318e-06     -0.62242
_SET1_   84219     16   734622   740608      9       2  1000       0.7885      0.20103   -5.8318e-06      0.78851
_SET1_   146330    16   742500   755825     22       3  1000       2.2053     0.011717   -5.8318e-06       2.2053
_SET1_   79006     16   765173   769655     15       3  1000       1.2085      0.10118   -5.8318e-06       1.2085
_SET1_   65990     16   770581   772655      8       1  1000      0.37905      0.34116   -5.8318e-06      0.37905
_SET1_   124093    16   772582   776880     12       3  1000       1.5937     0.050907   -5.8318e-06       1.5938
_SET1_   84264     16   776958   779715      8       2  1000      0.36575      0.34471   -5.8318e-06      0.36575
_SET1_   64428     16   779753   790997     33       6  1000        2.449    0.0060894   -5.8318e-06        2.449
_SET1_   10232     16   810765   818865     32       8  1000        1.424     0.067877   -5.8318e-06        1.424
_SET1_   113000    16   834974   838383      9       5  1000       1.1941      0.10409   -5.8318e-06       1.1941
_SET1_   63922     16   838622   848074     53      10  1000       1.0954       0.1211   -5.8318e-06       1.0954
_SET1_   51764     16   848041   850733     15       5  1000      0.16643      0.40251   -5.8318e-06      0.16644
_SET1_   64788     16   903634  1031318    582      30  1000       2.0136     0.020921   -5.8318e-06       2.0136
_SET1_   30812     16  1031808  1036979     18       4  1000       1.2088      0.10666   -5.8318e-06       1.2088
_SET1_   6755      16  1122756  1131454     41       9  1000       1.7204     0.039869   -5.8318e-06       1.7204
_SET1_   390664    16  1138226  1146244     17       5  1000       4.3791   4.6122e-06   -5.8318e-06       4.3791
_SET1_   8912      16  1203241  1271772    197      34  1000       4.7068   1.2619e-06   -5.8318e-06       4.7068
_SET1_   25823     16  1271651  1275254     14       4  1000      0.65544      0.24547   -5.8318e-06      0.65544
_SET1_   64499     16  1278336  1280185     22       5  1000      0.53033      0.28976   -5.8318e-06      0.53034
_SET1_   7177      16  1290678  1292555      8       3  1000       1.0904      0.13037   -5.8318e-06       1.0904
_SET1_   23430     16  1306273  1308494     10       3  1000       1.5415     0.057637   -5.8318e-06       1.5415
_SET1_   7329      16  1357420  1377019     49       7  1000       4.8005   6.2725e-07   -5.8318e-06       4.8005
_SET1_   8938      16  1383606  1399442     29       7  1000        2.438    0.0068089   -5.8318e-06        2.438
_SET1_   115939    16  1399241  1401873      4       2  1000       3.1285   0.00075655   -5.8318e-06       3.1285
_SET1_   84572     16  1401900  1413352     11       4  1000       1.9821     0.021435   -5.8318e-06       1.9821
_SET1_   64718     16  1413206  1464750     60      10  1000       3.8361    4.713e-05   -5.8318e-06       3.8361
_SET1_   1186      16  1494934  1525085    139      16  1000       3.3903   0.00032542   -5.8318e-06       3.3903
_SET1_   390667    16  1535940  1538468     22       5  1000       5.2607   5.3343e-08   -5.8318e-06       5.2607
_SET1_   9894      16  1543352  1560460     60      12  1000       2.4783    0.0055832   -5.8318e-06       2.4783
_SET1_   9742      16  1560428  1662109    278      14  1000       2.5356    0.0046808   -5.8318e-06       2.5356
_SET1_   79652     16  1578742  1605581     84       9  1000       1.8317     0.029572   -5.8318e-06       1.8318
_SET1_   57585     16  1662495  1727909    100       8  1000       1.6436     0.042009   -5.8318e-06       1.6436
_SET1_   90861     16  1728201  1752073     23       2  1000       2.8187     0.001763   -5.8318e-06       2.8187
_SET1_   23162     16  1756184  1820318     99      10  1000       2.4969    0.0052913   -5.8318e-06       2.4969
_SET1_   4832      16  1820321  1821743      1       1  1000     -0.66815       0.7343   -5.8318e-06     -0.66815
_SET1_   65993     16  1821891  1823152      3       1  1000      0.14366      0.41367   -5.8318e-06      0.14367
_SET1_   197342    16  1823223  1826628      8       3  1000       1.2241      0.10305   -5.8318e-06       1.2241
_SET1_   90864     16  1826713  1832582      9       3  1000        1.398     0.074925   -5.8318e-06        1.398
_SET1_   10101     16  1832931  1839192     25       6  1000       1.2838     0.091172   -5.8318e-06       1.2838
_SET1_   3483      16  1840414  1844909     27       4  1000       1.5065     0.058281   -5.8318e-06       1.5065
_SET1_   3029      16  1859104  1877195    164       9  1000       1.3469     0.077987   -5.8318e-06       1.3469
_SET1_   81889     16  1877225  1890208    126       3  1000      0.17003      0.39923   -5.8318e-06      0.17003
_SET1_   254528    16  1883984  1922179    333       4  1000     -0.16993      0.53004   -5.8318e-06     -0.16993
_SET1_   64711     16  1961464  1968231     32       3  1000       1.4097     0.072861   -5.8318e-06       1.4097
_SET1_   51734     16  1988234  1993294      6       2  1000       1.6884     0.041194   -5.8318e-06       1.6884
_SET1_   6123      16  1994580  2004679     35      11  1000       3.4881   0.00022994   -5.8318e-06       3.4881
_SET1_   4716      16  2009517  2011976     15       3  1000     -0.20376      0.55498   -5.8318e-06     -0.20375
_SET1_   6187      16  2012059  2014827     12       2  1000       1.0521      0.13109   -5.8318e-06       1.0521
_SET1_   146310    16  2016843  2018976      3       1  1000       2.2085    0.0097733   -5.8318e-06       2.2085
_SET1_   10607     16  2022064  2028751     20       5  1000       2.9881    0.0011157   -5.8318e-06       2.9881
_SET1_   124056    16  2028918  2031704      5       2  1000       1.3751     0.073711   -5.8318e-06       1.3751
_SET1_   2671      16  2034150  2037750     13       2  1000       1.7461     0.035733   -5.8318e-06       1.7461
_SET1_   9143      16  2039946  2044276      4       1  1000       1.8161     0.031012   -5.8318e-06       1.8161
_SET1_   90850     16  2047653  2059822     47       7  1000       4.0665   1.9638e-05   -5.8318e-06       4.0665
_SET1_   283869    16  2069521  2070756      5       2  1000       2.5063    0.0052829   -5.8318e-06       2.5063
_SET1_   9351      16  2076869  2089027     29       7  1000       4.6773   1.1696e-06   -5.8318e-06       4.6773
_SET1_   4913      16  2089816  2097931      6       2  1000       3.7042   8.1389e-05   -5.8318e-06       3.7043
_SET1_   7249      16  2097472  2138713     44      13  1000        5.517   4.1749e-11   -5.8318e-06        5.517
_SET1_   5310      16  2138709  2185899     73       7  1000       4.3085   6.1096e-06   -5.8318e-06       4.3085
_SET1_   25837     16  2198145  2204141      3       1  1000       2.4711    0.0059166   -5.8318e-06       2.4711
_SET1_   84231     16  2205763  2228130     14       5  1000       4.1631   1.1598e-05   -5.8318e-06       4.1631
_SET1_   54442     16  2732495  2759031     59      10  1000       3.4352    0.0002705   -5.8318e-06       3.4352
_SET1_   83886     16  2762423  2770552      7       2  1000       2.0369     0.021548   -5.8318e-06       2.0369
_SET1_   23524     16  2802330  2821413     19       3  1000      0.61134      0.24732   -5.8318e-06      0.61135
_SET1_   6923      16  2821415  2827297     20       2  1000      0.98883      0.14598   -5.8318e-06      0.98883
_SET1_   260429    16  2833954  2837943      9       3  1000       3.5678    0.0001409   -5.8318e-06       3.5678
_SET1_   10942     16  2867164  2871723      9       3  1000       2.4617    0.0060099   -5.8318e-06       2.4617
_SET1_   124220    16  2880173  2882285      8       2  1000       1.9639      0.02219   -5.8318e-06       1.9639
_SET1_   64063     16  2902728  2908625     10       3  1000        1.368       0.0802   -5.8318e-06        1.368
_SET1_   114984    16  2932924  2949383     62       6  1000       1.1491      0.11876   -5.8318e-06       1.1492
_SET1_   84256     16  2961943  3001209    169      17  1000       1.2921     0.095848   -5.8318e-06       1.2921
_SET1_   79412     16  3014217  3018384     10       2  1000       3.7943   5.0923e-05   -5.8318e-06       3.7943
_SET1_   9088      16  3018101  3030540     14       4  1000       1.9043     0.026248   -5.8318e-06       1.9044
_SET1_   124222    16  3019342  3023485      5       2  1000      0.15405      0.42526   -5.8318e-06      0.15405
_SET1_   9080      16  3062457  3064506      3       1  1000      0.88585      0.16767   -5.8318e-06      0.88586
_SET1_   9074      16  3064713  3068188      9       3  1000     -0.24324      0.58345   -5.8318e-06     -0.24323
_SET1_   51330     16  3070313  3072384      3       1  1000       1.4518     0.068708   -5.8318e-06       1.4518
_SET1_   54985     16  3072626  3074287      1       1  1000       1.0416       0.1405   -5.8318e-06       1.0416
_SET1_   79228     16  3074032  3077756      5       2  1000       1.0273      0.14385   -5.8318e-06       1.0273
_SET1_   64386     16  3096682  3110727     48       7  1000         1.48     0.064527   -5.8318e-06         1.48
_SET1_   9235      16  3115313  3119668     20      11  1000       1.7091     0.042774   -5.8318e-06       1.7091
_SET1_   84891     16  3138895  3149293     22       4  1000        1.368     0.079764   -5.8318e-06        1.368
