# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HUMMERICH_MALIGNANT_SKIN_TUMOR_UP (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 5.39085e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   79927      1   26485511   26489119      8       3  1000      0.38628      0.34404    4.5966e-07      0.38628
_SET1_   1893       1  150480487  150486265      9       3  1000    -0.077846      0.52292    4.5966e-07    -0.077846
_SET1_   6700       1  153028596  153029988      1       1  1000      0.21402       0.4058    4.5966e-07      0.21402
_SET1_   6280       1  153330330  153333503      1       1  1000      -0.3421        0.628    4.5966e-07      -0.3421
_SET1_   6279       1  153362508  153395054     17       3  1000       1.2371      0.10613    4.5966e-07       1.2371
_SET1_   4057       3   46477496   46506598    113      13  1000      0.55329      0.28833    4.5966e-07      0.55329
_SET1_   1278       7   94023873   94060544     92      16  1000       -0.166      0.56638    4.5966e-07       -0.166
_SET1_   9446      10  106013952  106027222     65       2  1000     -0.82554      0.78609    4.5966e-07     -0.82554
_SET1_   391       11    3848208    3862213     47       8  1000       1.1552      0.12069    4.5966e-07       1.1552
_SET1_   595       11   69455873   69469242     19       4  1000       2.3407    0.0090998    4.5966e-07       2.3407
_SET1_   349633    11  112118876  112131583     18       2  1000     0.086683      0.45378    4.5966e-07     0.086683
_SET1_   23406     16   84599202   84651669    256      38  1000      0.35299      0.37442    4.5966e-07      0.35298
_SET1_   3860      17   39657233   39661865     11       3  1000       1.1148      0.13118    4.5966e-07       1.1148
_SET1_   3868      17   39766030   39769079      2       1  1000      0.73127      0.22373    4.5966e-07      0.73127
_SET1_   6590      20   43880880   43883205      9       3  1000     -0.29392      0.61453    4.5966e-07     -0.29392
_SET1_   80781     21   46825058   46933634    420      33  1000       1.2513      0.10931    4.5966e-07       1.2513
