# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SCHEIDEREIT_IKK_TARGETS (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 2.68781e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8915      1   85731459   85742604     24       6  1000      0.94128        0.164   -4.7556e-07      0.94128
_SET1_   1796      2   74776147   74784678      8       2  1000     -0.40504      0.65266   -4.7556e-07     -0.40504
_SET1_   3667      2  227596033  227664545    133       9  1000      0.55569      0.27191   -4.7556e-07      0.55569
_SET1_   1499      3   41236401   41281939     34       2  1000       1.1694       0.1116   -4.7556e-07       1.1694
_SET1_   4790      4  103422486  103538459    171       8  1000      0.70775      0.21934   -4.7556e-07      0.70775
_SET1_   2309      6  108881026  109005972    120      11  1000       1.7205     0.037839   -4.7556e-07       1.7205
_SET1_   2099      6  152011631  152424409    978      59  1000       3.0535    0.0010604   -4.7556e-07       3.0535
_SET1_   4791     10  104153867  104162286      8       4  1000      0.85116      0.19188   -4.7556e-07      0.85116
_SET1_   5970     11   65421067   65430443     10       3  1000     0.076783      0.45902   -4.7556e-07     0.076783
_SET1_   595      11   69455873   69469242     19       4  1000   -0.0085797      0.48894   -4.7556e-07   -0.0085792
_SET1_   9612     12  124808957  125052079    622      95  1000       4.0368   3.0886e-05   -4.7556e-07       4.0368
_SET1_   4792     14   35870716   35873960     12       4  1000     -0.31107      0.61142   -4.7556e-07     -0.31107
_SET1_   1540     16   50775961   50835847     83      10  1000     -0.56073      0.69453   -4.7556e-07     -0.56073
_SET1_   84807    19   36378854   36393205     23       4  1000        1.063      0.13855   -4.7556e-07        1.063
_SET1_   4793     19   39390340   39399534     22       6  1000       1.3771     0.078671   -4.7556e-07       1.3771
_SET1_   7529     20   43514240   43537173     34       3  1000       1.5137     0.059301   -4.7556e-07       1.5137
_SET1_   8202     20   46130601   46285621    229      11  1000     -0.21761      0.56077   -4.7556e-07     -0.21761
