# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MOOTHA_GLYCOLYSIS (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 5.88921e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023      1    8921059    8939151     26       5  1000      0.36951      0.34258   -3.0296e-06      0.36951
_SET1_   5236      1   64058947   64125916    184      30  1000       2.1313     0.015524   -3.0296e-06       2.1313
_SET1_   5208      1  207207761  207254368     63       9  1000   -0.0048963      0.48607   -3.0296e-06   -0.0048933
_SET1_   5224      7   44102326   44105186      8       2  1000       1.9949     0.021433   -3.0296e-06       1.9949
_SET1_   8789      9   97321002   97356075    188      17  1000      -1.2941      0.89408   -3.0296e-06      -1.2941
_SET1_   2203      9   97365415   97402531    133      16  1000     -0.94269      0.81654   -3.0296e-06     -0.94269
_SET1_   229       9  104182842  104198062     36       5  1000      0.96715      0.15685   -3.0296e-06      0.96716
_SET1_   3098     10   71029740   71161638    400      53  1000     0.033286      0.48122   -3.0296e-06     0.033289
_SET1_   920      12    6898638    6929976     51       9  1000      0.11032      0.44182   -3.0296e-06      0.11033
_SET1_   7167     12    6976288    6980110      1       1  1000     -0.67101       0.7258   -3.0296e-06       -0.671
_SET1_   5213     12   48499656   48540187     75       8  1000     -0.42369      0.64759   -3.0296e-06     -0.42369
_SET1_   5315     15   72491370   72523901     27       5  1000     -0.41848      0.64824   -3.0296e-06     -0.41848
_SET1_   226      16   30064411   30081741     11       4  1000       2.6167    0.0041073   -3.0296e-06       2.6167
_SET1_   2027     17    4853404    4860426      5       2  1000      0.57245      0.27591   -3.0296e-06      0.57245
_SET1_   2821     19   34855645   34893318     41       5  1000      0.52569       0.2844   -3.0296e-06       0.5257
_SET1_   26330    19   36024314   36036221     24       6  1000      0.81864      0.19752   -3.0296e-06      0.81864
_SET1_   637      22   18216906   18257431    111      22  1000       1.5428     0.058242   -3.0296e-06       1.5428
