# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.59405e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4802      1   41157242   41237275    142       9  1000       2.2323     0.011546   -5.8977e-06       2.2323
_SET1_   22926     1  161736034  161933860    409      11  1000       1.5788     0.055103   -5.8977e-06       1.5788
_SET1_   4800      6   41040707   41070146     36       5  1000      0.65525      0.24688   -5.8977e-06      0.65525
_SET1_   3309      9  127997127  128003666      4       1  1000     -0.57896      0.70737   -5.8977e-06     -0.57896
_SET1_   1649     12   57910371   57914300      3       1  1000      0.14623      0.43952   -5.8977e-06      0.14624
_SET1_   7184     12  104324112  104341708     61      15  1000      0.31011      0.36706   -5.8977e-06      0.31012
_SET1_   4801     12  104510858  104532040     20       4  1000      0.81475       0.2012   -5.8977e-06      0.81476
_SET1_   8720     16   84087368   84150517    194      20  1000     -0.18313       0.5592   -5.8977e-06     -0.18313
_SET1_   811      19   13049414   13055304      3       1  1000      0.88299      0.18084   -5.8977e-06      0.88299
_SET1_   7494     22   29190548   29196560      6       2  1000      0.50437      0.30328   -5.8977e-06      0.50438
_SET1_   468      22   39916569   39918691      1       1  1000       1.1294       0.1262   -5.8977e-06       1.1294

# _SET2_  VARIABLE = REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES (set)
# _SET2_  NGENES = 10
# _SET2_  P-VALUE = 9.3397e-07
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   4802      1   41157242   41237275    142       9  1000       2.2323     0.011546   -5.8977e-06       2.2323
_SET2_   22926     1  161736034  161933860    409      11  1000       1.5788     0.055103   -5.8977e-06       1.5788
_SET2_   4800      6   41040707   41070146     36       5  1000      0.65525      0.24688   -5.8977e-06      0.65525
_SET2_   3309      9  127997127  128003666      4       1  1000     -0.57896      0.70737   -5.8977e-06     -0.57896
_SET2_   1649     12   57910371   57914300      3       1  1000      0.14623      0.43952   -5.8977e-06      0.14624
_SET2_   7184     12  104324112  104341708     61      15  1000      0.31011      0.36706   -5.8977e-06      0.31012
_SET2_   4801     12  104510858  104532040     20       4  1000      0.81475       0.2012   -5.8977e-06      0.81476
_SET2_   811      19   13049414   13055304      3       1  1000      0.88299      0.18084   -5.8977e-06      0.88299
_SET2_   7494     22   29190548   29196560      6       2  1000      0.50437      0.30328   -5.8977e-06      0.50438
_SET2_   468      22   39916569   39918691      1       1  1000       1.1294       0.1262   -5.8977e-06       1.1294
