# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WHITESIDE_CISPLATIN_RESISTANCE_DN (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 7.86634e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2537      1   27992572   27998724     16       4  1000     -0.28608      0.60717   -6.3005e-06     -0.28608
_SET1_   60        7    5566779    5570232      9       2  1000       1.5465     0.058796   -6.3005e-06       1.5465
_SET1_   10234     7  102553344  102585558     37       6  1000       1.1188      0.12641   -6.3005e-06       1.1188
_SET1_   10346    11    5710817    5732093    125      21  1000       1.8892     0.029311   -6.3005e-06       1.8892
_SET1_   3880     17   39679869   39684641      6       1  1000      0.20721       0.4092   -6.3005e-06      0.20722
_SET1_   3727     19   18390563   18392432      2       1  1000      0.63703       0.2644   -6.3005e-06      0.63704
_SET1_   6217     19   39923847   39926660     11       2  1000       -0.686      0.74544   -6.3005e-06     -0.68599
_SET1_   23521    19   49990811   49995565      8       1  1000  -0.00031041      0.49044   -6.3005e-06  -0.00030411
_SET1_   6203     19   54704608   54711515     61       4  1000       1.7318     0.036868   -6.3005e-06       1.7318
_SET1_   6193     19   58898636   58906171     40       4  1000      0.37878      0.33725   -6.3005e-06      0.37879
_SET1_   6227     20   60962121   60963576      4       2  1000       2.6546     0.004017   -6.3005e-06       2.6546
_SET1_   6647     21   33031935   33041244     11       3  1000     -0.70577      0.75566   -6.3005e-06     -0.70576
