# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHYLA_CBFA2T3_TARGETS_DN (set)
# _SET1_  NGENES = 228
# _SET1_  P-VALUE = 1.75469e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   148398        1     859993     879961     74      17  1000      -1.0229      0.83388   -3.0414e-06      -1.0229
_SET1_   388581        1    1177826    1182102      9       2  1000      0.89918      0.16305   -3.0414e-06      0.89919
_SET1_   388588        1    3689352    3692546     12       5  1000      0.69965      0.22918   -3.0414e-06      0.69965
_SET1_   6007          1   25598884   25656936     63      10  1000     -0.63574      0.72038   -3.0414e-06     -0.63573
_SET1_   83667         1   28585963   28609002     27       5  1000       -1.943      0.97107   -3.0414e-06       -1.943
_SET1_   64129         1   32042086   32053290     13       6  1000      -0.2289      0.57643   -3.0414e-06      -0.2289
_SET1_   22996         1   51752930   51810785     37       9  1000      0.30597      0.35444   -3.0414e-06      0.30597
_SET1_   4774          1   61542946   61928460    670      84  1000      0.62768      0.29052   -3.0414e-06      0.62768
_SET1_   23266         1   82266082   82458107    436      32  1000     -0.31706      0.62038   -3.0414e-06     -0.31706
_SET1_   163351        1   89829436   89853719     61      10  1000      0.50323      0.29273   -3.0414e-06      0.50324
_SET1_   7813          1   92974253   93257961    345      11  1000      0.10197      0.43816   -3.0414e-06      0.10197
_SET1_   148534        1   95582894   95663163    168      19  1000      0.29639      0.37464   -3.0414e-06      0.29639
_SET1_   29899         1  109417972  109473044     76       6  1000     -0.74352      0.75502   -3.0414e-06     -0.74351
_SET1_   27159         1  111833474  111863188    180      16  1000       1.2296      0.10415   -3.0414e-06       1.2296
_SET1_   440603        1  114419436  114430230     19       5  1000       1.2814     0.093534   -3.0414e-06       1.2814
_SET1_   3321          1  117117020  117210377     99      17  1000       1.3833     0.079647   -3.0414e-06       1.3833
_SET1_   6280          1  153330330  153333503      1       1  1000       1.5254      0.06021   -3.0414e-06       1.5254
_SET1_   6279          1  153362508  153395054     17       3  1000      -1.3456      0.89714   -3.0414e-06      -1.3456
_SET1_   4000          1  156052369  156109880    117       7  1000       2.7985    0.0019987   -3.0414e-06       2.7985
_SET1_   128367        1  158548709  158549689      4       1  1000     -0.35914       0.6311   -3.0414e-06     -0.35913
_SET1_   2532          1  159173803  159176290      7       4  1000     -0.26394      0.59056   -3.0414e-06     -0.26394
_SET1_   257177        1  161334521  161337673     16       1  1000      -1.4932      0.91384   -3.0414e-06      -1.4932
_SET1_   4259          1  165600110  165625373     79      14  1000      -1.1197      0.86221   -3.0414e-06      -1.1197
_SET1_   23271         1  200708686  200829832    213      18  1000      0.22687      0.39479   -3.0414e-06      0.22687
_SET1_   1510          1  206317459  206332104     21       3  1000      0.23738      0.38343   -3.0414e-06      0.23738
_SET1_   9214          1  207076630  207095378     25       4  1000     -0.79674       0.7741   -3.0414e-06     -0.79674
_SET1_   55532         1  220087606  220101993     22       5  1000      0.67586      0.23805   -3.0414e-06      0.67587
_SET1_   3020          1  226250408  226259703      5       1  1000      0.80901      0.19556   -3.0414e-06      0.80902
_SET1_   51127         1  228594858  228604583      7       3  1000       1.8133     0.030409   -3.0414e-06       1.8133
_SET1_   100129094     1  228698060  228699699      1       1  1000       1.9053      0.02742   -3.0414e-06       1.9053
_SET1_   84886         1  230972865  231005335    125      18  1000       1.2672     0.096178   -3.0414e-06       1.2672
_SET1_   52            2     264869     278283     20       3  1000       0.9316       0.1655   -3.0414e-06       0.9316
_SET1_   129642        2    8996701    9143876     79       7  1000      -0.3128      0.59347   -3.0414e-06      -0.3128
_SET1_   23175         2   11817705   11967535    367      40  1000     -0.47062      0.68385   -3.0414e-06     -0.47062
_SET1_   200634        2   27665233   27669348      3       1  1000      0.61657      0.25516   -3.0414e-06      0.61657
_SET1_   494143        2   53994929   54002320     12       4  1000     -0.85889       0.7888   -3.0414e-06     -0.85889
_SET1_   151516        2   70187221   70189397      3       1  1000       2.5018    0.0054306   -3.0414e-06       2.5018
_SET1_   9486          2  101008322  101034130     57       7  1000     -0.31189      0.60317   -3.0414e-06     -0.31188
_SET1_   84804         2  103331089  103353341     32       5  1000     -0.89403      0.80347   -3.0414e-06     -0.89402
_SET1_   90557         2  132285248  132291239     16       4  1000        -0.12      0.52785   -3.0414e-06     -0.11999
_SET1_   151525        2  160092304  160143304    192      10  1000     -0.31569      0.60863   -3.0414e-06     -0.31569
_SET1_   79828         2  172173912  172291312    143      18  1000       1.3002     0.090763   -3.0414e-06       1.3002
_SET1_   79634         2  175260457  175294303    105       7  1000      0.70557       0.2256   -3.0414e-06      0.70558
_SET1_   64172         2  190611386  190628020     13       3  1000      -1.1911      0.87072   -3.0414e-06      -1.1911
_SET1_   205327        2  200775979  200792996     35       7  1000     -0.29769       0.5961   -3.0414e-06     -0.29768
_SET1_   66008         2  202241930  202316319    118       8  1000     -0.25416       0.5807   -3.0414e-06     -0.25416
_SET1_   8324          2  202899310  202903160      3       1  1000      0.38067      0.33408   -3.0414e-06      0.38067
_SET1_   7145          2  218664512  218808796    369      52  1000      0.42284      0.34898   -3.0414e-06      0.42285
_SET1_   414061        2  234651396  234652661      3       1  1000      0.52456      0.27621   -3.0414e-06      0.52456
_SET1_   116987        2  236402733  237040444   1415      99  1000      -1.4358      0.93823   -3.0414e-06      -1.4358
_SET1_   151176        2  239060579  239077516     31       7  1000     0.028321      0.47584   -3.0414e-06     0.028324
_SET1_   29995         3    8543493    8609811    172      14  1000     -0.57801      0.70902   -3.0414e-06     -0.57801
_SET1_   54716         3   45796941   45838039     73      22  1000      0.25379        0.396   -3.0414e-06       0.2538
_SET1_   4057          3   46477496   46506598    113      13  1000     -0.95087      0.81802   -3.0414e-06     -0.95087
_SET1_   200942        3   49208987   49213919      8       2  1000     -0.92258      0.80516   -3.0414e-06     -0.92258
_SET1_   51368         3   51705191   51738339     14       4  1000     0.084539      0.43637   -3.0414e-06     0.084542
_SET1_   2272          3   59735036   61237133   5089     312  1000     -0.83979      0.83375   -3.0414e-06     -0.83979
_SET1_   84666         3  108474486  108476130      5       3  1000       3.7047   9.0896e-05   -3.0414e-06       3.7047
