# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 4.59408e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1131      1  239549876  240078750   1007      80  1000      0.34306       0.3964   -1.4239e-06      0.34306
_SET1_   4082      6  114178527  114184652      8       4  1000      0.84021      0.19604   -1.4239e-06      0.84021
_SET1_   9630      9   80037995   80263232    524      63  1000      0.15958      0.45501   -1.4239e-06      0.15958
_SET1_   2776      9   80335189   80646219    412      18  1000       1.1331       0.1241   -1.4239e-06       1.1331
_SET1_   5331     11   64018995   64036924     23       8  1000     -0.16866      0.56041   -1.4239e-06     -0.16866
_SET1_   5330     15   40576461   40600174     41       9  1000       1.1307      0.12425   -1.4239e-06       1.1307
_SET1_   5578     17   64298760   64806862   1352      84  1000       1.9222     0.033848   -1.4239e-06       1.9222
_SET1_   2767     19    3094408    3121468    122      17  1000       1.5285     0.060851   -1.4239e-06       1.5285
_SET1_   2769     19    3136191    3163766    154      21  1000      0.59917       0.2691   -1.4239e-06      0.59917
_SET1_   23236    20    8112912    8865547   2053     144  1000       2.4023     0.012273   -1.4239e-06       2.4023
