# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER (set)
# _SET1_  NGENES = 8
# _SET1_  P-VALUE = 7.44299e-07
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9372     1   52607678   52812358    129       7  1000     -0.14227      0.52979   -2.4625e-06     -0.14227
_SET1_   7048     3   30647994   30735634    246      37  1000      -0.4071      0.66544   -2.4625e-06     -0.40709
_SET1_   7046     9  101867412  101916474     60       5  1000      0.60961      0.25283   -2.4625e-06      0.60961
_SET1_   4088    15   67358036   67487533    317      43  1000       5.4575   1.5744e-14   -2.4625e-06       5.4575
_SET1_   4087    18   45359466   45457564    132       6  1000       4.2234   8.9248e-06   -2.4625e-06       4.2234
_SET1_   4089    18   48556583   48611412     36       3  1000     -0.13728      0.53155   -2.4625e-06     -0.13728
_SET1_   7040    19   41836812   41859831     32       7  1000       1.4466     0.070122   -2.4625e-06       1.4466
_SET1_   2280    20    1349621    1373816     46       8  1000     -0.40395      0.64503   -2.4625e-06     -0.40395

# _SET2_  VARIABLE = REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER (set)
# _SET2_  NGENES = 7
# _SET2_  P-VALUE = 1.0582e-07
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9372     1   52607678   52812358    129       7  1000     -0.14227      0.52979   -2.4625e-06     -0.14227
_SET2_   7048     3   30647994   30735634    246      37  1000      -0.4071      0.66544   -2.4625e-06     -0.40709
_SET2_   7046     9  101867412  101916474     60       5  1000      0.60961      0.25283   -2.4625e-06      0.60961
_SET2_   4088    15   67358036   67487533    317      43  1000       5.4575   1.5744e-14   -2.4625e-06       5.4575
_SET2_   4087    18   45359466   45457564    132       6  1000       4.2234   8.9248e-06   -2.4625e-06       4.2234
_SET2_   4089    18   48556583   48611412     36       3  1000     -0.13728      0.53155   -2.4625e-06     -0.13728
_SET2_   7040    19   41836812   41859831     32       7  1000       1.4466     0.070122   -2.4625e-06       1.4466
