# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = AMIT_EGF_RESPONSE_240_MCF10A (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 6.71127e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54707     1   27205872   27216869      8       2  1000      -1.2541      0.88784   -3.8687e-06      -1.2541
_SET1_   5724      1   28473677   28520447     29       4  1000      0.47795      0.30216   -3.8687e-06      0.47796
_SET1_   10678     2   62423262   62451866     39       7  1000     0.038302      0.47469   -3.8687e-06     0.038306
_SET1_   7039      2   70674412   70781147    291      30  1000     -0.21892      0.58214   -3.8687e-06     -0.21891
_SET1_   5099      4   30721951   31148423    940      46  1000      -1.2936       0.8975   -3.8687e-06      -1.2936
_SET1_   23657     4  139085248  139163572    158      15  1000     -0.53326      0.69247   -3.8687e-06     -0.53325
_SET1_   7280      6    3153900    3157783      5       2  1000        2.007     0.020234   -3.8687e-06        2.007
_SET1_   9590      6  151561134  151679694    437      51  1000       1.7051     0.044613   -3.8687e-06       1.7051
_SET1_   9263      7   43622692   43666978    132       9  1000      0.11334      0.44025   -3.8687e-06      0.11335
_SET1_   3638      7  155089486  155101945     39       7  1000      0.68169      0.23771   -3.8687e-06       0.6817
_SET1_   1846      8   29190579   29208267     37       8  1000        2.117      0.01615   -3.8687e-06        2.117
_SET1_   5328     10   75670862   75677259     10       2  1000     -0.30122      0.60022   -3.8687e-06     -0.30121
_SET1_   9645     11   12132138   12285335    548      56  1000       0.4311      0.33564   -3.8687e-06       0.4311
_SET1_   5744     12   28111017   28125664     42       8  1000       1.1477      0.11991   -3.8687e-06       1.1477
_SET1_   8835     12   93963598   93970521      9       2  1000      0.71061      0.22592   -3.8687e-06      0.71061
_SET1_   30844    15   42191638   42264755    152      22  1000     -0.31357      0.61733   -3.8687e-06     -0.31356
_SET1_   2553     15   50569389   50647605    167       8  1000      -1.0614      0.84516   -3.8687e-06      -1.0614
_SET1_   51330    16    3070313    3072384      3       1  1000        1.661     0.043295   -3.8687e-06        1.661
_SET1_   9709     16   56965974   56977793     29       5  1000     -0.42505      0.65084   -3.8687e-06     -0.42505
_SET1_   650      20    6748745    6760910     20       5  1000       1.6825      0.04297   -3.8687e-06       1.6825
_SET1_   6453     21   35014706   35261609    307      36  1000      0.52206      0.29901   -3.8687e-06      0.52207
