# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NABA_MATRISOME (set)
# _SET1_  NGENES = 967
# _SET1_  P-VALUE = 3.24403e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     955503     991499    104      11  1000       1.6606     0.046394    -6.163e-06       1.6606
_SET1_   64856         1    1370903    1378262     16       4  1000     0.079908      0.46551    -6.163e-06     0.079914
_SET1_   1953          1    3404506    3528059    391      60  1000     -0.27495       0.6263    -6.163e-06     -0.27495
_SET1_   10747         1   11086580   11107296     55       6  1000     0.087294      0.45692    -6.163e-06       0.0873
_SET1_   10218         1   11249346   11256038     11       1  1000      0.78357      0.21119    -6.163e-06      0.78358
_SET1_   5351          1   11994724   12035599    102      10  1000      -1.0379      0.84515    -6.163e-06      -1.0379
_SET1_   63036         1   15783223   15798586     54       7  1000      0.95877      0.16403    -6.163e-06      0.95877
_SET1_   51032         1   15802596   15817895     34       4  1000       0.3497      0.35576    -6.163e-06      0.34971
_SET1_   11223         1   17081129   17090975     13       7  1000      0.77226      0.22047    -6.163e-06      0.77226
_SET1_   4237          1   17300997   17308081     14       3  1000     -0.23737       0.5895    -6.163e-06     -0.23736
_SET1_   127731        1   20617412   20681662    163      17  1000    -0.060947      0.51787    -6.163e-06    -0.060941
_SET1_   3339          1   22148737   22263750    219      26  1000     -0.36704       0.6419    -6.163e-06     -0.36703
_SET1_   23436         1   22303418   22315847    165      19  1000     -0.17916      0.56646    -6.163e-06     -0.17915
_SET1_   10136         1   22328149   22339035     74      12  1000      0.19042      0.41942    -6.163e-06      0.19043
_SET1_   54361         1   22443798   22470474     54       8  1000     -0.35129      0.63106    -6.163e-06     -0.35129
_SET1_   712           1   22963118   22966175      3       1  1000     -0.47021      0.68315    -6.163e-06     -0.47021
_SET1_   714           1   22969969   22974603     21       4  1000       0.1538      0.43391    -6.163e-06      0.15381
_SET1_   713           1   22979682   22988130     26       6  1000      0.14909      0.43675    -6.163e-06      0.14909
_SET1_   8547          1   27695601   27701315      7       3  1000       0.7137      0.23864    -6.163e-06      0.71371
_SET1_   4146          1   31184124   31196432     34       4  1000      0.33797      0.35969    -6.163e-06      0.33798
_SET1_   9672          1   31342313   31381480     72      18  1000     -0.81849      0.79292    -6.163e-06     -0.81848
_SET1_   64129         1   32042086   32053290     13       6  1000       1.7762     0.037907    -6.163e-06       1.7762
_SET1_   1307          1   32117848   32169768     73      12  1000       1.1798       0.1162    -6.163e-06       1.1798
_SET1_   1296          1   36560840   36591305     65      10  1000     -0.77085      0.77511    -6.163e-06     -0.77084
_SET1_   284654        1   38076821   38100595     38       7  1000    -0.053541      0.51569    -6.163e-06    -0.053534
_SET1_   353500        1   39957318   39995541     86      16  1000      -0.1784      0.56792    -6.163e-06     -0.17839
_SET1_   656           1   40223903   40254533     77      11  1000      0.29135      0.37902    -6.163e-06      0.29136
_SET1_   1298          1   40766162   40782939     49       9  1000       2.4341    0.0071932    -6.163e-06       2.4341
_SET1_   64175         1   43212006   43232755     29       6  1000      -1.0254      0.84464    -6.163e-06      -1.0254
_SET1_   9048          1   44398992   44402912      9       3  1000       1.1929      0.11634    -6.163e-06       1.1929
_SET1_   127435        1   53527724   53551174    103      11  1000     -0.27259      0.59943    -6.163e-06     -0.27259
_SET1_   200008        1   54604668   54618679     48       9  1000      0.38739      0.34467    -6.163e-06      0.38739
_SET1_   10022         1   67263424   67266942      7       2  1000      -0.3146      0.62343    -6.163e-06     -0.31459
_SET1_   3491          1   86046444   86049650      3       1  1000     -0.35617      0.64106    -6.163e-06     -0.35617
_SET1_   255631        1   86194916   86622121   1292      49  1000     0.040378        0.488    -6.163e-06     0.040385
_SET1_   1301          1  103342023  103574052    682      27  1000      0.03613      0.47832    -6.163e-06     0.036136
_SET1_   22854         1  107682540  108024477    581      67  1000     -0.74917       0.7887    -6.163e-06     -0.74916
_SET1_   163479        1  109255556  109285371     61      12  1000      0.57888      0.27745    -6.163e-06      0.57889
_SET1_   1435          1  110453233  110473616     35       9  1000     -0.20855       0.5797    -6.163e-06     -0.20854
_SET1_   5016          1  111956937  111970399     41       6  1000      -1.1588      0.87319    -6.163e-06      -1.1588
_SET1_   7482          1  113010040  113063910    107      18  1000      0.41955      0.33461    -6.163e-06      0.41956
_SET1_   4803          1  115828537  115880857    125      21  1000      0.29029      0.38418    -6.163e-06       0.2903
_SET1_   83998         1  120336641  120354203     52       8  1000      -0.5464      0.70156    -6.163e-06     -0.54639
_SET1_   11085         1  120436156  120439147      4       1  1000      0.84053      0.20142    -6.163e-06      0.84054
_SET1_   1893          1  150480487  150486265      9       3  1000      0.33729      0.36696    -6.163e-06       0.3373
_SET1_   54507         1  150521846  150533413     18       8  1000      -1.4588      0.92772    -6.163e-06      -1.4588
_SET1_   1520          1  150702672  150738433     42       4  1000      0.75336      0.21845    -6.163e-06      0.75337
_SET1_   1513          1  150768684  150780917      9       3  1000      0.49761      0.30852    -6.163e-06      0.49762
_SET1_   8416          1  150954499  150968114     23       7  1000      0.88908      0.18515    -6.163e-06      0.88908
_SET1_   10500         1  151104161  151119146     27       5  1000     -0.94617      0.82483    -6.163e-06     -0.94617
_SET1_   6281          1  151955386  151966714     12       3  1000      0.63712      0.25995    -6.163e-06      0.63713
_SET1_   6282          1  152004982  152009511      5       1  1000     -0.45122      0.67405    -6.163e-06     -0.45121
_SET1_   7062          1  152078793  152087930      4       1  1000       1.4034     0.080386    -6.163e-06       1.4034
_SET1_   126638        1  152126071  152131704      5       2  1000       1.2261      0.11098    -6.163e-06       1.2261
_SET1_   388697        1  152184552  152196672     50       3  1000       1.6179     0.049828    -6.163e-06       1.6179
_SET1_   2312          1  152274651  152297679     79       5  1000       1.4984     0.063366    -6.163e-06       1.4984
_SET1_   388698        1  152321213  152332482     22       4  1000       2.1304     0.016088    -6.163e-06       2.1304
_SET1_   49860         1  152381719  152386750      9       3  1000       1.2355      0.10821    -6.163e-06       1.2355
_SET1_   6280          1  153330330  153333503      1       1  1000      0.56001       0.2958    -6.163e-06      0.56002
_SET1_   6283          1  153346184  153348075      1       1  1000     -0.33354       0.6402    -6.163e-06     -0.33354
_SET1_   6279          1  153362508  153395054     17       3  1000     -0.41696       0.6577    -6.163e-06     -0.41696
_SET1_   338324        1  153389000  153395701     16       3  1000     -0.42375      0.66024    -6.163e-06     -0.42374
_SET1_   645922        1  153409471  153412503      6       2  1000     0.027813      0.48972    -6.163e-06      0.02782
_SET1_   6278          1  153430220  153436559      5       2  1000      0.10966       0.4584    -6.163e-06      0.10967
_SET1_   6277          1  153507076  153508717      2       1  1000    -0.088717      0.54076    -6.163e-06    -0.088711
_SET1_   6276          1  153509623  153515772      6       2  1000     -0.83255      0.79786    -6.163e-06     -0.83254
_SET1_   6275          1  153516095  153518282      3       1  1000      0.65709      0.25682    -6.163e-06       0.6571
_SET1_   6274          1  153519805  153521734     16       1  1000      0.85083      0.19149    -6.163e-06      0.85084
_SET1_   6273          1  153533584  153538306      4       1  1000      0.32336      0.37302    -6.163e-06      0.32336
_SET1_   140576        1  153579362  153585514      9       2  1000      -1.3087       0.9035    -6.163e-06      -1.3087
_SET1_   57402         1  153586731  153588808      5       1  1000     -0.74817      0.77154    -6.163e-06     -0.74817
_SET1_   6284          1  153591275  153606582     23       2  1000      -1.0357      0.84446    -6.163e-06      -1.0357
_SET1_   6271          1  153600873  153604513      5       1  1000     -0.88805      0.81172    -6.163e-06     -0.88805
_SET1_   8751          1  155023748  155035252     16       5  1000      -0.6525      0.74112    -6.163e-06      -0.6525
_SET1_   4582          1  155158300  155162768      2       1  1000     -0.65373      0.74663    -6.163e-06     -0.65373
_SET1_   7059          1  155165379  155177772     10       2  1000      0.29084      0.38229    -6.163e-06      0.29084
_SET1_   64218         1  156117145  156147542     42       7  1000    -0.068864      0.52107    -6.163e-06    -0.068858
_SET1_   60484         1  156589085  156595517      8       2  1000      0.65349      0.25572    -6.163e-06       0.6535
_SET1_   63827         1  156611740  156629324     21       4  1000      0.12819      0.44355    -6.163e-06       0.1282
_SET1_   55600         1  160846330  160854960     36       2  1000     -0.99157      0.83261    -6.163e-06     -0.99156
_SET1_   142683        1  160914810  160924589     18       3  1000     -0.28317      0.60611    -6.163e-06     -0.28317
_SET1_   9507          1  161159538  161168845     10       3  1000     0.082584      0.46549    -6.163e-06      0.08259
_SET1_   6846          1  168510003  168513235     19       5  1000        1.714     0.042602    -6.163e-06        1.714
_SET1_   6375          1  168545711  168551315     23       4  1000     -0.29308       0.6099    -6.163e-06     -0.29307
_SET1_   1805          1  168664695  168698442    119      16  1000     -0.95808      0.82754    -6.163e-06     -0.95807
_SET1_   356           1  172628185  172636013      7       3  1000      0.49051      0.31234    -6.163e-06      0.49052
_SET1_   8995          1  173010360  173020103     20       3  1000      0.15885      0.43128    -6.163e-06      0.15886
_SET1_   7292          1  173152870  173176471     45       6  1000     -0.39132      0.64557    -6.163e-06     -0.39132
_SET1_   462           1  173872938  173886516     23       4  1000      0.55816      0.28416    -6.163e-06      0.55816
_SET1_   63923         1  175036994  175117202    268      20  1000      0.38164      0.34419    -6.163e-06      0.38165
_SET1_   7143          1  175291935  175712752   1000      91  1000      0.32673       0.4045    -6.163e-06      0.32673
_SET1_   60676         1  176432307  176814737    639      30  1000    -0.029199      0.50658    -6.163e-06    -0.029193
_SET1_   57795         1  177140058  177251558    148      17  1000       1.1891      0.11422    -6.163e-06       1.1891
_SET1_   9068          1  178818670  178840215     17       4  1000      0.45402      0.32155    -6.163e-06      0.45403
_SET1_   9917          1  178994939  179045702    140      13  1000      0.31017      0.36994    -6.163e-06      0.31018
_SET1_   3915          1  182992572  183114727    395       8  1000     -0.60359      0.71016    -6.163e-06     -0.60359
_SET1_   3918          1  183147952  183214262    191      14  1000       -1.163      0.87256    -6.163e-06       -1.163
_SET1_   83872         1  185703683  186160085    669      29  1000     -0.85483      0.79959    -6.163e-06     -0.85483
_SET1_   10216         1  186265405  186283688     33       5  1000     -0.46227       0.6723    -6.163e-06     -0.46226
_SET1_   339479        1  190066792  190447534    558      23  1000      0.12126      0.44211    -6.163e-06      0.12127
_SET1_   2165          1  197007877  197036568     46       5  1000      -1.1529      0.87088    -6.163e-06      -1.1529
_SET1_   2331          1  203309749  203320557     29       7  1000     -0.16846      0.56349    -6.163e-06     -0.16846
_SET1_   5549          1  203444883  203460480     37       6  1000      0.18338      0.42105    -6.163e-06      0.18339
_SET1_   26254         1  203463271  203478077     46       8  1000     -0.16579      0.56012    -6.163e-06     -0.16578
_SET1_   1510          1  206317459  206332104     21       3  1000        1.395     0.079397    -6.163e-06        1.395
_SET1_   3586          1  206940948  206945839     13       3  1000      0.62845      0.26217    -6.163e-06      0.62846
_SET1_   29949         1  206972215  207016326     91      12  1000      -1.6704       0.9509    -6.163e-06      -1.6704
_SET1_   50604         1  207038699  207042568      4       2  1000     -0.65163      0.74542    -6.163e-06     -0.65162
_SET1_   11009         1  207070630  207077484     13       3  1000      0.45416      0.32181    -6.163e-06      0.45417
_SET1_   5362          1  208195587  208417665    500      49  1000     -0.18669      0.58323    -6.163e-06     -0.18669
_SET1_   3914          1  209788215  209825820    126      18  1000       1.0389       0.1472    -6.163e-06       1.0389
_SET1_   7399          1  215796236  216596738   1534     105  1000       0.4762      0.35436    -6.163e-06      0.47621
_SET1_   7042          1  218518676  218617961    168      27  1000       1.1311      0.12946    -6.163e-06       1.1311
_SET1_   10637         1  226073982  226076846     16       3  1000      -1.0882      0.85952    -6.163e-06      -1.0882
_SET1_   7044          1  226124298  226129083      5       2  1000      0.55439      0.29134    -6.163e-06       0.5544
_SET1_   7483          1  228109165  228135676     57       5  1000      0.16759      0.42308    -6.163e-06       0.1676
_SET1_   89780         1  228194723  228248972     87      10  1000       1.2132      0.10886    -6.163e-06       1.2132
_SET1_   183           1  230838269  230850336     40       6  1000     -0.41288      0.65393    -6.163e-06     -0.41287
