# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = TURJANSKI_MAPK1_AND_MAPK2_TARGETS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.67708e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2005       1  205577071  205602971     34       5  1000       2.0014     0.022115   -1.1854e-06       2.0014
_SET1_   4086       4  146402951  146480328     99      10  1000     0.074915      0.46416   -1.1854e-06     0.074917
_SET1_   4602       6  135502453  135540311     53       7  1000      0.42186      0.31768   -1.1854e-06      0.42187
_SET1_   4609       8  128748315  128753680     11       3  1000      -0.5726      0.72286   -1.1854e-06      -0.5726
_SET1_   389692     8  144510230  144512602      2       1  1000     -0.38354      0.64089   -1.1854e-06     -0.38354
_SET1_   6667      12   53773979   53810230     66       6  1000       0.5946      0.26529   -1.1854e-06       0.5946
_SET1_   2353      14   75745477   75748937      6       2  1000      0.49622       0.3023   -1.1854e-06      0.49622
_SET1_   4088      15   67358036   67487533    317      43  1000       2.9313    0.0018842   -1.1854e-06       2.9313
_SET1_   7157      17    7571720    7590868     39       8  1000      -1.2334       0.8913   -1.1854e-06      -1.2334
_SET1_   4087      18   45359466   45457564    132       6  1000       4.9971   1.7234e-07   -1.1854e-06       4.9971
_SET1_   4089      18   48556583   48611412     36       3  1000      0.69844      0.21729   -1.1854e-06      0.69845

# _SET2_  VARIABLE = REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER (set)
# _SET2_  NGENES = 8
# _SET2_  P-VALUE = 7.4281e-07
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9372     1   52607678   52812358    129       7  1000        2.435    0.0069221   -1.1854e-06        2.435
_SET2_   7048     3   30647994   30735634    246      37  1000      0.34567      0.37589   -1.1854e-06      0.34568
_SET2_   7046     9  101867412  101916474     60       5  1000      0.74522      0.21463   -1.1854e-06      0.74522
_SET2_   4088    15   67358036   67487533    317      43  1000       2.9313    0.0018842   -1.1854e-06       2.9313
_SET2_   4087    18   45359466   45457564    132       6  1000       4.9971   1.7234e-07   -1.1854e-06       4.9971
_SET2_   4089    18   48556583   48611412     36       3  1000      0.69844      0.21729   -1.1854e-06      0.69845
_SET2_   7040    19   41836812   41859831     32       7  1000       1.2392      0.10031   -1.1854e-06       1.2392
_SET2_   2280    20    1349621    1373816     46       8  1000       3.0117    0.0011873   -1.1854e-06       3.0117

# _SET3_  VARIABLE = REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION (set)
# _SET3_  NGENES = 5
# _SET3_  P-VALUE = 8.3486e-06
_SET3_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   864       1   25226002   25291648    109      20  1000      0.30138       0.3778   -1.1854e-06      0.30138
_SET3_   10018     2  111878491  111926022     59       7  1000     -0.73516      0.74943   -1.1854e-06     -0.73516
_SET3_   2309      6  108881026  109005972    120      11  1000       3.6293   0.00012233   -1.1854e-06       3.6293
_SET3_   4088     15   67358036   67487533    317      43  1000       2.9313    0.0018842   -1.1854e-06       2.9313
_SET3_   4089     18   48556583   48611412     36       3  1000      0.69844      0.21729   -1.1854e-06      0.69845

# _SET4_  VARIABLE = REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES (set)
# _SET4_  NGENES = 15
# _SET4_  P-VALUE = 5.9657e-06
_SET4_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET4_   1647      1   68150860   68154021      7       2  1000     0.048347       0.4664   -1.1854e-06     0.048349
_SET4_   2660      2  190920426  190927455     13       2  1000     -0.58021      0.71838   -1.1854e-06     -0.58021
_SET4_   57060     3   51991470   52001482      4       2  1000       0.4465      0.33695   -1.1854e-06       0.4465
_SET4_   901       4   78078357   78091213     16       4  1000     -0.26384      0.59378   -1.1854e-06     -0.26384
_SET4_   1026      6   36644237   36655116     32       7  1000       1.0543      0.14027   -1.1854e-06       1.0543
_SET4_   2309      6  108881026  109005972    120      11  1000       3.6293   0.00012233   -1.1854e-06       3.6293
_SET4_   857       7  116164839  116201239     83       9  1000    -0.048172      0.50557   -1.1854e-06    -0.048171
_SET4_   9314      9  110247133  110252047      3       1  1000     -0.59749       0.7303   -1.1854e-06     -0.59749
_SET4_   1027     12   12870302   12875305      6       3  1000     -0.24898      0.58326   -1.1854e-06     -0.24898
_SET4_   694      12   92534054   92539673      9       4  1000       1.5567     0.058589   -1.1854e-06       1.5567
_SET4_   2308     13   41129801   41240734    182      10  1000     -0.42678       0.6419   -1.1854e-06     -0.42678
_SET4_   4088     15   67358036   67487533    317      43  1000       2.9313    0.0018842   -1.1854e-06       2.9313
_SET4_   5934     16   53468351   53525560     95       6  1000      0.67178      0.22465   -1.1854e-06      0.67179
_SET4_   4087     18   45359466   45457564    132       6  1000       4.9971   1.7234e-07   -1.1854e-06       4.9971
_SET4_   4089     18   48556583   48611412     36       3  1000      0.69844      0.21729   -1.1854e-06      0.69845
