# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WHITE_NEUROBLASTOMA_WITH_1P36.3_DELETION (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 4.6956e-06
_SET1_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55966      1  4715105  4843851    499      76  1000     -0.97913      0.84989   -6.3192e-06     -0.97912
_SET1_   8514       1  6052358  6161253    240      40  1000       2.3826    0.0087628   -6.3192e-06       2.3826
_SET1_   26038      1  6161847  6240194    263      25  1000       2.4071    0.0072823   -6.3192e-06       2.4071
_SET1_   6146       1  6245080  6259679     30       5  1000      0.72884      0.21537   -6.3192e-06      0.72884
_SET1_   388591     1  6266189  6281359     31       4  1000       1.3015     0.085021   -6.3192e-06       1.3015
_SET1_   23463      1  6281253  6296044     20       4  1000       2.3551    0.0078273   -6.3192e-06       2.3551
_SET1_   387509     1  6307406  6321035     32       2  1000      0.92749      0.15835   -6.3192e-06       0.9275
_SET1_   11332      1  6324332  6453826    324      17  1000       3.8892   3.6609e-05   -6.3192e-06       3.8892
_SET1_   54626      1  6475292  6484724     25       4  1000       2.5094    0.0050319   -6.3192e-06       2.5094
_SET1_   83715      1  6484836  6521004     95      10  1000         2.78    0.0022439   -6.3192e-06         2.78
_SET1_   8718       1  6520787  6527432     17       5  1000       3.1507   0.00067693   -6.3192e-06       3.1507
_SET1_   57449      1  6526152  6580121    128      22  1000       4.8068   6.7286e-07   -6.3192e-06       4.8068
_SET1_   79707      1  6581407  6614658    106       2  1000       2.9071    0.0012945   -6.3192e-06       2.9071
_SET1_   80835      1  6614987  6639817     51       9  1000        4.344   5.6087e-06   -6.3192e-06        4.344
_SET1_   3104       1  6640051  6649340      3       1  1000       1.3495     0.080737   -6.3192e-06       1.3495
_SET1_   9903       1  6650784  6662958     16       3  1000       1.2618     0.094774   -6.3192e-06       1.2618
_SET1_   148479     1  6673756  6684093     16       3  1000      0.51566      0.28596   -6.3192e-06      0.51567
_SET1_   55735      1  6694228  6761966    104       8  1000   -0.0068871      0.47999   -6.3192e-06   -0.0068808
_SET1_   23261      1  6845384  7829766   2248     185  1000       2.9234    0.0018337   -6.3192e-06       2.9234

# _SET2_  VARIABLE = OKAWA_NEUROBLASTOMA_1P36_31_DELETION (set)
# _SET2_  NGENES = 22
# _SET2_  P-VALUE = 3.3853e-09
_SET2_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   55966      1  4715105  4843851    499      76  1000     -0.97913      0.84989   -6.3192e-06     -0.97912
_SET2_   261734     1  5922870  6052618    317      13  1000      0.44337      0.30126   -6.3192e-06      0.44338
_SET2_   8514       1  6052358  6161253    240      40  1000       2.3826    0.0087628   -6.3192e-06       2.3826
_SET2_   26038      1  6161847  6240194    263      25  1000       2.4071    0.0072823   -6.3192e-06       2.4071
_SET2_   6146       1  6245080  6259679     30       5  1000      0.72884      0.21537   -6.3192e-06      0.72884
_SET2_   388591     1  6266189  6281359     31       4  1000       1.3015     0.085021   -6.3192e-06       1.3015
_SET2_   23463      1  6281253  6296044     20       4  1000       2.3551    0.0078273   -6.3192e-06       2.3551
_SET2_   390992     1  6304252  6305638      3       1  1000       1.5017     0.060578   -6.3192e-06       1.5017
_SET2_   387509     1  6307406  6321035     32       2  1000      0.92749      0.15835   -6.3192e-06       0.9275
_SET2_   11332      1  6324332  6453826    324      17  1000       3.8892   3.6609e-05   -6.3192e-06       3.8892
_SET2_   54626      1  6475292  6484724     25       4  1000       2.5094    0.0050319   -6.3192e-06       2.5094
_SET2_   83715      1  6484836  6521004     95      10  1000         2.78    0.0022439   -6.3192e-06         2.78
_SET2_   8718       1  6520787  6527432     17       5  1000       3.1507   0.00067693   -6.3192e-06       3.1507
_SET2_   57449      1  6526152  6580121    128      22  1000       4.8068   6.7286e-07   -6.3192e-06       4.8068
_SET2_   79707      1  6581407  6614658    106       2  1000       2.9071    0.0012945   -6.3192e-06       2.9071
_SET2_   80835      1  6614987  6639817     51       9  1000        4.344   5.6087e-06   -6.3192e-06        4.344
_SET2_   3104       1  6640051  6649340      3       1  1000       1.3495     0.080737   -6.3192e-06       1.3495
_SET2_   9903       1  6650784  6662958     16       3  1000       1.2618     0.094774   -6.3192e-06       1.2618
_SET2_   148479     1  6673756  6684093     16       3  1000      0.51566      0.28596   -6.3192e-06      0.51567
_SET2_   90326      1  6684925  6695646     22       3  1000       0.5071      0.28692   -6.3192e-06      0.50711
_SET2_   55735      1  6694228  6761966    104       8  1000   -0.0068871      0.47999   -6.3192e-06   -0.0068808
_SET2_   23261      1  6845384  7829766   2248     185  1000       2.9234    0.0018337   -6.3192e-06       2.9234
