# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_8P12_P11_AMPLICON (set)
# _SET1_  NGENES = 55
# _SET1_  P-VALUE = 2.79564e-09
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   137970     8  35092975  35654068    905      39  1000      0.56112      0.27109   -3.2456e-06      0.56112
_SET1_   11160      8  37593743  37615319      1       1  1000         1.16       0.1255   -3.2456e-06         1.16
_SET1_   11212      8  37619680  37637286      7       3  1000       3.1011   0.00093013   -3.2456e-06       3.1011
_SET1_   25960      8  37654401  37701504     74      18  1000       1.9712     0.023475   -3.2456e-06       1.9712
_SET1_   55290      8  37701398  37707431      9       2  1000      0.25522      0.39715   -3.2456e-06      0.25523
_SET1_   80223      8  37716465  37757015     21       6  1000       2.1456     0.015475   -3.2456e-06       2.1456
_SET1_   137362     8  37791799  37797664      6       1  1000       1.1676       0.1213   -3.2456e-06       1.1676
_SET1_   155        8  37820513  37824184      4       1  1000       2.3162    0.0099031   -3.2456e-06       2.3162
_SET1_   1978       8  37888020  37917883     25       4  1000       1.2984     0.092383   -3.2456e-06       1.2984
_SET1_   9070       8  37962483  37997598     34       3  1000       1.0964      0.12604   -3.2456e-06       1.0964
_SET1_   6770       8  38000218  38008783      6       2  1000       1.4091      0.07656   -3.2456e-06       1.4091
_SET1_   27257      8  38020839  38034248     19       4  1000     -0.64794      0.73507   -3.2456e-06     -0.64794
_SET1_   9530       8  38034106  38070819     44       1  1000     -0.88067      0.79822   -3.2456e-06     -0.88067
_SET1_   23259      8  38088861  38120351     18       1  1000      0.18901       0.4142   -3.2456e-06      0.18902
_SET1_   84513      8  38119035  38126841      4       1  1000      0.67057      0.25172   -3.2456e-06      0.67057
_SET1_   54904      8  38127217  38239872     88       3  1000      0.44294      0.31021   -3.2456e-06      0.44294
_SET1_   137994     8  38240041  38267045     24       2  1000      0.52019      0.29132   -3.2456e-06       0.5202
_SET1_   2260       8  38268656  38326352     64      10  1000      0.73752      0.22282   -3.2456e-06      0.73752
_SET1_   389649     8  38368352  38386180     53       6  1000        1.178      0.11134   -3.2456e-06        1.178
_SET1_   6867       8  38585704  38710546    181      16  1000      0.11379      0.44082   -3.2456e-06      0.11379
_SET1_   59339      8  38758753  38831431    179      38  1000       0.8444      0.20155   -3.2456e-06       0.8444
_SET1_   203100     8  38831668  38846181     35       4  1000      0.29855        0.374   -3.2456e-06      0.29855
_SET1_   83877      8  38846327  38854335     14       2  1000      0.51346      0.30015   -3.2456e-06      0.51346
_SET1_   8754       8  38854505  38962780    168      13  1000       1.3254     0.086336   -3.2456e-06       1.3254
_SET1_   203102     8  38965050  39142436    381      16  1000       1.2801     0.090646   -3.2456e-06       1.2801
_SET1_   8749       8  39442087  39587583    196      17  1000       2.5192    0.0053085   -3.2456e-06       2.5192
_SET1_   2515       8  39601254  39695808    145      13  1000       1.3765      0.07948   -3.2456e-06       1.3765
_SET1_   3620       8  39771328  39786309     15       6  1000       3.1873   0.00069512   -3.2456e-06       3.1873
_SET1_   169355     8  39792474  39873910    366      29  1000      0.85393      0.18907   -3.2456e-06      0.85393
_SET1_   56892      8  40010987  40012827      2       1  1000       0.6556      0.26136   -3.2456e-06      0.65561
