# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DASU_IL6_SIGNALING_UP (set)
# _SET1_  NGENES = 57
# _SET1_  P-VALUE = 4.3391e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790     1     955503     991499    104      11  1000     -0.20377      0.56127   -4.1949e-06     -0.20377
_SET1_   10630      1   13910252   13944452     86      20  1000      0.26471      0.37835   -4.1949e-06      0.26471
_SET1_   1307       1   32117848   32169768     73      12  1000      0.67001      0.23567   -4.1949e-06      0.67002
_SET1_   10712      1  155216996  155225274     19       1  1000    -0.081827      0.50966   -4.1949e-06    -0.081823
_SET1_   23179      1  183605208  183897666    747      41  1000      0.58501      0.26702   -4.1949e-06      0.58501
_SET1_   11117      2   27301435   27309271      3       1  1000      0.70538      0.22377   -4.1949e-06      0.70538
_SET1_   678        2   43449541   43453745      5       2  1000      0.55112       0.2734   -4.1949e-06      0.55112
_SET1_   7130       2  152214106  152236562     42       3  1000     -0.39862      0.63441   -4.1949e-06     -0.39861
_SET1_   25907      3   45265956   45267814      4       1  1000      0.59736       0.2574   -4.1949e-06      0.59737
_SET1_   961        3  107761941  107809935     57       8  1000     0.064639      0.45353   -4.1949e-06     0.064643
_SET1_   3576       4   74606223   74609433      4       1  1000    -0.014114      0.48377   -4.1949e-06     -0.01411
_SET1_   2921       4   74902306   74904490      3       2  1000       0.8772       0.1776   -4.1949e-06       0.8772
_SET1_   6659       6   21593972   21598850      3       2  1000        1.807     0.031523   -4.1949e-06        1.807
_SET1_   8334       6   26124370   26139337     42       7  1000        1.089      0.12691   -4.1949e-06        1.089
_SET1_   3134       6   29691117   29695073     24       4  1000      0.62816      0.24834   -4.1949e-06      0.62817
_SET1_   8870       6   30710976   30712327      3       1  1000     -0.15823       0.5457   -4.1949e-06     -0.15823
_SET1_   3303       6   31782952   31785719      4       2  1000      0.77171      0.20494   -4.1949e-06      0.77172
