# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HU_GENOTOXIC_DAMAGE_4HR (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 6.24455e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23154      1   36023311   36032380     12       3  1000       1.4424     0.081543   -1.5765e-06       1.4424
_SET1_   991        1   43824626   43828874      3       2  1000     -0.54515      0.69459   -1.5765e-06     -0.54515
_SET1_   23381      1  156219015  156252676     68       6  1000     -0.55319      0.69468   -1.5765e-06     -0.55319
_SET1_   4751       1  211831598  211848972     28       7  1000       1.5534     0.059716   -1.5765e-06       1.5534
_SET1_   10797      2   74425690   74442425     28       6  1000       1.4565     0.069001   -1.5765e-06       1.4565
_SET1_   699        2  111395275  111435684     17       1  1000        1.233      0.11247   -1.5765e-06        1.233
_SET1_   211        3   52232099   52248343     14       2  1000      0.27348      0.36402   -1.5765e-06      0.27348
_SET1_   1894       3  172468425  172539264    114       9  1000      0.45492      0.31736   -1.5765e-06      0.45492
_SET1_   995        5  137620959  137674064     85       7  1000    -0.022653       0.4949   -1.5765e-06    -0.022651
_SET1_   9232       5  159848865  159855747     19       5  1000      0.74906      0.22757   -1.5765e-06      0.74907
_SET1_   8354       6   27839623   27840099      1       1  1000       1.2503       0.1026   -1.5765e-06       1.2503
_SET1_   3105       6   29910247   29913661    171      23  1000      0.97679      0.16871   -1.5765e-06      0.97679
_SET1_   6941       6   31126303   31134183     41       7  1000       0.1197      0.44457   -1.5765e-06       0.1197
_SET1_   10492      6   86317502   86353568     37       5  1000      0.31693       0.3643   -1.5765e-06      0.31693
_SET1_   54443      7   36429415   36493400    138      18  1000        1.296     0.098347   -1.5765e-06        1.296
_SET1_   7589       7   99647390   99662663     16       2  1000      0.73792      0.21114   -1.5765e-06      0.73792
_SET1_   5001       7  103766788  103848495    252      14  1000       1.3136     0.091665   -1.5765e-06       1.3136
_SET1_   8454       7  148395631  148498202    182      14  1000     -0.35018       0.6283   -1.5765e-06     -0.35018
_SET1_   1164       9   91926113   91931618      5       2  1000     -0.14923      0.55594   -1.5765e-06     -0.14923
_SET1_   83549      9  134399183  134406662     13       4  1000     0.071291      0.46512   -1.5765e-06     0.071293
_SET1_   143684    11   95502106   95522954     52       6  1000      0.73355      0.22117   -1.5765e-06      0.73355
_SET1_   3014      11  118964580  118966177      3       1  1000      0.45834      0.29743   -1.5765e-06      0.45834
_SET1_   3695      12   53585102   53601065     18       6  1000      0.78418      0.22663   -1.5765e-06      0.78418
_SET1_   10906     12  112563349  112591408     20       3  1000     -0.46127      0.68425   -1.5765e-06     -0.46127
_SET1_   9055      15   91509268   91537881     88       9  1000     -0.46441      0.67664   -1.5765e-06     -0.46441
_SET1_   3835      16   29801383   29816706      1       1  1000      0.77701       0.1972   -1.5765e-06      0.77701
_SET1_   81620     16   88870186   88875666     13       3  1000     -0.22353      0.58262   -1.5765e-06     -0.22352
_SET1_   3838      17   66031848   66042970     27       3  1000      0.76607      0.21152   -1.5765e-06      0.76607
_SET1_   7077      17   76849059   76921472    252      23  1000    -0.086528      0.53907   -1.5765e-06    -0.086526
_SET1_   149951    20   31290493   31331814    128       7  1000      0.99819      0.14901   -1.5765e-06      0.99819
_SET1_   22919     20   31407699   31438211     36       5  1000     -0.69124      0.74217   -1.5765e-06     -0.69124
_SET1_   6790      20   54944445   54967351     29       9  1000     -0.54784      0.70905   -1.5765e-06     -0.54783
_SET1_   3455      21   34602231   34636831     83       7  1000     -0.34078      0.61789   -1.5765e-06     -0.34078
