# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SABATES_COLORECTAL_ADENOMA_SIZE_UP (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 1.36732e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1677       1    3773845    3801993    157      20  1000     -0.60135      0.71307   -4.1564e-06     -0.60134
_SET1_   90874      1  120162000  120190813     49       7  1000     -0.88522      0.80071   -4.1564e-06     -0.88521
_SET1_   89866      1  177892825  177939188    135      24  1000      0.89395      0.17723   -4.1564e-06      0.89395
_SET1_   4194       1  204485507  204596131    130       8  1000     -0.30951      0.60172   -4.1564e-06      -0.3095
_SET1_   130872     2   61404553   61415240     14       3  1000       1.0686      0.13431   -4.1564e-06       1.0686
_SET1_   6574       2  113403434  113421402     22       3  1000     -0.44405      0.65613   -4.1564e-06     -0.44405
_SET1_   51776      2  173940440  174132737    358      27  1000       2.7057    0.0029493   -4.1564e-06       2.7057
_SET1_   604        3  187439165  187463513     56       9  1000      0.90926      0.17135   -4.1564e-06      0.90926
_SET1_   85409      5    1008941    1038927    112      17  1000      0.65111      0.24553   -4.1564e-06      0.65111
_SET1_   441168     6  116782533  116784948      5       2  1000      -0.2528      0.58744   -4.1564e-06     -0.25279
_SET1_   26233      8  145579088  145582183      4       1  1000    -0.051889      0.50668   -4.1564e-06    -0.051885
_SET1_   9684       8  145743349  145750562     12       4  1000        1.202      0.10837   -4.1564e-06        1.202
_SET1_   80162     11     288480     297511     23       6  1000      -1.5253      0.93189   -4.1564e-06      -1.5253
_SET1_   170959    19   21324813   21371070     70       7  1000      0.21098      0.39875   -4.1564e-06      0.21098
_SET1_   8675      20   57226309   57254582     39       5  1000      -1.0596      0.84541   -4.1564e-06      -1.0596
_SET1_   50861     20   62271058   62284963     41       7  1000       2.0331     0.019117   -4.1564e-06       2.0331
_SET1_   2618      21   34876238   34915223     36       6  1000      0.41084      0.32614   -4.1564e-06      0.41085
_SET1_   7078      22   33196802   33259028     95      17  1000       2.5162    0.0053649   -4.1564e-06       2.5162

# _SET2_  VARIABLE = REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION (set)
# _SET2_  NGENES = 7
# _SET2_  P-VALUE = 4.1422e-08
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   8643      1   45285516   45309226     41       5  1000       1.8764      0.02743   -4.1564e-06       1.8764
_SET2_   2736      2  121493441  121750229    535      62  1000     -0.39235        0.643   -4.1564e-06     -0.39234
_SET2_   91653     3  112929850  113006306    170      24  1000      -1.5506      0.93508   -4.1564e-06      -1.5506
_SET2_   64399     4  145567148  145662542    124       7  1000       1.3599     0.078891   -4.1564e-06       1.3599
_SET2_   2737      7   42000547   42277469    594      59  1000       2.7029    0.0031213   -4.1564e-06       2.7029
_SET2_   5727      9   98205264   98279247    118      10  1000     -0.50157      0.67507   -4.1564e-06     -0.50157
_SET2_   2735     12   57853918   57866051     23       3  1000       1.6691     0.043499   -4.1564e-06       1.6691
