# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SWEET_LUNG_CANCER_KRAS_UP (set)
# _SET1_  NGENES = 442
# _SET1_  P-VALUE = 4.06268e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54206         1    8071779    8086393     24       5  1000     -0.52762       0.6863   -6.7256e-06     -0.52762
_SET1_   2023          1    8921059    8939151     26       5  1000     -0.38241      0.63258   -6.7256e-06     -0.38241
_SET1_   400736        1   13447414   13452656      4       2  1000       1.9753     0.021642   -6.7256e-06       1.9753
_SET1_   5322          1   20386157   20418394    100      15  1000     -0.04683      0.49852   -6.7256e-06    -0.046824
_SET1_   5909          1   21922708   21996010    191      35  1000     -0.24125       0.5772   -6.7256e-06     -0.24124
_SET1_   714           1   22969969   22974603     21       4  1000        2.183     0.013225   -6.7256e-06        2.183
_SET1_   713           1   22979682   22988130     26       6  1000       2.0869     0.016607   -6.7256e-06       2.0869
_SET1_   2517          1   24171567   24194859     40       4  1000       1.0288      0.14242   -6.7256e-06       1.0288
_SET1_   7805          1   31205315   31230683     58      17  1000      -1.5244      0.93073   -6.7256e-06      -1.5244
_SET1_   57648         1   33207492   33240571     34       7  1000      0.11749      0.43608   -6.7256e-06       0.1175
_SET1_   2707          1   35246790   35251967     12       4  1000      0.43781      0.31665   -6.7256e-06      0.43781
_SET1_   64834         1   43829068   43833745      3       2  1000       0.5127       0.2941   -6.7256e-06       0.5127
_SET1_   5792          1   43991708   44089343    213      15  1000     -0.58215      0.70445   -6.7256e-06     -0.58215
_SET1_   6202          1   45241213   45244427      1       1  1000      0.20069       0.4128   -6.7256e-06      0.20069
_SET1_   4070          1   59041095   59043166      9       3  1000     -0.13112      0.53506   -6.7256e-06     -0.13111
_SET1_   1647          1   68150860   68154021      7       2  1000     -0.43635      0.65768   -6.7256e-06     -0.43635
_SET1_   79971         1   68564142   68698284    382      53  1000      0.58448      0.26647   -6.7256e-06      0.58448
_SET1_   5876          1   76251879   76260775     10       3  1000     -0.11292      0.53347   -6.7256e-06     -0.11291
_SET1_   2152          1   94994732   95007413     18       4  1000     -0.24779      0.58542   -6.7256e-06     -0.24778
_SET1_   148534        1   95582894   95663163    168      19  1000      0.36734       0.3392   -6.7256e-06      0.36734
_SET1_   27159         1  111833474  111863188    180      16  1000       1.5537     0.054795   -6.7256e-06       1.5537
_SET1_   6566          1  113454469  113498975     42       6  1000     0.086907      0.44863   -6.7256e-06     0.086914
_SET1_   476           1  116914802  116948069     50       5  1000     -0.52375      0.67572   -6.7256e-06     -0.52375
_SET1_   1520          1  150702672  150738433     42       4  1000     -0.34214      0.62003   -6.7256e-06     -0.34213
_SET1_   1513          1  150768684  150780917      9       3  1000     -0.49356      0.67818   -6.7256e-06     -0.49356
_SET1_   5710          1  151227176  151239955     14       2  1000     -0.40704      0.64549   -6.7256e-06     -0.40704
_SET1_   6271          1  153600873  153604513      5       1  1000      -0.4113      0.65442   -6.7256e-06      -0.4113
_SET1_   6464          1  154934774  154946959      7       1  1000     -0.19363      0.55915   -6.7256e-06     -0.19362
_SET1_   4582          1  155158300  155162768      2       1  1000     -0.66079      0.74282   -6.7256e-06     -0.66079
_SET1_   7203          1  156278752  156308206     64       4  1000      -0.3273       0.6126   -6.7256e-06      -0.3273
