# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_SYNDECAN_4_PATHWAY (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 1.25603e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7852       2  136871919  136875725      5       2  1000       2.4482    0.0067099   -8.9704e-06       2.4482
_SET1_   7035       2  188328957  188419219    122      16  1000     -0.23871      0.58951   -8.9704e-06      -0.2387
_SET1_   8324       2  202899310  202903160      3       1  1000      0.88108      0.17934   -8.9704e-06      0.88109
_SET1_   2335       2  216225177  216300890    207      19  1000     -0.64912      0.73588   -8.9704e-06     -0.64911
_SET1_   387        3   49396569   49449526     72       6  1000     -0.56835      0.70197   -8.9704e-06     -0.56834
_SET1_   5580       3   53195223   53226733     62       9  1000       1.1748      0.11671   -8.9704e-06       1.1748
_SET1_   2247       4  123747568  123819390    185      26  1000      0.66943      0.25497   -8.9704e-06      0.66944
_SET1_   5340       6  161123225  161175086    127      12  1000      0.44262      0.32006   -8.9704e-06      0.44263
_SET1_   5879       7    6414126    6443598    109      14  1000     -0.11961      0.54363   -8.9704e-06      -0.1196
_SET1_   2260       8   38268656   38326352     64      10  1000      0.47069      0.31156   -8.9704e-06       0.4707
_SET1_   6386       8   59465566   59495419     52       4  1000       2.3487     0.008437   -8.9704e-06       2.3487
_SET1_   5747       8  141668481  142011412    444       9  1000      0.80298      0.19471   -8.9704e-06      0.80298
_SET1_   3371       9  117781854  117880536    265      24  1000    -0.041448      0.51256   -8.9704e-06     -0.04144
_SET1_   3688      10   33189246   33247293    127      14  1000       1.1301      0.12592   -8.9704e-06       1.1301
_SET1_   6387      10   44865601   44880545     59      11  1000       1.0509      0.14528   -8.9704e-06       1.0509
_SET1_   8038      10  127700960  128077127   1354     108  1000      0.46203      0.34408   -8.9704e-06      0.46204
_SET1_   4192      11   46402334   46405387      3       1  1000       1.6038     0.051387   -8.9704e-06       1.6038
_SET1_   2147      11   46740743   46761056     28       6  1000      0.99122      0.15756   -8.9704e-06      0.99123
_SET1_   2251      12    4543308    4554780     24       5  1000       2.3895    0.0078823   -8.9704e-06       2.3895
_SET1_   3678      12   54789045   54813050     17       3  1000      -1.7268       0.9565   -8.9704e-06      -1.7268
_SET1_   87        14   69340840   69446083    294      30  1000      0.20459      0.42028   -8.9704e-06       0.2046
_SET1_   7057      15   39873280   39889668     21       3  1000     -0.44942      0.66356   -8.9704e-06     -0.44941
_SET1_   23495     17   16842398   16875432    123      16  1000       1.7277     0.041258   -8.9704e-06       1.7277
_SET1_   6352      17   34198495   34207377     12       2  1000     -0.52031      0.69212   -8.9704e-06      -0.5203
_SET1_   5578      17   64298760   64806862   1352      84  1000      0.63221      0.27369   -8.9704e-06      0.63222
_SET1_   284217    18    6941743    7117813    555      82  1000       2.2408     0.014588   -8.9704e-06       2.2408
_SET1_   3909      18   21269562   21535030    371      15  1000      0.80965      0.20154   -8.9704e-06      0.80966
_SET1_   1785      19   10828729   10944169    229      24  1000       2.3765    0.0088245   -8.9704e-06       2.3765
_SET1_   10755     19   14588571   14606961     59      11  1000     -0.86763      0.80202   -8.9704e-06     -0.86762
_SET1_   6385      20   43953928   43977064     72       9  1000      0.43864      0.31978   -8.9704e-06      0.43865
_SET1_   4318      20   44637547   44645200     19       4  1000     -0.47658      0.67249   -8.9704e-06     -0.47657
