# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_EPO_PATHWAY (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 2.57287e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3725     1   59246463   59249785      2       1  1000      -0.5588      0.66401   -5.2383e-06     -0.55879
_SET1_   6464     1  154934774  154946959      7       1  1000       1.4812     0.056877   -5.2383e-06       1.4812
_SET1_   6654     2   39208690   39347686    248      10  1000     -0.62217      0.70648   -5.2383e-06     -0.62217
_SET1_   5894     3   12625100   12705700    170      11  1000       1.7283     0.038408   -5.2383e-06       1.7283
_SET1_   2056     7  100318423  100321323      3       2  1000      0.79833      0.19587   -5.2383e-06      0.79834
_SET1_   3717     9    4985245    5129948    358      12  1000       1.7989      0.03155   -5.2383e-06       1.7989
_SET1_   5599    10   49514682   49647403    206      16  1000       2.0594     0.018082   -5.2383e-06       2.0594
_SET1_   3265    11     532242     535561      7       3  1000     -0.39984      0.63328   -5.2383e-06     -0.39984
_SET1_   2353    14   75745477   75748937      6       2  1000     0.090129      0.43906   -5.2383e-06     0.090134
_SET1_   5604    15   66679182   66783882    162      17  1000      0.90324       0.1765   -5.2383e-06      0.90324
_SET1_   5595    16   30125426   30134630      7       3  1000     -0.33747      0.61205   -5.2383e-06     -0.33747
_SET1_   6777    17   40351195   40428478     67       5  1000       1.7735     0.033579   -5.2383e-06       1.7735
_SET1_   6776    17   40439565   40463961     47       5  1000       1.6067     0.048196   -5.2383e-06       1.6068
_SET1_   2885    17   73314157   73401790    168       7  1000       3.0251    0.0010043   -5.2383e-06       3.0251
_SET1_   2057    19   11487881   11495018      1       1  1000    -0.099267        0.458   -5.2383e-06    -0.099262
_SET1_   1457    20     463338     524482     78      12  1000      0.55615      0.27874   -5.2383e-06      0.55616
_SET1_   5335    20   39766159   39804359     28       6  1000      -0.1541      0.54464   -5.2383e-06      -0.1541
