# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LASTOWSKA_COAMPLIFIED_WITH_MYCN (set)
# _SET1_  NGENES = 39
# _SET1_  P-VALUE = 1.4063e-10
_SET1_   GENE        CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   101060391     2    945320    947797      4       1  1000       2.1363     0.014172   -5.2496e-07       2.1363
_SET1_   54221         2    946554   1371401   1897      60  1000      0.54763      0.29084   -5.2496e-07      0.54763
_SET1_   7173          2   1417233   1547445    659      37  1000      0.59019       0.2646   -5.2496e-07      0.59019
_SET1_   9014          2   9983571  10074545    360      13  1000     -0.37329      0.61962   -5.2496e-07     -0.37329
_SET1_   29841         2  10091792  10142412    193      16  1000      0.15318      0.41531   -5.2496e-07      0.15318
_SET1_   8462          2  10170776  10194963     22       4  1000      0.16541      0.40951   -5.2496e-07      0.16541
_SET1_   6241          2  10262695  10271546     11       2  1000      0.92376      0.16229   -5.2496e-07      0.92377
_SET1_   3241          2  10443015  10567743    476      62  1000        1.944     0.025181   -5.2496e-07        1.944
_SET1_   4953          2  10580507  10588680     17       4  1000       1.0692      0.12976   -5.2496e-07       1.0692
_SET1_   79954         2  10710892  10830113    446      13  1000      0.63197       0.2413   -5.2496e-07      0.63197
_SET1_   10130         2  10908889  10978103    414      15  1000       1.2141      0.10012   -5.2496e-07       1.2141
_SET1_   3754          2  11052063  11054351      3       2  1000       0.6033      0.25697   -5.2496e-07       0.6033
_SET1_   130814        2  11295498  11319000     78      12  1000       1.5758     0.050781   -5.2496e-07       1.5758
_SET1_   9475          2  11319894  11484711    230      12  1000       2.7599    0.0023416   -5.2496e-07       2.7599
_SET1_   9687          2  11674242  11782914    302      35  1000       3.5209   0.00018421   -5.2496e-07       3.5209
_SET1_   23620         2  11798304  11810329     20       5  1000      0.68644       0.2281   -5.2496e-07      0.68644
_SET1_   23175         2  11817705  11967535    367      40  1000       3.6319   0.00012242   -5.2496e-07       3.6319
_SET1_   28951         2  12856998  12882860     52       8  1000       1.6223     0.045861   -5.2496e-07       1.6223
_SET1_   151354        2  14772810  14780170      5       2  1000       2.0481     0.017824   -5.2496e-07       2.0481
_SET1_   51594         2  15307032  15701472    850      19  1000      0.45751       0.3025   -5.2496e-07      0.45751
_SET1_   1653          2  15731745  15771235    108       8  1000       3.1441    0.0006596   -5.2496e-07       3.1441
_SET1_   4613          2  16080683  16087129      5       2  1000     -0.46816      0.66019   -5.2496e-07     -0.46816
_SET1_   81553         2  16730727  16847134    260      41  1000     -0.18186      0.55945   -5.2496e-07     -0.18186
_SET1_   26160         2  27667240  27712575     45       3  1000       2.4452    0.0059094   -5.2496e-07       2.4452
_SET1_   64838         2  27714750  27718126      4       1  1000       1.7297     0.036826   -5.2496e-07       1.7297
_SET1_   84450         2  27805836  27846082     64       8  1000       2.2413      0.01055   -5.2496e-07       2.2413
_SET1_   79635         2  27848408  27851898      2       1  1000      0.48198      0.29544   -5.2496e-07      0.48198
_SET1_   11321         2  27851515  27873713     41       6  1000       2.8183    0.0019673   -5.2496e-07       2.8183
_SET1_   9913          2  27873679  27886707     16       3  1000       3.2368   0.00048829   -5.2496e-07       3.2368
_SET1_   22950         2  27886338  27917847     24       4  1000       3.1404   0.00068426   -5.2496e-07       3.1404
_SET1_   9553          2  27994584  28002608      5       1  1000       1.4589     0.064665   -5.2496e-07       1.4589
_SET1_   64080         2  28004266  28113223    152       8  1000       1.8162     0.029724   -5.2496e-07       1.8162
_SET1_   2355          2  28615704  28637516     25       4  1000      0.81061      0.19029   -5.2496e-07      0.81061
_SET1_   151056        2  28718938  28866654    422      53  1000       2.8698    0.0019126   -5.2496e-07       2.8698
_SET1_   55006         2  29072687  29093175     31       4  1000       1.0862      0.12447   -5.2496e-07       1.0862
_SET1_   23160         2  29117533  29171080    146       9  1000      -0.9496      0.81075   -5.2496e-07      -0.9496
_SET1_   79745         2  29320542  29406679    184      21  1000       1.3181     0.084887   -5.2496e-07       1.3181
_SET1_   238           2  29415640  30144477   1993     127  1000       2.1709     0.017248   -5.2496e-07       2.1709
_SET1_   51646         2  30369750  30383399     20       6  1000      0.19652      0.39981   -5.2496e-07      0.19652
