# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HAN_JNK_SINGALING_UP (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 2.57299e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9636       1     948847     949920      5       2  1000      0.56337      0.27246   -2.3478e-07      0.56337
_SET1_   3725       1   59246463   59249785      2       1  1000      0.92298      0.16709   -2.3478e-07      0.92298
_SET1_   3491       1   86046444   86049650      3       1  1000       1.2669     0.092167   -2.3478e-07       1.2669
_SET1_   115361     1   89646831   89664633     37       6  1000      0.37216      0.33627   -2.3478e-07      0.37216
_SET1_   51177      1  150122170  150131825     11       2  1000      0.42083      0.31667   -2.3478e-07      0.42083
_SET1_   1805       1  168664695  168698442    119      16  1000     -0.19653      0.56448   -2.3478e-07     -0.19653
_SET1_   9173       2  102927962  102968497    163      13  1000       2.3661    0.0078346   -2.3478e-07       2.3661
_SET1_   27086      3   71003865   71633140   1069      96  1000      0.36926      0.38634   -2.3478e-07      0.36926
_SET1_   6474       3  157813800  157823952     22       2  1000      0.33334      0.34573   -2.3478e-07      0.33334
_SET1_   10188      3  195590235  195635880    121      21  1000      0.56565      0.27934   -2.3478e-07      0.56565
_SET1_   3627       4   76942269   76944689      7       1  1000     -0.63914      0.71398   -2.3478e-07     -0.63914
_SET1_   1501       5   10971952   11904155   2119     158  1000     -0.11013      0.58137   -2.3478e-07     -0.11013
_SET1_   4015       5  121398890  121414206     15       3  1000       1.0846      0.12854   -2.3478e-07       1.0846
_SET1_   7045       5  135364584  135399507     67       5  1000      0.60212       0.2521   -2.3478e-07      0.60212
_SET1_   345611     5  150226085  150228231     23       2  1000      -0.4653      0.65741   -2.3478e-07      -0.4653
_SET1_   1843       5  172195093  172198203      3       2  1000      0.22589      0.39757   -2.3478e-07      0.22589
_SET1_   6659       6   21593972   21598850      3       2  1000      0.23976      0.38759   -2.3478e-07      0.23976
_SET1_   5617       6   22287473   22303082     26       6  1000        2.856    0.0018546   -2.3478e-07        2.856
_SET1_   6446       6  134490384  134639196    326      49  1000      0.57244       0.2924   -2.3478e-07      0.57244
_SET1_   10447      7  120988905  121036422     93       6  1000       2.1503     0.013535   -2.3478e-07       2.1503
_SET1_   3371       9  117781854  117880536    265      24  1000     0.037843      0.47392   -2.3478e-07     0.037844
_SET1_   23452      9  129849628  129885044     31       4  1000     -0.44084      0.64803   -2.3478e-07     -0.44084
_SET1_   6935      10   31607825   31818742    250      12  1000     0.013235      0.47632   -2.3478e-07     0.013236
_SET1_   3437      10   91087602   91100725     65       6  1000       2.1788     0.012855   -2.3478e-07       2.1788
_SET1_   894       12    4382901    4414522     59      16  1000      0.42277      0.32791   -2.3478e-07      0.42277
_SET1_   80824     12   12626216   12715773    169      17  1000       1.5564      0.05566   -2.3478e-07       1.5564
_SET1_   1948      13  107142079  107187388     64      13  1000      0.25738      0.38475   -2.3478e-07      0.25738
_SET1_   10379     14   24630422   24635774      4       2  1000       0.6177      0.25569   -2.3478e-07       0.6177
_SET1_   83982     14   94594118   94595957      1       1  1000     -0.69444       0.7436   -2.3478e-07     -0.69444
_SET1_   80381     15   73976560   74006859     62       5  1000      0.26853      0.37084   -2.3478e-07      0.26853
_SET1_   6352      17   34198495   34207377     12       2  1000     -0.66783      0.73143   -2.3478e-07     -0.66783
_SET1_   55364     18   22006609   22033499     72      10  1000      0.85613      0.18576   -2.3478e-07      0.85613
_SET1_   861       21   36160098   36421595    526      68  1000      0.25286      0.42029   -2.3478e-07      0.25286
_SET1_   11274     22   18632758   18660164     83      10  1000    -0.003912      0.48427   -2.3478e-07   -0.0039118
