# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CARD_MIR302A_TARGETS (set)
# _SET1_  NGENES = 73
# _SET1_  P-VALUE = 8.17905e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23435      1   11072462   11085549     24       4  1000      0.63945      0.26114   -5.9024e-06      0.63945
_SET1_   5928       1   33116749   33151812     84       5  1000      0.29783      0.38276   -5.9024e-06      0.29784
_SET1_   22887      1   42642210   42801548    195       6  1000     -0.28888      0.59855   -5.9024e-06     -0.28888
_SET1_   51742      1  235330210  235491532    312       7  1000     -0.47311      0.66452   -5.9024e-06      -0.4731
_SET1_   6664       2    5832799    5841517      5       2  1000     -0.85602      0.80276   -5.9024e-06     -0.85602
_SET1_   26122      2  149402560  149545136    173       5  1000       1.0999      0.12896   -5.9024e-06       1.0999
_SET1_   4760       2  182540833  182545392      3       1  1000     -0.27719      0.60548   -5.9024e-06     -0.27718
_SET1_   22807      2  213864408  214016379    317      19  1000      0.49194      0.30631   -5.9024e-06      0.49195
_SET1_   2043       2  222282747  222437010    385      32  1000       1.5077     0.067536   -5.9024e-06       1.5077
_SET1_   5915       3   25215638   25639423   1200      90  1000       2.4299     0.010837   -5.9024e-06       2.4299
_SET1_   7048       3   30647994   30735634    246      37  1000      -1.5537      0.94321   -5.9024e-06      -1.5537
_SET1_   5217       3  149682691  149688741      5       2  1000      0.63678      0.25934   -5.9024e-06      0.63679
_SET1_   22865      3  164902010  164914469     15       3  1000     -0.72836      0.76486   -5.9024e-06     -0.72835
_SET1_   9575       4   56294068   56413076    343       9  1000       1.4105     0.072944   -5.9024e-06       1.4105
_SET1_   901        4   78078357   78091213     16       4  1000        0.176      0.42691   -5.9024e-06        0.176
_SET1_   63973      4  113434672  113437328      1       1  1000      0.10127       0.4757   -5.9024e-06      0.10127
_SET1_   4131       5   71403118   71505397    159      33  1000        1.378     0.088236   -5.9024e-06        1.378
_SET1_   7422       6   43737946   43754224     39      10  1000     -0.74214      0.76738   -5.9024e-06     -0.74213
_SET1_   23328      6  148663729  148873185    562      74  1000      0.34862      0.40199   -5.9024e-06      0.34863
_SET1_   28514      6  170591288  170599815     17       5  1000        1.157      0.12451   -5.9024e-06        1.157
_SET1_   7291       7   19039315   19157295    220      18  1000     -0.84452      0.80439   -5.9024e-06     -0.84452
_SET1_   221895     7   27870192   28220437    741      70  1000       0.1518      0.47758   -5.9024e-06      0.15181
_SET1_   3984       7   73498107   73536855     48       6  1000      0.81438      0.20561   -5.9024e-06      0.81439
_SET1_   57157      7   77428109   77586821    205      14  1000      0.03246      0.48102   -5.9024e-06     0.032466
_SET1_   1021       7   92234235   92465941    204      25  1000        1.067      0.14725   -5.9024e-06        1.067
_SET1_   29883      8   17086737   17104387     24       5  1000       1.3004     0.096872   -5.9024e-06       1.3004
_SET1_   6781       8   23699434   23712320     19       4  1000     -0.11732      0.54131   -5.9024e-06     -0.11731
_SET1_   7994       8   41786997   41909506    129       9  1000      -1.1717      0.87487   -5.9024e-06      -1.1717
_SET1_   9821       8   53535018   53627026     65       9  1000       0.6112      0.26412   -5.9024e-06      0.61121
_SET1_   79776      8   77593515   77779521    249      24  1000       2.9036    0.0019528   -5.9024e-06       2.9036
_SET1_   1875       8   86089619   86126753     35       2  1000     -0.56993      0.70341   -5.9024e-06     -0.56992
_SET1_   23414      8  106330917  106816767    934      76  1000     0.074076      0.51226   -5.9024e-06     0.074082
_SET1_   22882      8  123792510  123986755    348      62  1000        3.524    0.0002807   -5.9024e-06        3.524
_SET1_   50807      8  131064350  131455906    642      24  1000     -0.73723      0.76833   -5.9024e-06     -0.73722
_SET1_   7436       9    2621679    2654485    100      21  1000      0.58271      0.28234   -5.9024e-06      0.58272
_SET1_   55664      9    4679566    4706594     63       5  1000      0.85886      0.18771   -5.9024e-06      0.85886
_SET1_   687        9   72999513   73029573     23       5  1000        1.527     0.061176   -5.9024e-06        1.527
_SET1_   6096       9   77112252   77303534    323      28  1000      0.49829      0.31056   -5.9024e-06      0.49829
_SET1_   195828     9   99148223   99180669     24       3  1000      0.27404      0.38739   -5.9024e-06      0.27404
_SET1_   5537       9  127908852  127952218     76       6  1000       2.1244      0.01549   -5.9024e-06       2.1244
