# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 1.53785e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3512     4   71521258   71532348      3       2  1000      0.77887      0.20742   -6.7456e-07      0.77887
_SET1_   213      4   74269972   74287129     23       2  1000       1.4521     0.068207   -6.7456e-07       1.4521
_SET1_   259      9  116822407  116840752     36       7  1000      0.37454      0.34079   -6.7456e-07      0.37454
_SET1_   3043    11    5246696    5248301      5       1  1000       1.5093     0.061526   -6.7456e-07       1.5093
_SET1_   3263    11    6452268    6462254     13       2  1000       1.1334      0.12101   -6.7456e-07       1.1334
_SET1_   335     11  116706467  116708338      7       3  1000       1.3013     0.090575   -6.7456e-07       1.3013
_SET1_   4035    12   57522282   57607142     88      11  1000    -0.073222      0.51494   -6.7456e-07    -0.073221
_SET1_   3240    16   72088470   72094955     11       3  1000       1.8029     0.033363   -6.7456e-07       1.8029
_SET1_   3250    16   72097125   72111145     26       4  1000       1.4319     0.071015   -6.7456e-07       1.4319
_SET1_   8542    22   36649117   36663577     56       6  1000        1.629     0.047581   -6.7456e-07        1.629
