# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_CHOLESTEROL_BIOSYNTHESIS (set)
# _SET1_  NGENES = 23
# _SET1_  P-VALUE = 5.96634e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1718       1   55315300   55352921    108      11  1000      0.63234      0.26001   -3.4183e-06      0.63234
_SET1_   10654      1  154897208  154909484     17       3  1000     -0.25572      0.59286   -3.4183e-06     -0.25572
_SET1_   2224       1  155278539  155290457     10       2  1000      0.51465      0.28926   -3.4183e-06      0.51465
_SET1_   51478      1  162760496  162782608     40       9  1000      0.43106      0.32973   -3.4183e-06      0.43106
_SET1_   3930       1  225589204  225616557     42       8  1000      0.53713      0.28903   -3.4183e-06      0.53713
_SET1_   64801      1  231114823  231136479     53       6  1000      0.45176      0.31655   -3.4183e-06      0.45176
_SET1_   9453       1  235491753  235507847     29       4  1000     -0.87587       0.7997   -3.4183e-06     -0.87587
_SET1_   6307       4  166248818  166264316     58      10  1000       1.3628     0.083971   -3.4183e-06       1.3628
_SET1_   3157       5   43287572   43313614     40       3  1000    -0.017037      0.48963   -3.4183e-06    -0.017033
_SET1_   3156       5   74632159   74657926     30       4  1000      -1.2435      0.88707   -3.4183e-06      -1.2435
_SET1_   39         6  160182989  160200087     39       5  1000       1.2169      0.10587   -3.4183e-06       1.2169
_SET1_   1595       7   91741463   91764059     37       2  1000       0.3458      0.34737   -3.4183e-06       0.3458
_SET1_   2222       8   11653467   11696818    191      18  1000      0.71533      0.23765   -3.4183e-06      0.71533
_SET1_   6713       8  126010720  126034525     84       8  1000       1.1198      0.12868   -3.4183e-06       1.1198
_SET1_   403313     9    4662294    4665274      6       3  1000      0.68117      0.23751   -3.4183e-06      0.68117
_SET1_   91734     10    1064847    1071799     30       7  1000       1.2771     0.097044   -3.4183e-06       1.2771
_SET1_   3422      10    1085963    1095061     17       5  1000       1.4853     0.065252   -3.4183e-06       1.4853
_SET1_   7108      11   64879326   64883707      5       2  1000       0.9921      0.15271   -3.4183e-06      0.99211
_SET1_   1717      11   71145457   71159477     29       3  1000     0.098396      0.44913   -3.4183e-06       0.0984
_SET1_   6309      11  121163388  121184119     13       3  1000     -0.98654      0.82954   -3.4183e-06     -0.98654
_SET1_   4598      12  110011500  110035071     43       7  1000       1.1296      0.12476   -3.4183e-06       1.1296
_SET1_   4597      16   88718343   88729495     31       7  1000      0.32402      0.36453   -3.4183e-06      0.32402
_SET1_   4047      21   47608360   47648738    117      13  1000      0.68174      0.24527   -3.4183e-06      0.68174
