# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WU_ALZHEIMER_DISEASE_UP (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 3.39056e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   576       1   32192718   32230494     33       6  1000      0.98349       0.1526   -2.1072e-06      0.98349
_SET1_   3013      6   26199012   26199521      3       1  1000       0.2244        0.403   -2.1072e-06       0.2244
_SET1_   3084      8   31496820   32622558   2807     108  1000      0.26989      0.42628   -2.1072e-06      0.26989
_SET1_   1584      8  143953773  143961236     48       6  1000       1.8627     0.027979   -2.1072e-06       1.8628
_SET1_   953      10   97471536   97637023    303      12  1000       2.1533     0.014276   -2.1072e-06       2.1533
_SET1_   25841    11   34172534   34379555    593      85  1000       1.8496     0.030534   -2.1072e-06       1.8496
_SET1_   5101     13   66876966   67804468   1694     101  1000     -0.77563      0.80118   -2.1072e-06     -0.77563
_SET1_   863      16   88941263   89043568    297      28  1000      0.75756      0.21211   -2.1072e-06      0.75756
_SET1_   2280     20    1349621    1373816     46       8  1000      0.33502      0.35027   -2.1072e-06      0.33502
_SET1_   7052     20   36756863   36794910     76      10  1000     -0.85595      0.79031   -2.1072e-06     -0.85594
